Orthogroup	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Chordata_Vertebrata_Mus_musculus
OG0000001	Trichoplax_specH2_tr_A0A369SGJ7_A0A369SGJ7_9METZ tr|A0A369SGJ7|A0A369SGJ7_9METZ Laminin subunit beta-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001775 PE=4 SV=1	Mus_musculus_sp_Q9JI33_NET4_MOUSE sp_Q9JI33_NET4_MOUSE Netrin-4 OS=Mus musculus OX=10090 GN=Ntn4 PE=1 SV=2, Mus_musculus_sp_Q61087_LAMB3_MOUSE sp_Q61087_LAMB3_MOUSE Laminin subunit beta-3 OS=Mus musculus OX=10090 GN=Lamb3 PE=1 SV=2, Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2, Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3
OG0000001	Trichoplax_specH2_tr_A0A369SBY2_A0A369SBY2_9METZ tr|A0A369SBY2|A0A369SBY2_9METZ Laminin subunit gamma-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003028 PE=4 SV=1	Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2, Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2
OG0000002	Trichoplax_specH2_tr_A0A369SFC4_A0A369SFC4_9METZ tr|A0A369SFC4|A0A369SFC4_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002772 PE=4 SV=1	Mus_musculus_sp_Q62217_SEM5A_MOUSE sp_Q62217_SEM5A_MOUSE Semaphorin-5A OS=Mus musculus OX=10090 GN=Sema5a PE=2 SV=1, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2
OG0000002	Trichoplax_specH2_tr_A0A369SGE8_A0A369SGE8_9METZ tr|A0A369SGE8|A0A369SGE8_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002776 PE=3 SV=1	Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_O35464_SEM6A_MOUSE sp_O35464_SEM6A_MOUSE Semaphorin-6A OS=Mus musculus OX=10090 GN=Sema6a PE=1 SV=2, Mus_musculus_sp_O54951_SEM6B_MOUSE sp_O54951_SEM6B_MOUSE Semaphorin-6B OS=Mus musculus OX=10090 GN=Sema6b PE=1 SV=1, Mus_musculus_sp_Q9WTM3_SEM6C_MOUSE sp_Q9WTM3_SEM6C_MOUSE Semaphorin-6C OS=Mus musculus OX=10090 GN=Sema6c PE=2 SV=1
OG0000007	Trichoplax_specH2_tr_A0A369S010_A0A369S010_9METZ tr|A0A369S010|A0A369S010_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008355 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RY43_A0A369RY43_9METZ tr|A0A369RY43|A0A369RY43_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008351 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RZ11_A0A369RZ11_9METZ tr|A0A369RZ11|A0A369RZ11_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008354 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RYK0_A0A369RYK0_9METZ tr|A0A369RYK0|A0A369RYK0_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008353 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RQ73_A0A369RQ73_9METZ tr|A0A369RQ73|A0A369RQ73_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011343 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RPH5_A0A369RPH5_9METZ tr|A0A369RPH5|A0A369RPH5_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011565 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S4T6_A0A369S4T6_9METZ tr|A0A369S4T6|A0A369S4T6_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007189 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RN78_A0A369RN78_9METZ tr|A0A369RN78|A0A369RN78_9METZ Latent-transforming growth factor beta-binding protein 1 _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011578 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S2P8_A0A369S2P8_9METZ tr|A0A369S2P8|A0A369S2P8_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005647 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWY4_A0A369RWY4_9METZ tr|A0A369RWY4|A0A369RWY4_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008034 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SB42_A0A369SB42_9METZ tr|A0A369SB42|A0A369SB42_9METZ Neurogenic locus notch-like protein 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004605 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXM4_A0A369RXM4_9METZ tr|A0A369RXM4|A0A369RXM4_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008039 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S5X3_A0A369S5X3_9METZ tr|A0A369S5X3|A0A369S5X3_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005312 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXN5_A0A369RXN5_9METZ tr|A0A369RXN5|A0A369RXN5_9METZ Fibrillin-2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008036 PE=3 SV=1, Trichoplax_specH2_tr_A0A369RY18_A0A369RY18_9METZ tr|A0A369RY18|A0A369RY18_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007838 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RNR1_A0A369RNR1_9METZ tr|A0A369RNR1|A0A369RNR1_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011392 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXL3_A0A369RXL3_9METZ tr|A0A369RXL3|A0A369RXL3_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007837 PE=4 SV=1	Mus_musculus_sp_Q8JZM8_MUC4_MOUSE sp_Q8JZM8_MUC4_MOUSE Mucin-4 OS=Mus musculus OX=10090 GN=Muc4 PE=2 SV=2
OG0000010	Trichoplax_specH2_tr_A0A369RVV2_A0A369RVV2_9METZ tr|A0A369RVV2|A0A369RVV2_9METZ Neural cell adhesion molecule 2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010641 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWI3_A0A369RWI3_9METZ tr|A0A369RWI3|A0A369RWI3_9METZ Protein sax-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010638 PE=4 SV=1	Mus_musculus_sp_Q3V1M1_IGS10_MOUSE sp_Q3V1M1_IGS10_MOUSE Immunoglobulin superfamily member 10 OS=Mus musculus OX=10090 GN=Igsf10 PE=2 SV=2
OG0000010	Trichoplax_specH2_tr_A0A369SBT0_A0A369SBT0_9METZ tr|A0A369SBT0|A0A369SBT0_9METZ Agrin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004613 PE=4 SV=1	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1
OG0000010	Trichoplax_specH2_tr_A0A369SGZ7_A0A369SGZ7_9METZ tr|A0A369SGZ7|A0A369SGZ7_9METZ Follistatin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002122 PE=4 SV=1	Mus_musculus_sp_P47931_FST_MOUSE sp_P47931_FST_MOUSE Follistatin OS=Mus musculus OX=10090 GN=Fst PE=2 SV=1
OG0000011	Trichoplax_specH2_tr_A0A369SG72_A0A369SG72_9METZ tr|A0A369SG72|A0A369SG72_9METZ Plasminogen OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001906 PE=4 SV=1	Mus_musculus_sp_P26928_HGFL_MOUSE sp_P26928_HGFL_MOUSE Hepatocyte growth factor-like protein OS=Mus musculus OX=10090 GN=Mst1 PE=2 SV=2, Mus_musculus_sp_Q08048_HGF_MOUSE sp_Q08048_HGF_MOUSE Hepatocyte growth factor OS=Mus musculus OX=10090 GN=Hgf PE=1 SV=1, Mus_musculus_sp_Q08048_HGF_MOUSE sp_Q08048_HGF_MOUSE Hepatocyte growth factor OS=Mus musculus OX=10090 GN=Hgf PE=1 SV=1
OG0000012	Trichoplax_specH2_tr_A0A369RVP1_A0A369RVP1_9METZ tr|A0A369RVP1|A0A369RVP1_9METZ SCO-spondin _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008599 PE=4 SV=1	Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2
