Orthogroup	Chordata_Vertebrata_Danio_rerio	Chordata_Amphioxiformes_Branchiostoma_lanceolatum
OG0000000	Danio_rerio_tr_E9QHI1_E9QHI1_DANRE tr|E9QHI1|E9QHI1_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_F1QYE2_F1QYE2_DANRE tr|F1QYE2|F1QYE2_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_Q7T3T6_Q7T3T6_DANRE tr|Q7T3T6|Q7T3T6_DANRE Tenascin-R OS=Danio rerio OX=7955 GN=tnr PE=1 SV=1, Danio_rerio_tr_B0S6K6_B0S6K6_DANRE tr|B0S6K6|B0S6K6_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1, Danio_rerio_tr_F1QSR3_F1QSR3_DANRE tr|F1QSR3|F1QSR3_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tenw PE=1 SV=2, Danio_rerio_tr_B0S6K5_B0S6K5_DANRE tr|B0S6K5|B0S6K5_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0ADV5_A0A8K0ADV5_BRALA tr|A0A8K0ADV5|A0A8K0ADV5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YXM4_A0A8J9YXM4_BRALA tr|A0A8J9YXM4|A0A8J9YXM4_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZUC4_A0A8J9ZUC4_BRALA tr|A0A8J9ZUC4|A0A8J9ZUC4_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU80_A0A8J9ZU80_BRALA tr|A0A8J9ZU80|A0A8J9ZU80_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZD86_A0A8J9ZD86_BRALA tr|A0A8J9ZD86|A0A8J9ZD86_BRALA FCN3 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEE7_A0A8J9ZEE7_BRALA tr|A0A8J9ZEE7|A0A8J9ZEE7_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YVS3_A0A8J9YVS3_BRALA tr|A0A8J9YVS3|A0A8J9YVS3_BRALA MEGF10 protein OS=Branchiostoma lanceolatum OX=7740 GN=MEGF10 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YVW9_A0A8J9YVW9_BRALA tr|A0A8J9YVW9|A0A8J9YVW9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2Y8_A0A8K0A2Y8_BRALA tr|A0A8K0A2Y8|A0A8K0A2Y8_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2N6_A0A8K0A2N6_BRALA tr|A0A8K0A2N6|A0A8K0A2N6_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A5F9_A0A8K0A5F9_BRALA tr|A0A8K0A5F9|A0A8K0A5F9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EUG9_A0A8K0EUG9_BRALA tr|A0A8K0EUG9|A0A8K0EUG9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ECH5_A0A8K0ECH5_BRALA tr|A0A8K0ECH5|A0A8K0ECH5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZK72_A0A8J9ZK72_BRALA tr|A0A8J9ZK72|A0A8J9ZK72_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZY15_A0A8J9ZY15_BRALA tr|A0A8J9ZY15|A0A8J9ZY15_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A955_A0A8K0A955_BRALA tr|A0A8K0A955|A0A8K0A955_BRALA PKD1L3 protein OS=Branchiostoma lanceolatum OX=7740 GN=PKD1L3 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YR05_A0A8J9YR05_BRALA tr|A0A8J9YR05|A0A8J9YR05_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W7G3_A0A8J9W7G3_BRALA tr|A0A8J9W7G3|A0A8J9W7G3_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YMB2_A0A8J9YMB2_BRALA tr|A0A8J9YMB2|A0A8J9YMB2_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W4J7_A0A8J9W4J7_BRALA tr|A0A8J9W4J7|A0A8J9W4J7_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YRQ3_A0A8J9YRQ3_BRALA tr|A0A8J9YRQ3|A0A8J9YRQ3_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YNX7_A0A8J9YNX7_BRALA tr|A0A8J9YNX7|A0A8J9YNX7_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VRN1_A0A8J9VRN1_BRALA tr|A0A8J9VRN1|A0A8J9VRN1_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WGD3_A0A8J9WGD3_BRALA tr|A0A8J9WGD3|A0A8J9WGD3_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YQ16_A0A8J9YQ16_BRALA tr|A0A8J9YQ16|A0A8J9YQ16_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VIQ1_A0A8J9VIQ1_BRALA tr|A0A8J9VIQ1|A0A8J9VIQ1_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VXU5_A0A8J9VXU5_BRALA tr|A0A8J9VXU5|A0A8J9VXU5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1B6_A0A8K0A1B6_BRALA tr|A0A8K0A1B6|A0A8K0A1B6_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z2P2_A0A8J9Z2P2_BRALA tr|A0A8J9Z2P2|A0A8J9Z2P2_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E9U2_A0A8K0E9U2_BRALA tr|A0A8K0E9U2|A0A8K0E9U2_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AE29_A0A8K0AE29_BRALA tr|A0A8K0AE29|A0A8K0AE29_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EXY2_A0A8K0EXY2_BRALA tr|A0A8K0EXY2|A0A8K0EXY2_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F2X0_A0A8K0F2X0_BRALA tr|A0A8K0F2X0|A0A8K0F2X0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F0K4_A0A8K0F0K4_BRALA tr|A0A8K0F0K4|A0A8K0F0K4_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W200_A0A8J9W200_BRALA tr|A0A8J9W200|A0A8J9W200_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YQU6_A0A8J9YQU6_BRALA tr|A0A8J9YQU6|A0A8J9YQU6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WF00_A0A8J9WF00_BRALA tr|A0A8J9WF00|A0A8J9WF00_BRALA FGL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YQX3_A0A8J9YQX3_BRALA tr|A0A8J9YQX3|A0A8J9YQX3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZQQ3_A0A8J9ZQQ3_BRALA tr|A0A8J9ZQQ3|A0A8J9ZQQ3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E5S9_A0A8K0E5S9_BRALA tr|A0A8K0E5S9|A0A8K0E5S9_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A0Q2_A0A8K0A0Q2_BRALA tr|A0A8K0A0Q2|A0A8K0A0Q2_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VAX2_A0A8J9VAX2_BRALA tr|A0A8J9VAX2|A0A8J9VAX2_BRALA CACNA2D1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CACNA2D1 PE=4 SV=1
OG0000000	Danio_rerio_tr_B8A5L6_B8A5L6_DANRE tr|B8A5L6|B8A5L6_DANRE Fibrinogen alpha chain OS=Danio rerio OX=7955 GN=sb_cb892 PE=1 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZFC5_A0A8J9ZFC5_BRALA tr|A0A8J9ZFC5|A0A8J9ZFC5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z5H0_A0A8J9Z5H0_BRALA tr|A0A8J9Z5H0|A0A8J9Z5H0_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z4V6_A0A8J9Z4V6_BRALA tr|A0A8J9Z4V6|A0A8J9Z4V6_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1
OG0000000	Danio_rerio_tr_Q6NYE1_Q6NYE1_DANRE tr|Q6NYE1|Q6NYE1_DANRE Fibrinogen beta chain OS=Danio rerio OX=7955 GN=wu_fa55c11 PE=1 SV=1, Danio_rerio_tr_Q7ZVG7_Q7ZVG7_DANRE tr|Q7ZVG7|Q7ZVG7_DANRE Fgg protein OS=Danio rerio OX=7955 GN=fb60h05 PE=1 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZV94_A0A8J9ZV94_BRALA tr|A0A8J9ZV94|A0A8J9ZV94_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZV95_A0A8J9ZV95_BRALA tr|A0A8J9ZV95|A0A8J9ZV95_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZYE6_A0A8J9ZYE6_BRALA tr|A0A8J9ZYE6|A0A8J9ZYE6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EVJ5_A0A8K0EVJ5_BRALA tr|A0A8K0EVJ5|A0A8K0EVJ5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZXV7_A0A8J9ZXV7_BRALA tr|A0A8J9ZXV7|A0A8J9ZXV7_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EPW9_A0A8K0EPW9_BRALA tr|A0A8K0EPW9|A0A8K0EPW9_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESC6_A0A8K0ESC6_BRALA tr|A0A8K0ESC6|A0A8K0ESC6_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWR0_A0A8J9ZWR0_BRALA tr|A0A8J9ZWR0|A0A8J9ZWR0_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ENU0_A0A8K0ENU0_BRALA tr|A0A8K0ENU0|A0A8K0ENU0_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AB27_A0A8K0AB27_BRALA tr|A0A8K0AB27|A0A8K0AB27_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V9B6_A0A8J9V9B6_BRALA tr|A0A8J9V9B6|A0A8J9V9B6_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F2F4_A0A8K0F2F4_BRALA tr|A0A8K0F2F4|A0A8K0F2F4_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1
OG0000000	Danio_rerio_tr_Q4LES0_Q4LES0_DANRE tr|Q4LES0|Q4LES0_DANRE Angiopoietin-like 2a OS=Danio rerio OX=7955 GN=angptl2b PE=2 SV=1, Danio_rerio_tr_B0UXH5_B0UXH5_DANRE tr|B0UXH5|B0UXH5_DANRE Angiopoietin-like 2b OS=Danio rerio OX=7955 GN=angptl2 PE=4 SV=1, Danio_rerio_tr_Q5KQT9_Q5KQT9_DANRE tr|Q5KQT9|Q5KQT9_DANRE Angiopoietin-like 2 OS=Danio rerio OX=7955 GN=Angptl2 PE=2 SV=1, Danio_rerio_tr_Q7SXV7_Q7SXV7_DANRE tr|Q7SXV7|Q7SXV7_DANRE Wu_fi40b08 protein _Fragment_ OS=Danio rerio OX=7955 GN=angptl1b PE=2 SV=1, Danio_rerio_tr_Q5KQU0_Q5KQU0_DANRE tr|Q5KQU0|Q5KQU0_DANRE Angiopoietin-like 1 OS=Danio rerio OX=7955 GN=Angptl1 PE=2 SV=1, Danio_rerio_tr_Q5RH53_Q5RH53_DANRE tr|Q5RH53|Q5RH53_DANRE Angiopoietin-like 1a OS=Danio rerio OX=7955 GN=angptl1 PE=4 SV=1, Danio_rerio_tr_Q5KQT8_Q5KQT8_DANRE tr|Q5KQT8|Q5KQT8_DANRE Angiopoietin-like 6 OS=Danio rerio OX=7955 GN=Angptl6 PE=2 SV=1, Danio_rerio_tr_F1R2V2_F1R2V2_DANRE tr|F1R2V2|F1R2V2_DANRE Angiopoietin-like 6 OS=Danio rerio OX=7955 GN=cb242 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0EZW6_A0A8K0EZW6_BRALA tr|A0A8K0EZW6|A0A8K0EZW6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EKT5_A0A8K0EKT5_BRALA tr|A0A8K0EKT5|A0A8K0EKT5_BRALA ANGPT1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHL1_A0A8K0AHL1_BRALA tr|A0A8K0AHL1|A0A8K0AHL1_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1
OG0000000	Danio_rerio_tr_Q5XJQ0_Q5XJQ0_DANRE tr|Q5XJQ0|Q5XJQ0_DANRE Angiopoietin-like 7 OS=Danio rerio OX=7955 GN=zgc_101687 PE=2 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9VTN9_A0A8J9VTN9_BRALA tr|A0A8J9VTN9|A0A8J9VTN9_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VKY9_A0A8J9VKY9_BRALA tr|A0A8J9VKY9|A0A8J9VKY9_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EJG0_A0A8K0EJG0_BRALA tr|A0A8K0EJG0|A0A8K0EJG0_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EGP6_A0A8K0EGP6_BRALA tr|A0A8K0EGP6|A0A8K0EGP6_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1
OG0000000	Danio_rerio_tr_X1WC45_X1WC45_DANRE tr|X1WC45|X1WC45_DANRE Angiopoietin 4 OS=Danio rerio OX=7955 GN=angpt4 PE=4 SV=1, Danio_rerio_tr_I6Z0F9_I6Z0F9_DANRE tr|I6Z0F9|I6Z0F9_DANRE Angiopoietin 2-like protein OS=Danio rerio OX=7955 GN=ang2-1 PE=2 SV=1, Danio_rerio_tr_Q90Z19_Q90Z19_DANRE tr|Q90Z19|Q90Z19_DANRE Angiopoietin-1 OS=Danio rerio OX=7955 GN=ang1 PE=2 SV=1, Danio_rerio_tr_Q90Z18_Q90Z18_DANRE tr|Q90Z18|Q90Z18_DANRE Angiopoietin-2 OS=Danio rerio OX=7955 GN=ang2 PE=2 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0EH02_A0A8K0EH02_BRALA tr|A0A8K0EH02|A0A8K0EH02_BRALA PRSS12 protein OS=Branchiostoma lanceolatum OX=7740 GN=PRSS12 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EBE2_A0A8K0EBE2_BRALA tr|A0A8K0EBE2|A0A8K0EBE2_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESH8_A0A8K0ESH8_BRALA tr|A0A8K0ESH8|A0A8K0ESH8_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V6V4_A0A8J9V6V4_BRALA tr|A0A8J9V6V4|A0A8J9V6V4_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YLN3_A0A8J9YLN3_BRALA tr|A0A8J9YLN3|A0A8J9YLN3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EEM1_A0A8K0EEM1_BRALA tr|A0A8K0EEM1|A0A8K0EEM1_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EBR4_A0A8K0EBR4_BRALA tr|A0A8K0EBR4|A0A8K0EBR4_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VG98_A0A8J9VG98_BRALA tr|A0A8J9VG98|A0A8J9VG98_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YLY9_A0A8J9YLY9_BRALA tr|A0A8J9YLY9|A0A8J9YLY9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YR09_A0A8J9YR09_BRALA tr|A0A8J9YR09|A0A8J9YR09_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VX66_A0A8J9VX66_BRALA tr|A0A8J9VX66|A0A8J9VX66_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V5P3_A0A8J9V5P3_BRALA tr|A0A8J9V5P3|A0A8J9V5P3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z3X3_A0A8J9Z3X3_BRALA tr|A0A8J9Z3X3|A0A8J9Z3X3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VHX0_A0A8J9VHX0_BRALA tr|A0A8J9VHX0|A0A8J9VHX0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WBK5_A0A8J9WBK5_BRALA tr|A0A8J9WBK5|A0A8J9WBK5_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1
OG0000000	Danio_rerio_tr_A0A8N7UZN6_A0A8N7UZN6_DANRE tr|A0A8N7UZN6|A0A8N7UZN6_DANRE Angiopoietin-like 3 OS=Danio rerio OX=7955 GN=fb60e11 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZNS0_A0A8J9ZNS0_BRALA tr|A0A8J9ZNS0|A0A8J9ZNS0_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z1K0_A0A8J9Z1K0_BRALA tr|A0A8J9Z1K0|A0A8J9Z1K0_BRALA ANGPT1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT1 PE=4 SV=1
OG0000000	Danio_rerio_tr_K7DY96_K7DY96_DANRE tr|K7DY96|K7DY96_DANRE Fibrinogen-like 2b OS=Danio rerio OX=7955 GN=fgl2b PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZX78_A0A8J9ZX78_BRALA tr|A0A8J9ZX78|A0A8J9ZX78_BRALA FGL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL2 PE=4 SV=1
OG0000000	Danio_rerio_tr_Q5TYU3_Q5TYU3_DANRE tr|Q5TYU3|Q5TYU3_DANRE Fibrinogen-like 2 OS=Danio rerio OX=7955 GN=fgl2 PE=1 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0EPZ9_A0A8K0EPZ9_BRALA tr|A0A8K0EPZ9|A0A8K0EPZ9_BRALA FGL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL2 PE=4 SV=1
OG0000001	Danio_rerio_tr_A0A0R4IFE9_A0A0R4IFE9_DANRE tr|A0A0R4IFE9|A0A0R4IFE9_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=4 SV=1, Danio_rerio_tr_Q32SK8_Q32SK8_DANRE tr|Q32SK8|Q32SK8_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=2 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0EX25_A0A8K0EX25_BRALA tr|A0A8K0EX25|A0A8K0EX25_BRALA NTN4 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTN4 PE=4 SV=1
