Orthogroup	Chordata_Vertebrata_Danio_rerio	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Danio_rerio_tr_E9QHI1_E9QHI1_DANRE tr|E9QHI1|E9QHI1_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_F1QYE2_F1QYE2_DANRE tr|F1QYE2|F1QYE2_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_Q7T3T6_Q7T3T6_DANRE tr|Q7T3T6|Q7T3T6_DANRE Tenascin-R OS=Danio rerio OX=7955 GN=tnr PE=1 SV=1, Danio_rerio_tr_B0S6K6_B0S6K6_DANRE tr|B0S6K6|B0S6K6_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1, Danio_rerio_tr_F1QSR3_F1QSR3_DANRE tr|F1QSR3|F1QSR3_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tenw PE=1 SV=2, Danio_rerio_tr_B0S6K5_B0S6K5_DANRE tr|B0S6K5|B0S6K5_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1	Clytia_hemispherica_TCONS_00025161-protein TCONS_00025161-protein, Clytia_hemispherica_TCONS_00004655-protein TCONS_00004655-protein, Clytia_hemispherica_TCONS_00001342-protein TCONS_00001342-protein, Clytia_hemispherica_TCONS_00030218-protein TCONS_00030218-protein, Clytia_hemispherica_TCONS_00004723-protein TCONS_00004723-protein, Clytia_hemispherica_TCONS_00004950-protein TCONS_00004950-protein, Clytia_hemispherica_TCONS_00016324-protein TCONS_00016324-protein, Clytia_hemispherica_TCONS_00009157-protein TCONS_00009157-protein, Clytia_hemispherica_TCONS_00019769-protein TCONS_00019769-protein, Clytia_hemispherica_TCONS_00007420-protein TCONS_00007420-protein, Clytia_hemispherica_TCONS_00030875-protein TCONS_00030875-protein, Clytia_hemispherica_TCONS_00071542-protein TCONS_00071542-protein, Clytia_hemispherica_TCONS_00018659-protein TCONS_00018659-protein, Clytia_hemispherica_TCONS_00012678-protein TCONS_00012678-protein, Clytia_hemispherica_TCONS_00032436-protein TCONS_00032436-protein, Clytia_hemispherica_TCONS_00002325-protein TCONS_00002325-protein, Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein, Clytia_hemispherica_TCONS_00023485-protein TCONS_00023485-protein, Clytia_hemispherica_TCONS_00022085-protein TCONS_00022085-protein, Clytia_hemispherica_TCONS_00037021-protein TCONS_00037021-protein, Clytia_hemispherica_TCONS_00032471-protein TCONS_00032471-protein
OG0000000	Danio_rerio_tr_F1QUC4_F1QUC4_DANRE tr|F1QUC4|F1QUC4_DANRE Angiopoietin-like 5 OS=Danio rerio OX=7955 GN=angptl5 PE=4 SV=1	Clytia_hemispherica_TCONS_00034414-protein TCONS_00034414-protein, Clytia_hemispherica_TCONS_00058007-protein TCONS_00058007-protein, Clytia_hemispherica_TCONS_00058501-protein TCONS_00058501-protein, Clytia_hemispherica_TCONS_00008901-protein TCONS_00008901-protein, Clytia_hemispherica_TCONS_00031044-protein TCONS_00031044-protein
OG0000000	Danio_rerio_tr_Q5TYU3_Q5TYU3_DANRE tr|Q5TYU3|Q5TYU3_DANRE Fibrinogen-like 2 OS=Danio rerio OX=7955 GN=fgl2 PE=1 SV=1	Clytia_hemispherica_TCONS_00013531-protein TCONS_00013531-protein, Clytia_hemispherica_TCONS_00072131-protein TCONS_00072131-protein, Clytia_hemispherica_TCONS_00018874-protein TCONS_00018874-protein, Clytia_hemispherica_TCONS_00024208-protein TCONS_00024208-protein
OG0000001	Danio_rerio_sp_Q8JHV6_LAMB4_DANRE sp|Q8JHV6|LAMB4_DANRE Laminin subunit beta-4 OS=Danio rerio OX=7955 GN=lamb4 PE=2 SV=1, Danio_rerio_tr_A0A8M9PDX2_A0A8M9PDX2_DANRE tr|A0A8M9PDX2|A0A8M9PDX2_DANRE Laminin subunit beta-1 isoform X1 OS=Danio rerio OX=7955 GN=lamb2l PE=1 SV=1, Danio_rerio_tr_B7ZDA6_B7ZDA6_DANRE tr|B7ZDA6|B7ZDA6_DANRE Laminin subunit beta-2 precursor OS=Danio rerio OX=7955 GN=si_dkey-32e6.2 PE=1 SV=1, Danio_rerio_tr_F1REL9_F1REL9_DANRE tr|F1REL9|F1REL9_DANRE Laminin_ beta 1b OS=Danio rerio OX=7955 GN=si_dkey-183c16.5 PE=4 SV=1, Danio_rerio_tr_Q8JHV7_Q8JHV7_DANRE tr|Q8JHV7|Q8JHV7_DANRE Laminin beta 1 OS=Danio rerio OX=7955 GN=lamb1 PE=1 SV=1	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Danio_rerio_tr_I3IT80_I3IT80_DANRE tr|I3IT80|I3IT80_DANRE Netrin g2b OS=Danio rerio OX=7955 GN=ntng2b PE=4 SV=1	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein, Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein
OG0000001	Danio_rerio_tr_F1QPJ1_F1QPJ1_DANRE tr|F1QPJ1|F1QPJ1_DANRE Laminin subunit gamma-3 OS=Danio rerio OX=7955 GN=lamc3 PE=4 SV=1, Danio_rerio_sp_Q1LVF0_LAMC1_DANRE sp|Q1LVF0|LAMC1_DANRE Laminin subunit gamma-1 OS=Danio rerio OX=7955 GN=lamc1 PE=2 SV=2	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Danio_rerio_tr_G8IHU0_G8IHU0_DANRE tr|G8IHU0|G8IHU0_DANRE Laminin alpha 2 chain short splice variant OS=Danio rerio OX=7955 GN=Lama2 PE=1 SV=1	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Danio_rerio_tr_A0A0R4IMM9_A0A0R4IMM9_DANRE tr|A0A0R4IMM9|A0A0R4IMM9_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=1, Danio_rerio_tr_F1R9L1_F1R9L1_DANRE tr|F1R9L1|F1R9L1_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=3, Danio_rerio_tr_F1QPQ6_F1QPQ6_DANRE tr|F1QPQ6|F1QPQ6_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Ba OS=Danio rerio OX=7955 GN=sema5ba PE=4 SV=1, Danio_rerio_tr_A0A8M1Q1V7_A0A8M1Q1V7_DANRE tr|A0A8M1Q1V7|A0A8M1Q1V7_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Bb OS=Danio rerio OX=7955 GN=sema5bb PE=4 SV=1	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein
OG0000002	Danio_rerio_tr_A3KPS4_A3KPS4_DANRE tr|A3KPS4|A3KPS4_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_A3KPS3_A3KPS3_DANRE tr|A3KPS3|A3KPS3_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_Q6P7E1_Q6P7E1_DANRE tr|Q6P7E1|Q6P7E1_DANRE Semaphorin-6A precursor OS=Danio rerio OX=7955 GN=zgc_66106 PE=2 SV=1, Danio_rerio_tr_B8JMB1_B8JMB1_DANRE tr|B8JMB1|B8JMB1_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D OS=Danio rerio OX=7955 GN=wu_fi06a12 PE=4 SV=1	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein
OG0000003	Danio_rerio_tr_A4JYN2_A4JYN2_DANRE tr|A4JYN2|A4JYN2_DANRE Bcan OS=Danio rerio OX=7955 GN=fi32a12 PE=2 SV=1, Danio_rerio_tr_F1QEZ8_F1QEZ8_DANRE tr|F1QEZ8|F1QEZ8_DANRE Neurocan b OS=Danio rerio OX=7955 GN=ncanb PE=4 SV=3, Danio_rerio_tr_Q75ZI3_Q75ZI3_DANRE tr|Q75ZI3|Q75ZI3_DANRE Dermacan OS=Danio rerio OX=7955 GN=dcan PE=1 SV=1, Danio_rerio_tr_E7F537_E7F537_DANRE tr|E7F537|E7F537_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=3, Danio_rerio_tr_F1QDA1_F1QDA1_DANRE tr|F1QDA1|F1QDA1_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=2	Clytia_hemispherica_TCONS_00053094-protein TCONS_00053094-protein, Clytia_hemispherica_TCONS_00046080-protein TCONS_00046080-protein, Clytia_hemispherica_TCONS_00065030-protein TCONS_00065030-protein
