Orthogroup	Chordata_Vertebrata_Danio_rerio	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000001	Danio_rerio_tr_A0A0R4IFE9_A0A0R4IFE9_DANRE tr|A0A0R4IFE9|A0A0R4IFE9_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=4 SV=1, Danio_rerio_tr_Q32SK8_Q32SK8_DANRE tr|Q32SK8|Q32SK8_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=2 SV=1, Danio_rerio_sp_Q8JHV6_LAMB4_DANRE sp|Q8JHV6|LAMB4_DANRE Laminin subunit beta-4 OS=Danio rerio OX=7955 GN=lamb4 PE=2 SV=1, Danio_rerio_tr_A0A8M9PDX2_A0A8M9PDX2_DANRE tr|A0A8M9PDX2|A0A8M9PDX2_DANRE Laminin subunit beta-1 isoform X1 OS=Danio rerio OX=7955 GN=lamb2l PE=1 SV=1, Danio_rerio_tr_B7ZDA6_B7ZDA6_DANRE tr|B7ZDA6|B7ZDA6_DANRE Laminin subunit beta-2 precursor OS=Danio rerio OX=7955 GN=si_dkey-32e6.2 PE=1 SV=1, Danio_rerio_tr_F1REL9_F1REL9_DANRE tr|F1REL9|F1REL9_DANRE Laminin_ beta 1b OS=Danio rerio OX=7955 GN=si_dkey-183c16.5 PE=4 SV=1, Danio_rerio_tr_Q8JHV7_Q8JHV7_DANRE tr|Q8JHV7|Q8JHV7_DANRE Laminin beta 1 OS=Danio rerio OX=7955 GN=lamb1 PE=1 SV=1	Trichoplax_specH2_tr_A0A369SGJ7_A0A369SGJ7_9METZ tr|A0A369SGJ7|A0A369SGJ7_9METZ Laminin subunit beta-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001775 PE=4 SV=1
OG0000001	Danio_rerio_tr_F1QPJ1_F1QPJ1_DANRE tr|F1QPJ1|F1QPJ1_DANRE Laminin subunit gamma-3 OS=Danio rerio OX=7955 GN=lamc3 PE=4 SV=1, Danio_rerio_sp_Q1LVF0_LAMC1_DANRE sp|Q1LVF0|LAMC1_DANRE Laminin subunit gamma-1 OS=Danio rerio OX=7955 GN=lamc1 PE=2 SV=2	Trichoplax_specH2_tr_A0A369SBY2_A0A369SBY2_9METZ tr|A0A369SBY2|A0A369SBY2_9METZ Laminin subunit gamma-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003028 PE=4 SV=1
OG0000002	Danio_rerio_tr_A0A0R4IMM9_A0A0R4IMM9_DANRE tr|A0A0R4IMM9|A0A0R4IMM9_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=1, Danio_rerio_tr_F1R9L1_F1R9L1_DANRE tr|F1R9L1|F1R9L1_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=3, Danio_rerio_tr_F1QPQ6_F1QPQ6_DANRE tr|F1QPQ6|F1QPQ6_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Ba OS=Danio rerio OX=7955 GN=sema5ba PE=4 SV=1, Danio_rerio_tr_A0A8M1Q1V7_A0A8M1Q1V7_DANRE tr|A0A8M1Q1V7|A0A8M1Q1V7_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Bb OS=Danio rerio OX=7955 GN=sema5bb PE=4 SV=1	Trichoplax_specH2_tr_A0A369SFC4_A0A369SFC4_9METZ tr|A0A369SFC4|A0A369SFC4_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002772 PE=4 SV=1
OG0000002	Danio_rerio_tr_A3KPS4_A3KPS4_DANRE tr|A3KPS4|A3KPS4_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_A3KPS3_A3KPS3_DANRE tr|A3KPS3|A3KPS3_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_Q6P7E1_Q6P7E1_DANRE tr|Q6P7E1|Q6P7E1_DANRE Semaphorin-6A precursor OS=Danio rerio OX=7955 GN=zgc_66106 PE=2 SV=1, Danio_rerio_tr_B8JMB1_B8JMB1_DANRE tr|B8JMB1|B8JMB1_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D OS=Danio rerio OX=7955 GN=wu_fi06a12 PE=4 SV=1	Trichoplax_specH2_tr_A0A369SGE8_A0A369SGE8_9METZ tr|A0A369SGE8|A0A369SGE8_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002776 PE=3 SV=1
OG0000010	Danio_rerio_tr_E7F5U2_E7F5U2_DANRE tr|E7F5U2|E7F5U2_DANRE Immunoglobulin superfamily member 10 OS=Danio rerio OX=7955 GN=igsf10 PE=4 SV=1, Danio_rerio_tr_F1QHX4_F1QHX4_DANRE tr|F1QHX4|F1QHX4_DANRE Matrix-remodeling-associated protein 5 OS=Danio rerio OX=7955 GN=mxra5b PE=4 SV=2, Danio_rerio_tr_A0A8M1QK92_A0A8M1QK92_DANRE tr|A0A8M1QK92|A0A8M1QK92_DANRE Matrix-remodeling-associated protein 5 OS=Danio rerio OX=7955 GN=mxra5a PE=4 SV=1	Trichoplax_specH2_tr_A0A369RVV2_A0A369RVV2_9METZ tr|A0A369RVV2|A0A369RVV2_9METZ Neural cell adhesion molecule 2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010641 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWI3_A0A369RWI3_9METZ tr|A0A369RWI3|A0A369RWI3_9METZ Protein sax-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010638 PE=4 SV=1
OG0000010	Danio_rerio_tr_A7MBP8_A7MBP8_DANRE tr|A7MBP8|A7MBP8_DANRE Follistatin b isoform 2 precursor OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_tr_Q2PMI4_Q2PMI4_DANRE tr|Q2PMI4|Q2PMI4_DANRE Follistatin 2 OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_sp_Q9YHV4_FSTA_DANRE sp|Q9YHV4|FSTA_DANRE Follistatin-A OS=Danio rerio OX=7955 GN=fsta PE=2 SV=2, Danio_rerio_tr_A4IG14_A4IG14_DANRE tr|A4IG14|A4IG14_DANRE Follistatin-like 3 _secreted glycoprotein_ OS=Danio rerio OX=7955 GN=zgc_114170 PE=2 SV=1	Trichoplax_specH2_tr_A0A369SGZ7_A0A369SGZ7_9METZ tr|A0A369SGZ7|A0A369SGZ7_9METZ Follistatin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002122 PE=4 SV=1
OG0000011	Danio_rerio_tr_Q90ZN6_Q90ZN6_DANRE tr|Q90ZN6|Q90ZN6_DANRE Hepatocyte growth factor-like 1 OS=Danio rerio OX=7955 GN=hgfl1 PE=2 SV=1, Danio_rerio_tr_Q5RGG3_Q5RGG3_DANRE tr|Q5RGG3|Q5RGG3_DANRE Hepatocyte growth factor OS=Danio rerio OX=7955 GN=hgf1 PE=3 SV=1, Danio_rerio_tr_F1REK1_F1REK1_DANRE tr|F1REK1|F1REK1_DANRE Hepatocyte growth factor OS=Danio rerio OX=7955 GN=hgf1 PE=3 SV=1	Trichoplax_specH2_tr_A0A369SG72_A0A369SG72_9METZ tr|A0A369SG72|A0A369SG72_9METZ Plasminogen OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001906 PE=4 SV=1
OG0000011	Danio_rerio_sp_Q7SXB3_P3IP1_DANRE sp|Q7SXB3|P3IP1_DANRE Phosphoinositide-3-kinase-interacting protein 1 OS=Danio rerio OX=7955 GN=pik3ip1 PE=2 SV=1	Trichoplax_specH2_tr_A0A369RV82_A0A369RV82_9METZ tr|A0A369RV82|A0A369RV82_9METZ Kremen protein 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007833 PE=4 SV=1
OG0000012	Danio_rerio_tr_E7F9Z1_E7F9Z1_DANRE tr|E7F9Z1|E7F9Z1_DANRE von Willebrand factor OS=Danio rerio OX=7955 GN=VWF PE=1 SV=3	Trichoplax_specH2_tr_A0A369RVP1_A0A369RVP1_9METZ tr|A0A369RVP1|A0A369RVP1_9METZ SCO-spondin _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008599 PE=4 SV=1
OG0000012	Danio_rerio_tr_A6H8K2_A6H8K2_DANRE tr|A6H8K2|A6H8K2_DANRE BMP-binding endothelial regulator protein precursor OS=Danio rerio OX=7955 GN=cvl2 PE=2 SV=1, Danio_rerio_tr_Q5D734_Q5D734_DANRE tr|Q5D734|Q5D734_DANRE Crossveinless 2 OS=Danio rerio OX=7955 GN=cvl2 PE=1 SV=1, Danio_rerio_tr_F1Q752_F1Q752_DANRE tr|F1Q752|F1Q752_DANRE Kielin/chordin-like protein OS=Danio rerio OX=7955 GN=si_dkey-266m15.6 PE=4 SV=3	Trichoplax_specH2_tr_A0A369RVG2_A0A369RVG2_9METZ tr|A0A369RVG2|A0A369RVG2_9METZ BMP-binding endothelial regulator protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010308 PE=4 SV=1
