Orthogroup	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000003	Thelohanellus_kitauei_tr_A0A0C2MFY0_A0A0C2MFY0_THEKT tr|A0A0C2MFY0|A0A0C2MFY0_THEKT Alpha-N-acetylgalactosamine-specific lectin OS=Thelohanellus kitauei OX=669202 GN=RF11_00408 PE=4 SV=1	Exaiptasia_diaphana_XP_028518744.1 XP_028518744.1 uncharacterized protein LOC110251542 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913924.1 XP_020913924.1 uncharacterized protein LOC110251542 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913925.1 XP_020913925.1 uncharacterized protein LOC110251542 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518745.1 XP_028518745.1 uncharacterized protein LOC110251542 isoform X4 [Exaiptasia diaphana]
OG0000009	Thelohanellus_kitauei_tr_A0A0C2JCL4_A0A0C2JCL4_THEKT tr|A0A0C2JCL4|A0A0C2JCL4_THEKT Bone morphogenetic protein 1 OS=Thelohanellus kitauei OX=669202 GN=RF11_09759 PE=4 SV=1	Exaiptasia_diaphana_XP_028515415.1 XP_028515415.1 CUB and peptidase domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515413.1 XP_028515413.1 ribosome-binding protein 1-like [Exaiptasia diaphana]
OG0000010	Thelohanellus_kitauei_tr_A0A0C2J7D4_A0A0C2J7D4_THEKT tr|A0A0C2J7D4|A0A0C2J7D4_THEKT Neural cell adhesion molecule 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11012 PE=4 SV=1	Exaiptasia_diaphana_XP_020914581.2 XP_020914581.2 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517944.1 XP_028517944.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911214.1 XP_020911214.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515088.1 XP_028515088.1 hemicentin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899237.1 XP_020899237.1 roundabout homolog 1 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514562.1 XP_028514562.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899232.1 XP_020899232.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899235.1 XP_020899235.1 roundabout homolog 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899236.1 XP_020899236.1 roundabout homolog 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899238.1 XP_020899238.1 roundabout homolog 1 isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915443.2 XP_020915443.2 contactin-5-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519700.1 XP_028519700.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917370.1 XP_020917370.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917369.1 XP_020917369.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912327.1 XP_020912327.1 Down syndrome cell adhesion molecule [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516420.1 XP_028516420.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519293.1 XP_028519293.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519300.1 XP_028519300.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898537.1 XP_020898537.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898540.1 XP_020898540.1 uncharacterized protein LOC110237290 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906332.1 XP_020906332.1 titin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906312.1 XP_020906312.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898535.1 XP_020898535.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902103.1 XP_020902103.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519211.1 XP_028519211.1 neural cell adhesion molecule 1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517264.1 XP_028517264.1 neural cell adhesion molecule 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517725.1 XP_028517725.1 hemicentin-1 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517726.1 XP_028517726.1 hemicentin-1 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517727.1 XP_028517727.1 hemicentin-1 isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517724.1 XP_028517724.1 hemicentin-1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517722.1 XP_028517722.1 hemicentin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517723.1 XP_028517723.1 hemicentin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518161.1 XP_028518161.1 hemicentin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911827.1 XP_020911827.1 hemicentin-2 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514386.1 XP_028514386.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514286.1 XP_028514286.1 carcinoembryonic antigen-related cell adhesion molecule 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894828.2 XP_020894828.2 protein eyes shut homolog [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518930.1 XP_028518930.1 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518186.1 XP_028518186.1 pikachurin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516406.1 XP_028516406.1 zonadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894465.1 XP_020894465.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513649.1 XP_028513649.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902315.1 XP_020902315.1 uncharacterized protein LOC110240840 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513610.1 XP_028513610.1 agrin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909932.2 XP_020909932.2 uncharacterized protein LOC110247804_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517563.1 XP_028517563.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517562.1 XP_028517562.1 agrin [Exaiptasia diaphana]
OG0000019	Thelohanellus_kitauei_tr_A0A0C2IZ76_A0A0C2IZ76_THEKT tr|A0A0C2IZ76|A0A0C2IZ76_THEKT Bone morphogenetic protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_05528 PE=3 SV=1	Exaiptasia_diaphana_XP_020895491.1 XP_020895491.1 bone morphogenetic protein 7 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895490.1 XP_020895490.1 bone morphogenetic protein 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895489.1 XP_020895489.1 bone morphogenetic protein 7 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905685.1 XP_020905685.1 bone morphogenetic protein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905684.1 XP_020905684.1 bone morphogenetic protein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895368.1 XP_020895368.1 growth_differentiation factor 5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893270.1 XP_020893270.1 protein DVR-1 homolog [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892723.2 XP_020892723.2 protein decapentaplegic-like [Exaiptasia diaphana]
OG0000022	Thelohanellus_kitauei_tr_A0A0C2JU32_A0A0C2JU32_THEKT tr|A0A0C2JU32|A0A0C2JU32_THEKT Uncharacterized protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12365 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2J4Y6_A0A0C2J4Y6_THEKT tr|A0A0C2J4Y6|A0A0C2J4Y6_THEKT Annexin D5 OS=Thelohanellus kitauei OX=669202 GN=RF11_12366 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2JU46_A0A0C2JU46_THEKT tr|A0A0C2JU46|A0A0C2JU46_THEKT Annexin D5 OS=Thelohanellus kitauei OX=669202 GN=RF11_12377 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N990_A0A0C2N990_THEKT tr|A0A0C2N990|A0A0C2N990_THEKT Uncharacterized protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12379 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2J4X2_A0A0C2J4X2_THEKT tr|A0A0C2J4X2|A0A0C2J4X2_THEKT Annexin A1 OS=Thelohanellus kitauei OX=669202 GN=RF11_12350 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2ML61_A0A0C2ML61_THEKT tr|A0A0C2ML61|A0A0C2ML61_THEKT Annexin A8 OS=Thelohanellus kitauei OX=669202 GN=RF11_11684 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N664_A0A0C2N664_THEKT tr|A0A0C2N664|A0A0C2N664_THEKT Annexin A7 OS=Thelohanellus kitauei OX=669202 GN=RF11_11071 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2MB87_A0A0C2MB87_THEKT tr|A0A0C2MB87|A0A0C2MB87_THEKT Annexin OS=Thelohanellus kitauei OX=669202 GN=RF11_02608 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N5J8_A0A0C2N5J8_THEKT tr|A0A0C2N5J8|A0A0C2N5J8_THEKT Annexin A13 OS=Thelohanellus kitauei OX=669202 GN=RF11_07433 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2NC03_A0A0C2NC03_THEKT tr|A0A0C2NC03|A0A0C2NC03_THEKT Annexin A2 OS=Thelohanellus kitauei OX=669202 GN=RF11_04048 PE=3 SV=1	Exaiptasia_diaphana_XP_028516856.1 XP_028516856.1 uncharacterized protein LOC110245728 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894269.1 XP_020894269.1 annexin A3 [Exaiptasia diaphana]
OG0000029	Thelohanellus_kitauei_tr_A0A0C2MBA6_A0A0C2MBA6_THEKT tr|A0A0C2MBA6|A0A0C2MBA6_THEKT Contactin-associated protein-like 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_10944 PE=4 SV=1	Exaiptasia_diaphana_XP_020893090.1 XP_020893090.1 EGF and laminin G domain-containing protein [Exaiptasia diaphana]
OG0000030	Thelohanellus_kitauei_tr_A0A0C2IKU6_A0A0C2IKU6_THEKT tr|A0A0C2IKU6|A0A0C2IKU6_THEKT Disintegrin and metalloproteinase domain-containing protein 17 OS=Thelohanellus kitauei OX=669202 GN=RF11_10145 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2IDG7_A0A0C2IDG7_THEKT tr|A0A0C2IDG7|A0A0C2IDG7_THEKT Disintegrin and metalloproteinase domain-containing protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_02191 PE=4 SV=1	Exaiptasia_diaphana_XP_020898884.1 XP_020898884.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517814.1 XP_028517814.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910720.1 XP_020910720.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519758.1 XP_028519758.1 disintegrin and metalloproteinase domain-containing protein 10_ partial [Exaiptasia diaphana]
OG0000035	Thelohanellus_kitauei_tr_A0A0C2MG52_A0A0C2MG52_THEKT tr|A0A0C2MG52|A0A0C2MG52_THEKT Thrombospondin-2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11948 PE=4 SV=1	Exaiptasia_diaphana_XP_028515554.1 XP_028515554.1 uncharacterized protein LOC110241304 [Exaiptasia diaphana]
OG0000044	Thelohanellus_kitauei_tr_A0A0C2MGP9_A0A0C2MGP9_THEKT tr|A0A0C2MGP9|A0A0C2MGP9_THEKT Transglutaminase-like domain-containing protein OS=Thelohanellus kitauei OX=669202 GN=RF11_08049 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2MLY4_A0A0C2MLY4_THEKT tr|A0A0C2MLY4|A0A0C2MLY4_THEKT Protein-glutamine gamma-glutamyltransferase 5 OS=Thelohanellus kitauei OX=669202 GN=RF11_09496 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2J3K6_A0A0C2J3K6_THEKT tr|A0A0C2J3K6|A0A0C2J3K6_THEKT Annulin OS=Thelohanellus kitauei OX=669202 GN=RF11_06661 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2I6Y8_A0A0C2I6Y8_THEKT tr|A0A0C2I6Y8|A0A0C2I6Y8_THEKT Protein-glutamine gamma-glutamyltransferase K OS=Thelohanellus kitauei OX=669202 GN=RF11_13941 PE=3 SV=1	Exaiptasia_diaphana_XP_028519449.1 XP_028519449.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916544.1 XP_020916544.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916593.1 XP_020916593.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana]
OG0000100	Thelohanellus_kitauei_tr_A0A0C2JM05_A0A0C2JM05_THEKT tr|A0A0C2JM05|A0A0C2JM05_THEKT Collagen alpha-3_VI_ chain OS=Thelohanellus kitauei OX=669202 GN=RF11_09676 PE=4 SV=1	Exaiptasia_diaphana_XP_028514114.1 XP_028514114.1 hyphally regulated cell wall protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897767.1 XP_020897767.1 hyphally regulated cell wall protein 3 [Exaiptasia diaphana]
