Orthogroup	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000003	Thelohanellus_kitauei_tr_A0A0C2MFY0_A0A0C2MFY0_THEKT tr|A0A0C2MFY0|A0A0C2MFY0_THEKT Alpha-N-acetylgalactosamine-specific lectin OS=Thelohanellus kitauei OX=669202 GN=RF11_00408 PE=4 SV=1	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein
OG0000005	Thelohanellus_kitauei_tr_A0A0C2J973_A0A0C2J973_THEKT tr|A0A0C2J973|A0A0C2J973_THEKT Metalloendopeptidase OS=Thelohanellus kitauei OX=669202 GN=RF11_08035 PE=4 SV=1	Clytia_hemispherica_TCONS_00025486-protein TCONS_00025486-protein, Clytia_hemispherica_TCONS_00071313-protein TCONS_00071313-protein, Clytia_hemispherica_TCONS_00020048-protein TCONS_00020048-protein, Clytia_hemispherica_TCONS_00012296-protein TCONS_00012296-protein, Clytia_hemispherica_TCONS_00027133-protein TCONS_00027133-protein
OG0000010	Thelohanellus_kitauei_tr_A0A0C2J7D4_A0A0C2J7D4_THEKT tr|A0A0C2J7D4|A0A0C2J7D4_THEKT Neural cell adhesion molecule 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11012 PE=4 SV=1	Clytia_hemispherica_TCONS_00059787-protein TCONS_00059787-protein, Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein, Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein, Clytia_hemispherica_TCONS_00064588-protein TCONS_00064588-protein, Clytia_hemispherica_TCONS_00036457-protein TCONS_00036457-protein, Clytia_hemispherica_TCONS_00058124-protein TCONS_00058124-protein, Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein, Clytia_hemispherica_TCONS_00002898-protein TCONS_00002898-protein, Clytia_hemispherica_TCONS_00064483-protein TCONS_00064483-protein, Clytia_hemispherica_TCONS_00060277-protein TCONS_00060277-protein, Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein
OG0000019	Thelohanellus_kitauei_tr_A0A0C2IZ76_A0A0C2IZ76_THEKT tr|A0A0C2IZ76|A0A0C2IZ76_THEKT Bone morphogenetic protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_05528 PE=3 SV=1	Clytia_hemispherica_TCONS_00002859-protein TCONS_00002859-protein, Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein, Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein, Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000022	Thelohanellus_kitauei_tr_A0A0C2JU32_A0A0C2JU32_THEKT tr|A0A0C2JU32|A0A0C2JU32_THEKT Uncharacterized protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12365 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2J4Y6_A0A0C2J4Y6_THEKT tr|A0A0C2J4Y6|A0A0C2J4Y6_THEKT Annexin D5 OS=Thelohanellus kitauei OX=669202 GN=RF11_12366 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2JU46_A0A0C2JU46_THEKT tr|A0A0C2JU46|A0A0C2JU46_THEKT Annexin D5 OS=Thelohanellus kitauei OX=669202 GN=RF11_12377 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N990_A0A0C2N990_THEKT tr|A0A0C2N990|A0A0C2N990_THEKT Uncharacterized protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12379 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2J4X2_A0A0C2J4X2_THEKT tr|A0A0C2J4X2|A0A0C2J4X2_THEKT Annexin A1 OS=Thelohanellus kitauei OX=669202 GN=RF11_12350 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2ML61_A0A0C2ML61_THEKT tr|A0A0C2ML61|A0A0C2ML61_THEKT Annexin A8 OS=Thelohanellus kitauei OX=669202 GN=RF11_11684 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N664_A0A0C2N664_THEKT tr|A0A0C2N664|A0A0C2N664_THEKT Annexin A7 OS=Thelohanellus kitauei OX=669202 GN=RF11_11071 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2MB87_A0A0C2MB87_THEKT tr|A0A0C2MB87|A0A0C2MB87_THEKT Annexin OS=Thelohanellus kitauei OX=669202 GN=RF11_02608 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N5J8_A0A0C2N5J8_THEKT tr|A0A0C2N5J8|A0A0C2N5J8_THEKT Annexin A13 OS=Thelohanellus kitauei OX=669202 GN=RF11_07433 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2NC03_A0A0C2NC03_THEKT tr|A0A0C2NC03|A0A0C2NC03_THEKT Annexin A2 OS=Thelohanellus kitauei OX=669202 GN=RF11_04048 PE=3 SV=1	Clytia_hemispherica_TCONS_00007569-protein TCONS_00007569-protein
OG0000029	Thelohanellus_kitauei_tr_A0A0C2MBA6_A0A0C2MBA6_THEKT tr|A0A0C2MBA6|A0A0C2MBA6_THEKT Contactin-associated protein-like 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_10944 PE=4 SV=1	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein
OG0000030	Thelohanellus_kitauei_tr_A0A0C2IKU6_A0A0C2IKU6_THEKT tr|A0A0C2IKU6|A0A0C2IKU6_THEKT Disintegrin and metalloproteinase domain-containing protein 17 OS=Thelohanellus kitauei OX=669202 GN=RF11_10145 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2IDG7_A0A0C2IDG7_THEKT tr|A0A0C2IDG7|A0A0C2IDG7_THEKT Disintegrin and metalloproteinase domain-containing protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_02191 PE=4 SV=1	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein, Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000035	Thelohanellus_kitauei_tr_A0A0C2MG52_A0A0C2MG52_THEKT tr|A0A0C2MG52|A0A0C2MG52_THEKT Thrombospondin-2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11948 PE=4 SV=1	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein
OG0000044	Thelohanellus_kitauei_tr_A0A0C2MGP9_A0A0C2MGP9_THEKT tr|A0A0C2MGP9|A0A0C2MGP9_THEKT Transglutaminase-like domain-containing protein OS=Thelohanellus kitauei OX=669202 GN=RF11_08049 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2MLY4_A0A0C2MLY4_THEKT tr|A0A0C2MLY4|A0A0C2MLY4_THEKT Protein-glutamine gamma-glutamyltransferase 5 OS=Thelohanellus kitauei OX=669202 GN=RF11_09496 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2J3K6_A0A0C2J3K6_THEKT tr|A0A0C2J3K6|A0A0C2J3K6_THEKT Annulin OS=Thelohanellus kitauei OX=669202 GN=RF11_06661 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2I6Y8_A0A0C2I6Y8_THEKT tr|A0A0C2I6Y8|A0A0C2I6Y8_THEKT Protein-glutamine gamma-glutamyltransferase K OS=Thelohanellus kitauei OX=669202 GN=RF11_13941 PE=3 SV=1	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000100	Thelohanellus_kitauei_tr_A0A0C2JM05_A0A0C2JM05_THEKT tr|A0A0C2JM05|A0A0C2JM05_THEKT Collagen alpha-3_VI_ chain OS=Thelohanellus kitauei OX=669202 GN=RF11_09676 PE=4 SV=1	Clytia_hemispherica_TCONS_00024080-protein TCONS_00024080-protein
OG0000177	Thelohanellus_kitauei_tr_A0A0C2MQX0_A0A0C2MQX0_THEKT tr|A0A0C2MQX0|A0A0C2MQX0_THEKT Protein phosphatase 1 regulatory subunit 7 OS=Thelohanellus kitauei OX=669202 GN=RF11_04857 PE=4 SV=1	Clytia_hemispherica_TCONS_00003500-protein TCONS_00003500-protein
OG0000192	Thelohanellus_kitauei_tr_A0A0C2NJH7_A0A0C2NJH7_THEKT tr|A0A0C2NJH7|A0A0C2NJH7_THEKT Protein flightless-1 OS=Thelohanellus kitauei OX=669202 GN=RF11_00545 PE=4 SV=1	Clytia_hemispherica_TCONS_00014937-protein TCONS_00014937-protein
OG0000199	Thelohanellus_kitauei_tr_A0A0C2JC00_A0A0C2JC00_THEKT tr|A0A0C2JC00|A0A0C2JC00_THEKT VWFA domain-containing protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12712 PE=4 SV=1	Clytia_hemispherica_TCONS_00047808-protein TCONS_00047808-protein
OG0000253	Thelohanellus_kitauei_tr_A0A0C2J260_A0A0C2J260_THEKT tr|A0A0C2J260|A0A0C2J260_THEKT General transcription factor IIH subunit 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_08030 PE=4 SV=1	Clytia_hemispherica_TCONS_00003407-protein TCONS_00003407-protein
OG0000331	Thelohanellus_kitauei_tr_A0A0C2JEB5_A0A0C2JEB5_THEKT tr|A0A0C2JEB5|A0A0C2JEB5_THEKT Kunitz-type serine protease inhibitor IX OS=Thelohanellus kitauei OX=669202 GN=RF11_14322 PE=4 SV=1	Clytia_hemispherica_TCONS_00057393-protein TCONS_00057393-protein
