Orthogroup	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000003	Thelohanellus_kitauei_tr_A0A0C2MFY0_A0A0C2MFY0_THEKT tr|A0A0C2MFY0|A0A0C2MFY0_THEKT Alpha-N-acetylgalactosamine-specific lectin OS=Thelohanellus kitauei OX=669202 GN=RF11_00408 PE=4 SV=1	Stylophora_pistillata_Spis15966 Spis15966 SpisGene15966
OG0000009	Thelohanellus_kitauei_tr_A0A0C2JCL4_A0A0C2JCL4_THEKT tr|A0A0C2JCL4|A0A0C2JCL4_THEKT Bone morphogenetic protein 1 OS=Thelohanellus kitauei OX=669202 GN=RF11_09759 PE=4 SV=1	Stylophora_pistillata_Spis21497 Spis21497 SpisGene21497, Stylophora_pistillata_Spis21489 Spis21489 SpisGene21489, Stylophora_pistillata_Spis935 Spis935 SpisGene935, Stylophora_pistillata_Spis6599 Spis6599 SpisGene6599, Stylophora_pistillata_Spis4467 Spis4467 SpisGene4467, Stylophora_pistillata_Spis4466 Spis4466 SpisGene4466
OG0000010	Thelohanellus_kitauei_tr_A0A0C2J7D4_A0A0C2J7D4_THEKT tr|A0A0C2J7D4|A0A0C2J7D4_THEKT Neural cell adhesion molecule 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11012 PE=4 SV=1	Stylophora_pistillata_Spis19417 Spis19417 SpisGene19417, Stylophora_pistillata_Spis10737 Spis10737 SpisGene10737, Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190, Stylophora_pistillata_Spis6111 Spis6111 SpisGene6111, Stylophora_pistillata_Spis11339 Spis11339 SpisGene11339, Stylophora_pistillata_Spis1256.t1 Spis1256.t1 SpisGene1256, Stylophora_pistillata_Spis4830 Spis4830 SpisGene4830, Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541, Stylophora_pistillata_Spis2938 Spis2938 SpisGene2938, Stylophora_pistillata_Spis23700 Spis23700 SpisGene23700, Stylophora_pistillata_Spis4991 Spis4991 SpisGene4991, Stylophora_pistillata_Spis19002 Spis19002 SpisGene19002, Stylophora_pistillata_Spis19416.t1 Spis19416.t1 SpisGene19416, Stylophora_pistillata_Spis15992 Spis15992 SpisGene15992, Stylophora_pistillata_Spis15994 Spis15994 SpisGene15994, Stylophora_pistillata_Spis23832 Spis23832 SpisGene23832, Stylophora_pistillata_Spis22051 Spis22051 SpisGene22051, Stylophora_pistillata_Spis15892 Spis15892 SpisGene15892, Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363, Stylophora_pistillata_Spis20690 Spis20690 SpisGene20690, Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579, Stylophora_pistillata_Spis13273 Spis13273 SpisGene13273
OG0000019	Thelohanellus_kitauei_tr_A0A0C2IZ76_A0A0C2IZ76_THEKT tr|A0A0C2IZ76|A0A0C2IZ76_THEKT Bone morphogenetic protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_05528 PE=3 SV=1	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402, Stylophora_pistillata_Spis4504 Spis4504 SpisGene4504, Stylophora_pistillata_Spis8182.t1 Spis8182.t1 SpisGene8182, Stylophora_pistillata_Spis1246 Spis1246 SpisGene1246, Stylophora_pistillata_Spis5212 Spis5212 SpisGene5212, Stylophora_pistillata_Spis1236 Spis1236 SpisGene1236, Stylophora_pistillata_Spis8792 Spis8792 SpisGene8792
OG0000022	Thelohanellus_kitauei_tr_A0A0C2JU32_A0A0C2JU32_THEKT tr|A0A0C2JU32|A0A0C2JU32_THEKT Uncharacterized protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12365 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2J4Y6_A0A0C2J4Y6_THEKT tr|A0A0C2J4Y6|A0A0C2J4Y6_THEKT Annexin D5 OS=Thelohanellus kitauei OX=669202 GN=RF11_12366 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2JU46_A0A0C2JU46_THEKT tr|A0A0C2JU46|A0A0C2JU46_THEKT Annexin D5 OS=Thelohanellus kitauei OX=669202 GN=RF11_12377 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N990_A0A0C2N990_THEKT tr|A0A0C2N990|A0A0C2N990_THEKT Uncharacterized protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12379 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2J4X2_A0A0C2J4X2_THEKT tr|A0A0C2J4X2|A0A0C2J4X2_THEKT Annexin A1 OS=Thelohanellus kitauei OX=669202 GN=RF11_12350 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2ML61_A0A0C2ML61_THEKT tr|A0A0C2ML61|A0A0C2ML61_THEKT Annexin A8 OS=Thelohanellus kitauei OX=669202 GN=RF11_11684 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N664_A0A0C2N664_THEKT tr|A0A0C2N664|A0A0C2N664_THEKT Annexin A7 OS=Thelohanellus kitauei OX=669202 GN=RF11_11071 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2MB87_A0A0C2MB87_THEKT tr|A0A0C2MB87|A0A0C2MB87_THEKT Annexin OS=Thelohanellus kitauei OX=669202 GN=RF11_02608 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N5J8_A0A0C2N5J8_THEKT tr|A0A0C2N5J8|A0A0C2N5J8_THEKT Annexin A13 OS=Thelohanellus kitauei OX=669202 GN=RF11_07433 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2NC03_A0A0C2NC03_THEKT tr|A0A0C2NC03|A0A0C2NC03_THEKT Annexin A2 OS=Thelohanellus kitauei OX=669202 GN=RF11_04048 PE=3 SV=1	Stylophora_pistillata_Spis2403 Spis2403 SpisGene2403, Stylophora_pistillata_Spis2392 Spis2392 SpisGene2392
OG0000029	Thelohanellus_kitauei_tr_A0A0C2MBA6_A0A0C2MBA6_THEKT tr|A0A0C2MBA6|A0A0C2MBA6_THEKT Contactin-associated protein-like 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_10944 PE=4 SV=1	Stylophora_pistillata_Spis1889 Spis1889 SpisGene1889
OG0000030	Thelohanellus_kitauei_tr_A0A0C2IKU6_A0A0C2IKU6_THEKT tr|A0A0C2IKU6|A0A0C2IKU6_THEKT Disintegrin and metalloproteinase domain-containing protein 17 OS=Thelohanellus kitauei OX=669202 GN=RF11_10145 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2IDG7_A0A0C2IDG7_THEKT tr|A0A0C2IDG7|A0A0C2IDG7_THEKT Disintegrin and metalloproteinase domain-containing protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_02191 PE=4 SV=1	Stylophora_pistillata_Spis14458 Spis14458 SpisGene14458, Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004, Stylophora_pistillata_Spis138 Spis138 SpisGene138
OG0000035	Thelohanellus_kitauei_tr_A0A0C2MG52_A0A0C2MG52_THEKT tr|A0A0C2MG52|A0A0C2MG52_THEKT Thrombospondin-2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11948 PE=4 SV=1	Stylophora_pistillata_Spis3601 Spis3601 SpisGene3601
OG0000044	Thelohanellus_kitauei_tr_A0A0C2MGP9_A0A0C2MGP9_THEKT tr|A0A0C2MGP9|A0A0C2MGP9_THEKT Transglutaminase-like domain-containing protein OS=Thelohanellus kitauei OX=669202 GN=RF11_08049 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2MLY4_A0A0C2MLY4_THEKT tr|A0A0C2MLY4|A0A0C2MLY4_THEKT Protein-glutamine gamma-glutamyltransferase 5 OS=Thelohanellus kitauei OX=669202 GN=RF11_09496 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2J3K6_A0A0C2J3K6_THEKT tr|A0A0C2J3K6|A0A0C2J3K6_THEKT Annulin OS=Thelohanellus kitauei OX=669202 GN=RF11_06661 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2I6Y8_A0A0C2I6Y8_THEKT tr|A0A0C2I6Y8|A0A0C2I6Y8_THEKT Protein-glutamine gamma-glutamyltransferase K OS=Thelohanellus kitauei OX=669202 GN=RF11_13941 PE=3 SV=1	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987
OG0000100	Thelohanellus_kitauei_tr_A0A0C2JM05_A0A0C2JM05_THEKT tr|A0A0C2JM05|A0A0C2JM05_THEKT Collagen alpha-3_VI_ chain OS=Thelohanellus kitauei OX=669202 GN=RF11_09676 PE=4 SV=1	Stylophora_pistillata_Spis20499 Spis20499 SpisGene20499
