Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000000	Morbakka_virulenta_scaffold713.g2.t2 scaffold713.g2.t2, Morbakka_virulenta_scaffold713.g2.t1 scaffold713.g2.t1	Nematostella_vectensis_NV2t010046003.1 NV2t010046003.1, Nematostella_vectensis_NV2t010046002.1 NV2t010046002.1, Nematostella_vectensis_NV2t010046001.1 NV2t010046001.1
OG0000001	Morbakka_virulenta_scaffold55.g43.t1 scaffold55.g43.t1, Morbakka_virulenta_scaffold227.g30.t1 scaffold227.g30.t1	Nematostella_vectensis_NV2t024157001.1 NV2t024157001.1
OG0000001	Morbakka_virulenta_scaffold356.g13.t1 scaffold356.g13.t1	Nematostella_vectensis_NV2t020323001.1 NV2t020323001.1, Nematostella_vectensis_NV2t020323002.1 NV2t020323002.1, Nematostella_vectensis_NV2t024355001.1 NV2t024355001.1, Nematostella_vectensis_NV2t024348001.1 NV2t024348001.1, Nematostella_vectensis_NV2t024359002.1 NV2t024359002.1
OG0000001	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1	Nematostella_vectensis_NV2t001171001.1 NV2t001171001.1
OG0000001	Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4	Nematostella_vectensis_NV2t000702003.1 NV2t000702003.1, Nematostella_vectensis_NV2t000702002.1 NV2t000702002.1, Nematostella_vectensis_NV2t000702004.1 NV2t000702004.1, Nematostella_vectensis_NV2t000702005.1 NV2t000702005.1, Nematostella_vectensis_NV2t000702006.1 NV2t000702006.1, Nematostella_vectensis_NV2t000702001.1 NV2t000702001.1
OG0000001	Morbakka_virulenta_scaffold12.g138.t1 scaffold12.g138.t1, Morbakka_virulenta_scaffold361.g18.t1 scaffold361.g18.t1	Nematostella_vectensis_NV2t001803001.1 NV2t001803001.1, Nematostella_vectensis_NV2t001804001.1 NV2t001804001.1, Nematostella_vectensis_NV2t000600001.1 NV2t000600001.1
OG0000001	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1	Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1
OG0000001	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1	Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1
OG0000001	Morbakka_virulenta_scaffold186.g17.t1 scaffold186.g17.t1, Morbakka_virulenta_scaffold434.g16.t1 scaffold434.g16.t1	Nematostella_vectensis_NV2t011962001.1 NV2t011962001.1
OG0000001	Morbakka_virulenta_scaffold99.g24.t1 scaffold99.g24.t1	Nematostella_vectensis_NV2t003810001.1 NV2t003810001.1, Nematostella_vectensis_NV2t011961001.1 NV2t011961001.1
