Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Chordata_Vertebrata_Bos_taurus
OG0000000	Morbakka_virulenta_scaffold713.g2.t2 scaffold713.g2.t2, Morbakka_virulenta_scaffold713.g2.t1 scaffold713.g2.t1, Morbakka_virulenta_scaffold16.g2.t1 scaffold16.g2.t1	sp|Q24K15.1|ANGP4_BOVIN RecName_ Full=Angiopoietin-4; Short=ANG-4; Flags_ Precursor, sp|O77802.3|ANGP2_BOVIN RecName_ Full=Angiopoietin-2; Short=ANG-2; Flags_ Precursor, XP_059749109.1 angiopoietin-1 isoform X1 [Bos taurus]
OG0000001	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]
OG0000001	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]
OG0000001	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1, Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus], XP_059740913.1 netrin-G1 isoform X1 [Bos taurus]
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]
OG0000002	Morbakka_virulenta_scaffold164.g26.t1 scaffold164.g26.t1	sp|P35445.2|COMP_BOVIN RecName_ Full=Cartilage oligomeric matrix protein; Short=COMP; Flags_ Precursor, NP_001095309.1 thrombospondin-3 precursor [Bos taurus], XP_059746602.1 thrombospondin-4 isoform X1 [Bos taurus]
OG0000002	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1	XP_010815150.2 semaphorin-5A [Bos taurus], XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]
OG0000002	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus], XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus], XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus], XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]
OG0000003	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1, Morbakka_virulenta_scaffold14.g14.t1 scaffold14.g14.t1	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor, NP_001192642.1 collectin-10 precursor [Bos taurus], sp|Q8MHZ9.1|CL46_BOVIN RecName_ Full=Collectin-46; Short=CL-46; AltName_ Full=46 kDa collectin; Flags_ Precursor, NP_776532.1 mannose-binding protein C precursor [Bos taurus], XP_059738436.1 mannose-binding protein A isoform X1 [Bos taurus]
OG0000003	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3, Morbakka_virulenta_scaffold163.g30.t1 scaffold163.g30.t1, Morbakka_virulenta_scaffold2.g141.t1 scaffold2.g141.t1, Morbakka_virulenta_scaffold192.g7.t1 scaffold192.g7.t1, Morbakka_virulenta_scaffold252.g1.t1 scaffold252.g1.t1, Morbakka_virulenta_scaffold23.g83.t1 scaffold23.g83.t1	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]
OG0000004	Morbakka_virulenta_scaffold502.g1.t1 scaffold502.g1.t1	XP_024846755.1 collagen alpha-1_XXVIII_ chain isoform X1 [Bos taurus]
OG0000004	Morbakka_virulenta_scaffold1.g67.t2 scaffold1.g67.t2, Morbakka_virulenta_scaffold152.g33.t1 scaffold152.g33.t1, Morbakka_virulenta_scaffold152.g33.t2 scaffold152.g33.t2, Morbakka_virulenta_scaffold1.g56.t1 scaffold1.g56.t1, Morbakka_virulenta_scaffold1.g66.t1 scaffold1.g66.t1, Morbakka_virulenta_scaffold1.g59.t1 scaffold1.g59.t1, Morbakka_virulenta_scaffold1.g57.t1 scaffold1.g57.t1	sp|Q6R8F2.1|CADH1_BOVIN RecName_ Full=Cadherin-1; AltName_ Full=Epithelial cadherin; Short=E-cadherin; AltName_ CD_antigen=CD324; Contains_ RecName_ Full=E-Cad/CTF1; Contains_ RecName_ Full=E-Cad/CTF2; Contains_ RecName_ Full=E-Cad/CTF3; Flags_ Precursor
OG0000005	Morbakka_virulenta_scaffold318.g29.t1 scaffold318.g29.t1	XP_010816580.2 meprin A subunit alpha [Bos taurus], NP_001137570.1 meprin A subunit beta precursor [Bos taurus]
OG0000006	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1	NP_001033618.1 coagulation factor XIII B chain precursor [Bos taurus]
OG0000006	Morbakka_virulenta_scaffold315.g6.t1 scaffold315.g6.t1, Morbakka_virulenta_scaffold6.g93.t1 scaffold6.g93.t1, Morbakka_virulenta_scaffold193.g36.t1 scaffold193.g36.t1, Morbakka_virulenta_scaffold94.g59.t1 scaffold94.g59.t1, Morbakka_virulenta_scaffold71.g47.t1 scaffold71.g47.t1	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]
OG0000007	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]
OG0000009	Morbakka_virulenta_scaffold30.g63.t1 scaffold30.g63.t1	NP_001070436.1 mannan-binding lectin serine protease 1 precursor [Bos taurus], NP_001179001.1 mannan-binding lectin serine protease 2 precursor [Bos taurus]
OG0000009	Morbakka_virulenta_scaffold2220.g1.t1 scaffold2220.g1.t1	sp|Q5E9P5.1|PAMR1_BOVIN RecName_ Full=Inactive serine protease PAMR1; AltName_ Full=Peptidase domain-containing protein associated with muscle regeneration 1; AltName_ Full=Regeneration-associated muscle protease homolog; Flags_ Precursor
OG0000009	Morbakka_virulenta_scaffold24.g118.t2 scaffold24.g118.t2, Morbakka_virulenta_scaffold24.g118.t1 scaffold24.g118.t1, Morbakka_virulenta_scaffold70.g34.t2 scaffold70.g34.t2, Morbakka_virulenta_scaffold70.g34.t1 scaffold70.g34.t1, Morbakka_virulenta_scaffold397.g10.t2 scaffold397.g10.t2, Morbakka_virulenta_scaffold397.g10.t3 scaffold397.g10.t3, Morbakka_virulenta_scaffold397.g10.t1 scaffold397.g10.t1, Morbakka_virulenta_scaffold171.g6.t1 scaffold171.g6.t1	XP_024845605.1 CUB domain-containing protein 2 [Bos taurus]
OG0000010	Morbakka_virulenta_scaffold44.g75.t1 scaffold44.g75.t1	XP_010808812.1 hemicentin-2 isoform X1 [Bos taurus]
OG0000010	Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]
OG0000010	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1	XP_005217262.1 agrin isoform X1 [Bos taurus]
OG0000010	Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1	sp|Q1LZB9.1|FSTL3_BOVIN RecName_ Full=Follistatin-related protein 3; AltName_ Full=Follistatin-like protein 3; Flags_ Precursor
