protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	NV2t008727001.1|NV2t008727002.1|NV2t008727003.1	NV2t008727001.1|NV2t008727002.1|NV2t008727003.1	NV2t008727001.1|NV2t008727002.1|NV2t008727003.1	63018.7|63018.7|68026.4	6.41419	0.0	61	149	3	3	1	2	2	126	1.53572e+07	3.70657e+07	9.90518e+06	2.47546e+07	2.55571e+07	2.78188e+07	2.97386e+07	5.15442e+07	4.1589e+07	0.0	1.0	2.41357	0.644987	1.61192	1.66418	1.81145	1.93647	3.35636	2.70812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	NV2t007376001.1	NV2t007376001.1	NV2t007376001.1	51224.2	6.598	0.0	95	231	5	3	2	3	3	126	2.22599e+06	2.16803e+06	2.59668e+06	8.17548e+06	7.44786e+06	7.00246e+06	2.9205e+08	1.77956e+08	2.26958e+08	2.50074e+06	1.0	0.973962	1.16653	3.67274	3.34587	3.14578	131.2	79.9447	101.958	1.12343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	NV2t015736001.1	NV2t015736001.1	NV2t015736001.1	98955.0	6.12594	0.0	56	56	1	1	0	1	1	126	1.97489e+06	3.28823e+06	2.37125e+06	1.39362e+07	1.53372e+07	1.50348e+07	1.02195e+08	5.45652e+07	7.29481e+07	0.0	1.0	1.66502	1.2007	7.05669	7.76611	7.61298	51.747	27.6295	36.9379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	NV2t002542001.1	NV2t002542001.1	NV2t002542001.1	111728.0	6.97564	0.0	109	1010	18	17	3	15	15	126	2.20952e+07	2.84262e+07	2.38986e+07	8.62036e+07	8.72367e+07	9.93177e+07	1.3098e+09	9.72538e+08	1.28181e+09	280652.0	1.0	1.28456	1.0857	3.91141	3.92845	4.46575	60.1816	44.4644	58.0781	0.0119805	0.0	0.596476	0.443394	2.29474	2.86291	3.00419	53.3735	40.1239	49.0419	0.0364316
5	NV2t018469001.1	NV2t018469001.1	NV2t018469001.1	25019.0	6.21808	0.000506586	45	81	2	2	0	2	2	126	1.431e+06	952101.0	1.17764e+06	5.90964e+06	5.04752e+06	5.94123e+06	7.33009e+07	8.07115e+07	1.37037e+08	743324.0	1.0	0.66534	0.822948	4.12973	3.52727	4.1518	51.2236	56.4022	95.7631	0.519444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	NV2t003095001.1	NV2t003095001.1	NV2t003095001.1	70177.4	6.39843	0.0	80	239	5	5	0	5	5	126	8.59584e+06	1.48964e+07	7.51714e+06	4.08606e+07	3.7392e+07	4.83688e+07	1.81664e+08	1.33142e+08	1.95963e+08	1.51442e+06	1.0	1.73298	0.872642	4.69098	4.30357	5.58632	21.1339	15.5097	23.2887	0.175193	0.0	1.53439	0.385492	5.67017	3.70046	5.12784	27.3455	19.1683	27.0034	0.357647
7	NV2t004217001.1	NV2t004217001.1	NV2t004217001.1	78648.5	6.72884	0.0	64	179	4	4	1	3	3	126	3.04572e+06	6.39879e+06	1.84337e+06	1.20712e+07	9.7114e+06	1.47783e+07	5.50156e+07	5.12679e+07	4.97622e+07	0.0	1.0	2.10092	0.605235	3.96334	3.18854	4.85216	18.0633	16.8328	16.3384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	NV2t004894001.1	NV2t004894001.1	NV2t004894001.1	52475.9	5.97571	0.0	96	177	4	3	0	4	3	126	4.47963e+06	8.28314e+06	3.66583e+06	1.7084e+07	2.28398e+07	2.4835e+07	1.04795e+08	4.4021e+07	7.25552e+07	203726.0	1.0	1.84907	0.818332	3.8137	5.09858	5.54399	23.3937	9.82693	16.1967	0.0454783	0.0	0.960764	1.80937	2.90081	4.63069	3.35414	17.1499	6.41048	8.85574	0.225499
9	NV2t000374001.1	NV2t000374001.1	NV2t000374001.1	23241.6	6.201	0.000974817	41	78	2	2	0	2	2	126	4.70445e+06	2.42335e+06	4.18946e+06	9.34457e+06	9.48411e+06	1.07208e+07	5.74159e+07	4.25184e+07	6.70927e+07	370790.0	1.0	0.515119	0.890531	1.98633	2.01599	2.27887	12.2046	9.03791	14.2615	0.0788168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	NV2t017096001.1	NV2t017096001.1	NV2t017096001.1	41195.8	8.09966	0.0	84	727	27	13	2	24	13	126	2.07395e+07	2.681e+07	2.04657e+07	1.12178e+08	7.97197e+07	1.26648e+08	5.08138e+09	4.54488e+09	5.7552e+09	5.34665e+06	1.0	1.32118	0.99279	5.42706	3.94752	6.01596	246.76	219.46	273.097	0.252041	0.0	1.50654	1.27266	9.24916	5.71098	11.6222	458.372	406.582	489.092	0.590616
11	NV2t001036001.1|NV2t001036002.1|NV2t001036003.1	NV2t001036001.1|NV2t001036002.1|NV2t001036003.1	NV2t001036001.1|NV2t001036002.1|NV2t001036003.1	49336.8|50877.8|50877.8	5.55932	0.0	74	114	3	2	1	2	2	126	1.92878e+06	2.23508e+06	1.5243e+06	5.23266e+06	4.27884e+06	3.916e+06	6.71277e+07	4.57845e+07	5.5869e+07	113916.0	1.0	1.15881	0.790292	2.71294	2.21842	2.0303	34.8032	23.7376	28.966	0.0590613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	NV2t016786001.1	NV2t016786001.1	NV2t016786001.1	47617.3	6.57915	0.0	82	475	8	8	0	8	8	126	9.98709e+06	6.87373e+06	8.95905e+06	3.55289e+07	3.95067e+07	3.46291e+07	5.25416e+08	3.78826e+08	5.01098e+08	192443.0	1.0	0.686787	0.8689	3.56424	3.99838	3.49788	51.3747	37.8134	48.6009	0.0185977	0.0	0.800898	1.59905	5.09453	5.74244	4.13651	85.3926	58.2361	76.2303	0.0510351
13	NV2t020097001.1	NV2t020097001.1	NV2t020097001.1	115361.0	8.01027	0.0	120	1229	41	21	6	35	21	126	5.39029e+07	7.11137e+07	5.63131e+07	4.41504e+08	4.12187e+08	4.19255e+08	7.0956e+09	5.31677e+09	7.92708e+09	3.98536e+06	1.0	1.3221	1.04762	8.16482	7.58705	7.74032	128.908	96.4443	144.48	0.0706576	0.0	0.476668	0.361815	5.46356	5.11804	5.8908	122.771	90.9088	125.941	0.174779
14	NV2t018046001.1	NV2t018046001.1	NV2t018046001.1	33008.3	6.18267	0.00128742	40	40	1	1	0	1	1	126	3.44587e+06	6.01793e+06	4.71368e+06	1.05931e+07	1.1179e+07	1.14142e+07	1.1061e+08	9.88807e+07	1.81041e+08	392703.0	1.0	1.74642	1.36792	3.07414	3.24418	3.31244	32.0994	28.6954	52.5386	0.113963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	NV2t018950001.1	NV2t018950001.1	NV2t018950001.1	43685.0	6.95421	0.0	139	447	11	7	4	7	7	126	1.6726e+07	2.45449e+07	1.3905e+07	3.42962e+07	2.88372e+07	1.79746e+07	1.72702e+09	8.64118e+08	1.14782e+09	2.65378e+06	1.0	1.46494	0.843917	2.04412	1.72434	1.08088	103.254	52.0164	68.6554	0.153418	0.0	0.678012	0.728938	1.06113	2.0802	1.46131	86.1565	46.7107	60.2735	0.647632
16	NV2t019569001.1	NV2t019569001.1	NV2t019569001.1	141995.0	6.60316	0.0	57	317	9	8	2	6	6	126	9.39404e+06	1.32392e+07	1.36514e+07	3.67112e+07	4.85525e+07	3.6059e+07	3.73982e+08	3.70822e+08	5.38143e+08	343649.0	1.0	1.40932	1.44089	3.90792	5.17361	3.8385	40.359	39.4742	57.2856	0.0361664	0.0	0.666482	1.03046	1.93086	3.47683	2.28524	66.8547	70.5308	98.5976	0.0844571
17	NV2t014302001.1|NV2t014302004.1	NV2t014302001.1|NV2t014302004.1	NV2t014302001.1|NV2t014302004.1	76305.5|76305.5	6.92487	0.0	84	251	5	4	0	5	4	126	6.12913e+06	8.90649e+06	5.87008e+06	4.08858e+07	3.17402e+07	4.43278e+07	3.9086e+08	4.99068e+08	7.18216e+08	257371.0	1.0	1.45314	0.957734	6.67074	5.17359	7.41711	62.1934	81.4255	117.181	0.0412482	0.0	1.37452	0.108557	8.2477	8.51925	8.33098	138.177	163.282	213.22	0.0769767
18	NV2t002556001.1	NV2t002556001.1	NV2t002556001.1	21670.0	6.79062	0.0	77	107	8	2	4	4	2	126	1.23251e+07	9.87783e+06	8.56431e+06	1.12827e+08	7.76411e+07	1.73381e+08	4.31905e+08	3.13408e+08	4.77524e+08	0.0	1.0	0.801441	0.694868	9.15427	6.29944	14.0673	35.0428	25.4284	38.7441	0.0	0.0	0.37559	2.09978	42.8278	29.0417	29.1045	350.338	263.529	373.029	0.0
19	NV2t022259002.1	NV2t022259002.1	NV2t022259002.1	65727.1	7.47982	0.0	80	1036	34	21	4	30	20	126	9.00522e+07	1.56787e+08	7.38096e+07	1.92071e+08	1.67199e+08	1.5412e+08	4.55658e+09	2.86351e+09	4.13894e+09	4.43416e+06	1.0	1.72566	0.813829	2.10704	1.84211	1.72463	50.528	31.7161	46.0045	0.0483832	0.0	1.44025	0.697166	1.91117	1.54841	1.35755	42.7994	27.2915	40.3342	0.105697
20	NV2t022537001.1	NV2t022537001.1	NV2t022537001.1	41955.8	6.78273	0.0135976	27	27	1	1	0	1	1	126	1.80525e+07	5.10695e+07	1.35247e+07	1.59407e+07	2.12261e+07	1.90825e+07	2.75003e+08	2.27262e+08	3.03797e+08	0.0	1.0	2.82894	0.749183	0.883017	1.1758	1.05706	15.2335	12.5889	16.8285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	NV2t004462001.1	NV2t004462001.1	NV2t004462001.1	91723.5	6.74289	0.0	66	454	10	10	0	10	10	126	2.10406e+07	3.54807e+07	2.7575e+07	5.70023e+07	6.13777e+07	7.31226e+07	1.21342e+09	8.78775e+08	1.13813e+09	337398.0	1.0	1.69509	1.31252	2.7137	2.90207	3.42431	57.0225	41.3908	53.722	0.0154719	0.0	2.16245	1.6177	0.946135	0.920864	3.00383	46.5305	33.8315	44.4136	0.0459991
22	NV2t007279001.1	NV2t007279001.1	NV2t007279001.1	18257.1	7.13414	0.0	105	358	14	5	3	11	5	126	4.17596e+07	1.31188e+08	3.07155e+07	1.36708e+08	1.54139e+08	2.00593e+08	7.50182e+08	5.87726e+08	7.23754e+08	3.14802e+06	1.0	2.90823	0.760437	3.29615	3.67881	4.80214	19.2412	14.8385	17.9213	0.0759552	0.0	24.372	2.29329	26.2014	28.2739	35.6845	128.922	93.1074	112.82	0.501953
23	NV2t007228001.1	NV2t007228001.1	NV2t007228001.1	68175.9	7.27365	0.0	80	570	13	12	2	11	11	126	9.64355e+06	1.00706e+07	1.18833e+07	2.95096e+07	3.35905e+07	3.04926e+07	7.63821e+08	4.65063e+08	7.75587e+08	1.69519e+06	1.0	1.04869	1.22647	3.02023	3.51605	3.12148	79.0157	48.2296	79.9988	0.171138	0.0	0.67452	1.00735	2.96741	3.37168	3.11803	88.9078	55.4876	91.3129	0.363441
24	NV2t021656001.1|NV2t021656002.1	NV2t021656001.1|NV2t021656002.1	NV2t021656001.1|NV2t021656002.1	94870.8|90428.3	5.66014	0.0	112	215	3	3	0	3	3	126	3.55713e+06	4.52753e+06	4.00215e+06	9.32652e+06	9.54399e+06	9.7718e+06	8.67372e+07	6.14796e+07	7.87822e+07	0.0	1.0	1.2728	1.12511	2.62192	2.68306	2.7471	24.3841	17.2835	22.1477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	NV2t002983001.1|NV2t002983003.1	NV2t002983001.1|NV2t002983003.1	NV2t002983001.1|NV2t002983003.1	145164.0|147877.0	7.52448	0.0	88	1296	31	27	4	26	25	126	4.27449e+07	6.33264e+07	4.349e+07	1.52752e+08	1.52817e+08	1.73751e+08	2.50073e+09	1.70262e+09	2.49682e+09	3.28229e+06	1.0	1.48772	1.01682	3.55699	3.5424	3.99931	58.8679	40.0291	58.8517	0.0717839	0.0	1.20375	0.755668	3.37337	3.70869	4.03449	52.0187	34.7765	50.8938	0.200542
