	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Choanozoa_Choanoflagellatea_Monosiga_brevicollis	0.0	17.0	18.0	19.0	27.0	18.0	7.0	11.0	6.0	11.0	9.0	9.0	16.0	6.0	13.0	10.0	17.0	13.0	22.0	0.0	17.0	10.0	15.0	9.0	9.0	4.0	0.0	4.0	4.0	13.0	10.0	14.0
Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	18.0	0.0	48.0	51.0	52.0	40.0	27.0	34.0	31.0	27.0	19.0	22.0	30.0	19.0	17.0	27.0	21.0	28.0	27.0	0.0	22.0	27.0	33.0	23.0	23.0	6.0	2.0	14.0	12.0	21.0	23.0	17.0
Chordata_Amphioxiformes_Branchiostoma_belcheri	38.0	78.0	0.0	651.0	624.0	466.0	379.0	299.0	352.0	366.0	451.0	579.0	521.0	164.0	459.0	225.0	326.0	185.0	152.0	9.0	207.0	393.0	252.0	140.0	233.0	271.0	115.0	170.0	127.0	117.0	294.0	202.0
Chordata_Amphioxiformes_Branchiostoma_floridae	39.0	105.0	641.0	0.0	720.0	588.0	481.0	392.0	459.0	465.0	449.0	543.0	634.0	170.0	486.0	267.0	352.0	214.0	206.0	10.0	249.0	443.0	273.0	174.0	259.0	294.0	107.0	185.0	134.0	145.0	277.0	214.0
Chordata_Amphioxiformes_Branchiostoma_lanceolatum	56.0	116.0	618.0	718.0	0.0	520.0	437.0	382.0	403.0	411.0	490.0	631.0	604.0	234.0	523.0	278.0	364.0	233.0	232.0	12.0	314.0	445.0	294.0	177.0	283.0	246.0	85.0	171.0	117.0	136.0	229.0	209.0
Chordata_Vertebrata_Bos_taurus	14.0	29.0	220.0	254.0	230.0	0.0	2.0	73.0	7.0	19.0	96.0	128.0	133.0	52.0	101.0	78.0	87.0	70.0	78.0	36.0	98.0	136.0	102.0	76.0	99.0	173.0	38.0	58.0	46.0	33.0	67.0	49.0
Chordata_Vertebrata_Coturnix_japonica	4.0	13.0	170.0	191.0	177.0	2.0	0.0	34.0	4.0	4.0	74.0	97.0	102.0	41.0	73.0	51.0	66.0	52.0	53.0	15.0	59.0	99.0	68.0	43.0	58.0	121.0	32.0	35.0	28.0	39.0	52.0	29.0
Chordata_Vertebrata_Danio_rerio	8.0	24.0	204.0	229.0	205.0	49.0	38.0	0.0	24.0	63.0	102.0	133.0	141.0	50.0	95.0	76.0	89.0	70.0	57.0	29.0	87.0	130.0	93.0	60.0	74.0	162.0	40.0	36.0	33.0	43.0	95.0	42.0
Chordata_Vertebrata_Homo_sapiens	6.0	18.0	150.0	164.0	162.0	6.0	5.0	37.0	0.0	0.0	71.0	85.0	80.0	35.0	68.0	39.0	63.0	49.0	47.0	26.0	62.0	106.0	65.0	59.0	67.0	127.0	35.0	37.0	26.0	29.0	58.0	31.0
Chordata_Vertebrata_Mus_musculus	10.0	21.0	207.0	209.0	218.0	26.0	4.0	83.0	0.0	0.0	89.0	104.0	124.0	53.0	82.0	72.0	95.0	69.0	73.0	33.0	101.0	139.0	94.0	68.0	84.0	160.0	39.0	46.0	35.0	39.0	64.0	29.0
Cnidaria_Anthozoa_Acropora_digitifera	6.0	40.0	311.0	313.0	294.0	128.0	113.0	112.0	102.0	106.0	0.0	264.0	245.0	72.0	237.0	166.0	110.0	139.0	127.0	10.0	161.0	178.0	88.0	74.0	94.0	64.0	26.0	107.0	96.0	58.0	111.0	120.0
Cnidaria_Anthozoa_Exaiptasia_diaphana	9.0	51.0	416.0	425.0	419.0	155.0	138.0	147.0	123.0	125.0	365.0	0.0	434.0	99.0	403.0	179.0	257.0	202.0	155.0	9.0	281.0	351.0	112.0	69.0	98.0	144.0	52.0	118.0	110.0	55.0	228.0	239.0
Cnidaria_Anthozoa_Nematostella_vectensis	27.0	80.0	391.0	425.0	419.0	162.0	145.0	145.0	123.0	130.0	218.0	483.0	0.0	105.0	262.0	192.0	278.0	171.0	178.0	24.0	233.0	344.0	149.0	71.0	111.0	116.0	48.0	130.0	124.0	64.0	150.0	165.0
