	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Choanozoa_Choanoflagellatea_Monosiga_brevicollis	0.0	65.0	27.0	26.0	19.0	10.0	6.0	8.0	6.0	5.0	25.0	21.0	24.0	30.0	30.0	23.0	21.0	28.0	18.0	10.0	22.0	17.0	14.0	15.0	20.0	3.0	4.0	26.0	24.0	18.0	24.0	21.0
Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	65.0	0.0	40.0	32.0	21.0	10.0	7.0	5.0	10.0	6.0	29.0	29.0	27.0	35.0	36.0	27.0	26.0	35.0	25.0	8.0	26.0	22.0	15.0	24.0	30.0	4.0	3.0	31.0	28.0	18.0	32.0	17.0
Chordata_Amphioxiformes_Branchiostoma_belcheri	27.0	40.0	0.0	867.0	759.0	60.0	51.0	36.0	46.0	53.0	82.0	89.0	83.0	86.0	125.0	65.0	77.0	91.0	64.0	8.0	69.0	67.0	22.0	35.0	50.0	13.0	31.0	78.0	72.0	34.0	45.0	35.0
Chordata_Amphioxiformes_Branchiostoma_floridae	26.0	32.0	867.0	0.0	826.0	62.0	51.0	29.0	41.0	49.0	77.0	71.0	76.0	70.0	99.0	55.0	68.0	81.0	56.0	5.0	74.0	57.0	25.0	38.0	45.0	12.0	27.0	62.0	57.0	31.0	33.0	25.0
Chordata_Amphioxiformes_Branchiostoma_lanceolatum	19.0	21.0	759.0	826.0	0.0	49.0	38.0	28.0	38.0	44.0	54.0	56.0	61.0	65.0	91.0	46.0	59.0	59.0	46.0	5.0	59.0	46.0	29.0	32.0	40.0	11.0	18.0	49.0	46.0	25.0	35.0	22.0
Chordata_Vertebrata_Bos_taurus	10.0	10.0	60.0	62.0	49.0	0.0	406.0	192.0	428.0	408.0	25.0	33.0	35.0	22.0	38.0	25.0	31.0	33.0	22.0	3.0	31.0	25.0	14.0	23.0	25.0	10.0	16.0	23.0	20.0	12.0	17.0	20.0
Chordata_Vertebrata_Coturnix_japonica	6.0	7.0	51.0	51.0	38.0	406.0	0.0	209.0	394.0	375.0	19.0	23.0	23.0	21.0	30.0	17.0	26.0	24.0	18.0	0.0	20.0	20.0	9.0	14.0	14.0	8.0	15.0	17.0	13.0	10.0	10.0	7.0
Chordata_Vertebrata_Danio_rerio	8.0	5.0	36.0	29.0	28.0	192.0	209.0	0.0	178.0	183.0	14.0	14.0	19.0	18.0	18.0	16.0	16.0	18.0	10.0	0.0	10.0	11.0	4.0	7.0	7.0	7.0	15.0	12.0	11.0	9.0	9.0	5.0
Chordata_Vertebrata_Homo_sapiens	6.0	10.0	46.0	41.0	38.0	428.0	394.0	178.0	0.0	405.0	22.0	28.0	26.0	20.0	32.0	21.0	29.0	27.0	24.0	0.0	26.0	18.0	8.0	17.0	15.0	9.0	19.0	20.0	14.0	10.0	14.0	11.0
Chordata_Vertebrata_Mus_musculus	5.0	6.0	53.0	49.0	44.0	408.0	375.0	183.0	405.0	0.0	24.0	24.0	25.0	20.0	31.0	20.0	29.0	25.0	22.0	0.0	22.0	18.0	7.0	12.0	10.0	9.0	14.0	16.0	14.0	8.0	10.0	8.0
Cnidaria_Anthozoa_Acropora_digitifera	25.0	29.0	82.0	77.0	54.0	25.0	19.0	14.0	22.0	24.0	0.0	183.0	173.0	170.0	318.0	111.0	87.0	108.0	88.0	3.0	97.0	90.0	24.0	41.0	31.0	11.0	27.0	66.0	64.0	26.0	32.0	29.0
Cnidaria_Anthozoa_Exaiptasia_diaphana	21.0	29.0	89.0	71.0	56.0	33.0	23.0	14.0	28.0	24.0	183.0	0.0	250.0	107.0	264.0	104.0	98.0	109.0	84.0	6.0	102.0	79.0	21.0	29.0	36.0	13.0	26.0	56.0	50.0	22.0	41.0	32.0
Cnidaria_Anthozoa_Nematostella_vectensis	24.0	27.0	83.0	76.0	61.0	35.0	23.0	19.0	26.0	25.0	173.0	250.0	0.0	104.0	248.0	87.0	88.0	100.0	73.0	7.0	98.0	80.0	23.0	36.0	39.0	8.0	25.0	55.0	52.0	26.0	43.0	34.0
Cnidaria_Anthozoa_Porites_asteroides	30.0	35.0	86.0	70.0	65.0	22.0	21.0	18.0	20.0	20.0	170.0	107.0	104.0	0.0	183.0	83.0	94.0	104.0	79.0	4.0	89.0	96.0	38.0	46.0	52.0	10.0	32.0	59.0	67.0	39.0	44.0	26.0
Cnidaria_Anthozoa_Stylophora_pistillata	30.0	36.0	125.0	99.0	91.0	38.0	30.0	18.0	32.0	31.0	318.0	264.0	248.0	183.0	0.0	138.0	124.0	157.0	113.0	11.0	135.0	103.0	32.0	46.0	53.0	14.0	37.0	80.0	76.0	33.0	52.0	32.0
Cnidaria_Anthozoa_Xenia_spec	23.0	27.0	65.0	55.0	46.0	25.0	17.0	16.0	21.0	20.0	111.0	104.0	87.0	83.0	138.0	0.0	85.0	101.0	82.0	13.0	82.0	79.0	20.0	36.0	38.0	12.0	23.0	52.0	53.0	32.0	35.0	27.0
Cnidaria_Cubozoa_Morbakka_virulenta	21.0	26.0	77.0	68.0	59.0	31.0	26.0	16.0	29.0	29.0	87.0	98.0	88.0	94.0	124.0	85.0	0.0	150.0	114.0	8.0	137.0	153.0	23.0	30.0	37.0	11.0	26.0	50.0	44.0	31.0	36.0	27.0
Cnidaria_Hydrozoa_Clytia_hemispherica	28.0	35.0	91.0	81.0	59.0	33.0	24.0	18.0	27.0	25.0	108.0	109.0	100.0	104.0	157.0	101.0	150.0	0.0	164.0	8.0	151.0	152.0	25.0	34.0	48.0	12.0	29.0	68.0	61.0	37.0	49.0	28.0
Cnidaria_Hydrozoa_Hydra_vulgaris	18.0	25.0	64.0	56.0	46.0	22.0	18.0	10.0	24.0	22.0	88.0	84.0	73.0	79.0	113.0	82.0	114.0	164.0	0.0	8.0	113.0	115.0	20.0	30.0	37.0	11.0	13.0	42.0	42.0	29.0	33.0	23.0
Cnidaria_Myxozoa_Thelohanellus_kitauei	10.0	8.0	8.0	5.0	5.0	3.0	0.0	0.0	0.0	0.0	3.0	6.0	7.0	4.0	11.0	13.0	8.0	8.0	8.0	0.0	9.0	6.0	2.0	7.0	6.0	0.0	2.0	5.0	5.0	6.0	4.0	2.0
Cnidaria_Scyphozoa_Aurelia_aurita	22.0	26.0	69.0	74.0	59.0	31.0	20.0	10.0	26.0	22.0	97.0	102.0	98.0	89.0	135.0	82.0	137.0	151.0	113.0	9.0	0.0	136.0	29.0	40.0	32.0	11.0	23.0	59.0	54.0	20.0	46.0	27.0
Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	17.0	22.0	67.0	57.0	46.0	25.0	20.0	11.0	18.0	18.0	90.0	79.0	80.0	96.0	103.0	79.0	153.0	152.0	115.0	6.0	136.0	0.0	13.0	29.0	39.0	4.0	21.0	35.0	46.0	18.0	32.0	18.0
Ctenophora_Nuda_Beroe_ovata	14.0	15.0	22.0	25.0	29.0	14.0	9.0	4.0	8.0	7.0	24.0	21.0	23.0	38.0	32.0	20.0	23.0	25.0	20.0	2.0	29.0	13.0	0.0	116.0	89.0	7.0	9.0	22.0	22.0	17.0	23.0	13.0
Ctenophora_Tentaculata_Mnemiopsis_leidyi	15.0	24.0	35.0	38.0	32.0	23.0	14.0	7.0	17.0	12.0	41.0	29.0	36.0	46.0	46.0	36.0	30.0	34.0	30.0	7.0	40.0	29.0	116.0	0.0	167.0	8.0	24.0	33.0	31.0	20.0	31.0	19.0
Ctenophora_Tentaculata_Pleurobrachia_bachei	20.0	30.0	50.0	45.0	40.0	25.0	14.0	7.0	15.0	10.0	31.0	36.0	39.0	52.0	53.0	38.0	37.0	48.0	37.0	6.0	32.0	39.0	89.0	167.0	0.0	8.0	13.0	36.0	34.0	22.0	35.0	22.0
Insecta_Diptera_Drosophila_melanogaster	3.0	4.0	13.0	12.0	11.0	10.0	8.0	7.0	9.0	9.0	11.0	13.0	8.0	10.0	14.0	12.0	11.0	12.0	11.0	0.0	11.0	4.0	7.0	8.0	8.0	0.0	10.0	8.0	7.0	7.0	5.0	4.0
Nematoda_Chromadorea_Caenorhabditis_elegans	4.0	3.0	31.0	27.0	18.0	16.0	15.0	15.0	19.0	14.0	27.0	26.0	25.0	32.0	37.0	23.0	26.0	29.0	13.0	2.0	23.0	21.0	9.0	24.0	13.0	10.0	0.0	18.0	18.0	16.0	8.0	9.0
Placozoa_Trichoplacidae_Trichoplax_spec-H2	26.0	31.0	78.0	62.0	49.0	23.0	17.0	12.0	20.0	16.0	66.0	56.0	55.0	59.0	80.0	52.0	50.0	68.0	42.0	5.0	59.0	35.0	22.0	33.0	36.0	8.0	18.0	0.0	241.0	30.0	40.0	30.0
Placozoa_Trichoplacidae_Tricoplax_adhaerens	24.0	28.0	72.0	57.0	46.0	20.0	13.0	11.0	14.0	14.0	64.0	50.0	52.0	67.0	76.0	53.0	44.0	61.0	42.0	5.0	54.0	46.0	22.0	31.0	34.0	7.0	18.0	241.0	0.0	28.0	39.0	30.0
Platyhelminthes_Tricladida_Schmidtea_mediterranea	18.0	18.0	34.0	31.0	25.0	12.0	10.0	9.0	10.0	8.0	26.0	22.0	26.0	39.0	33.0	32.0	31.0	37.0	29.0	6.0	20.0	18.0	17.0	20.0	22.0	7.0	16.0	30.0	28.0	0.0	20.0	12.0
