	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Choanozoa_Choanoflagellatea_Monosiga_brevicollis	0.0	15.0	9.0	15.0	5.0	14.0	17.0	9.0	14.0	9.0	16.0	14.0	8.0	23.0	12.0	8.0	8.0	13.0	11.0	2.0	18.0	24.0	6.0	14.0	10.0	8.0	14.0	6.0	9.0	6.0	13.0	8.0
Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	34.0	0.0	16.0	25.0	18.0	25.0	18.0	7.0	18.0	14.0	38.0	22.0	28.0	57.0	20.0	32.0	15.0	13.0	15.0	5.0	46.0	35.0	11.0	23.0	17.0	8.0	41.0	13.0	20.0	12.0	30.0	16.0
Chordata_Amphioxiformes_Branchiostoma_belcheri	134.0	143.0	0.0	820.0	702.0	296.0	300.0	164.0	242.0	209.0	387.0	345.0	340.0	465.0	452.0	451.0	274.0	468.0	247.0	47.0	427.0	267.0	197.0	329.0	308.0	137.0	322.0	246.0	267.0	226.0	245.0	181.0
Chordata_Amphioxiformes_Branchiostoma_floridae	173.0	165.0	1155.0	0.0	949.0	392.0	368.0	191.0	303.0	280.0	551.0	483.0	406.0	681.0	618.0	493.0	423.0	554.0	397.0	70.0	530.0	377.0	296.0	497.0	417.0	148.0	315.0	409.0	421.0	248.0	366.0	339.0
Chordata_Amphioxiformes_Branchiostoma_lanceolatum	180.0	194.0	1067.0	1018.0	0.0	369.0	332.0	197.0	248.0	249.0	555.0	452.0	416.0	599.0	624.0	527.0	419.0	511.0	324.0	71.0	452.0	326.0	202.0	353.0	277.0	142.0	271.0	360.0	384.0	310.0	323.0	260.0
Chordata_Vertebrata_Bos_taurus	26.0	24.0	168.0	135.0	169.0	0.0	150.0	159.0	81.0	84.0	135.0	110.0	106.0	156.0	152.0	109.0	110.0	81.0	66.0	20.0	92.0	82.0	42.0	67.0	67.0	43.0	157.0	74.0	82.0	77.0	83.0	40.0
Chordata_Vertebrata_Coturnix_japonica	25.0	27.0	125.0	105.0	119.0	28.0	0.0	101.0	18.0	16.0	108.0	83.0	77.0	96.0	108.0	94.0	90.0	84.0	67.0	23.0	83.0	68.0	45.0	59.0	70.0	52.0	112.0	69.0	77.0	68.0	64.0	31.0
Chordata_Vertebrata_Danio_rerio	23.0	28.0	204.0	187.0	212.0	296.0	330.0	0.0	322.0	290.0	148.0	113.0	98.0	119.0	159.0	120.0	113.0	100.0	96.0	32.0	122.0	87.0	61.0	77.0	105.0	72.0	138.0	78.0	84.0	92.0	76.0	44.0
Chordata_Vertebrata_Homo_sapiens	25.0	23.0	125.0	108.0	119.0	21.0	63.0	99.0	0.0	25.0	97.0	76.0	80.0	103.0	100.0	92.0	72.0	61.0	51.0	13.0	68.0	51.0	45.0	46.0	61.0	52.0	99.0	60.0	71.0	62.0	54.0	36.0
Chordata_Vertebrata_Mus_musculus	33.0	30.0	139.0	128.0	131.0	98.0	152.0	133.0	111.0	0.0	125.0	109.0	92.0	135.0	134.0	102.0	99.0	91.0	61.0	23.0	89.0	75.0	44.0	65.0	73.0	55.0	137.0	63.0	73.0	83.0	55.0	35.0
