	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Choanozoa_Choanoflagellatea_Monosiga_brevicollis	0.0	15.0	25.0	30.0	31.0	7.0	8.0	6.0	8.0	9.0	12.0	16.0	19.0	5.0	12.0	11.0	10.0	7.0	10.0	1.0	10.0	18.0	17.0	8.0	10.0	6.0	4.0	6.0	6.0	7.0	12.0	8.0
Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	5.0	0.0	23.0	29.0	38.0	6.0	7.0	5.0	6.0	8.0	15.0	18.0	30.0	6.0	14.0	14.0	18.0	7.0	9.0	1.0	15.0	29.0	23.0	10.0	18.0	5.0	4.0	7.0	8.0	6.0	8.0	16.0
Chordata_Amphioxiformes_Branchiostoma_belcheri	3.0	6.0	0.0	317.0	354.0	56.0	47.0	57.0	44.0	43.0	40.0	57.0	57.0	21.0	38.0	22.0	42.0	24.0	29.0	1.0	36.0	75.0	29.0	14.0	27.0	25.0	4.0	7.0	11.0	8.0	23.0	24.0
Chordata_Amphioxiformes_Branchiostoma_floridae	6.0	11.0	235.0	0.0	343.0	46.0	40.0	55.0	41.0	39.0	39.0	57.0	51.0	23.0	41.0	22.0	33.0	24.0	27.0	0.0	26.0	63.0	27.0	9.0	27.0	19.0	3.0	10.0	15.0	11.0	22.0	27.0
Chordata_Amphioxiformes_Branchiostoma_lanceolatum	2.0	6.0	204.0	259.0	0.0	49.0	43.0	57.0	42.0	38.0	41.0	50.0	46.0	18.0	33.0	17.0	29.0	21.0	22.0	1.0	21.0	52.0	14.0	7.0	17.0	24.0	7.0	10.0	9.0	8.0	17.0	18.0
Chordata_Vertebrata_Bos_taurus	5.0	6.0	51.0	53.0	65.0	0.0	14.0	120.0	10.0	43.0	21.0	21.0	16.0	16.0	18.0	13.0	17.0	16.0	13.0	0.0	13.0	31.0	16.0	6.0	8.0	13.0	4.0	6.0	7.0	6.0	15.0	11.0
Chordata_Vertebrata_Coturnix_japonica	5.0	6.0	47.0	51.0	59.0	59.0	0.0	137.0	28.0	58.0	20.0	20.0	18.0	12.0	16.0	12.0	13.0	12.0	12.0	2.0	12.0	20.0	11.0	5.0	7.0	10.0	4.0	3.0	6.0	6.0	15.0	13.0
Chordata_Vertebrata_Danio_rerio	3.0	3.0	29.0	36.0	38.0	57.0	43.0	0.0	38.0	47.0	10.0	13.0	11.0	6.0	9.0	3.0	10.0	11.0	9.0	0.0	6.0	18.0	7.0	3.0	4.0	10.0	3.0	1.0	2.0	4.0	5.0	5.0
Chordata_Vertebrata_Homo_sapiens	5.0	5.0	53.0	59.0	62.0	32.0	9.0	132.0	0.0	44.0	15.0	17.0	19.0	13.0	13.0	10.0	15.0	12.0	10.0	2.0	9.0	25.0	13.0	4.0	9.0	15.0	3.0	2.0	4.0	3.0	9.0	10.0
Chordata_Vertebrata_Mus_musculus	4.0	5.0	41.0	49.0	53.0	33.0	8.0	119.0	12.0	0.0	16.0	20.0	20.0	14.0	15.0	12.0	14.0	12.0	7.0	2.0	12.0	24.0	8.0	3.0	6.0	17.0	5.0	5.0	6.0	2.0	15.0	13.0
Cnidaria_Anthozoa_Acropora_digitifera	7.0	9.0	86.0	91.0	105.0	35.0	36.0	35.0	31.0	29.0	0.0	114.0	129.0	42.0	85.0	28.0	73.0	25.0	43.0	1.0	40.0	98.0	31.0	8.0	25.0	24.0	4.0	9.0	7.0	9.0	20.0	18.0
Cnidaria_Anthozoa_Exaiptasia_diaphana	6.0	7.0	74.0	82.0	89.0	31.0	28.0	30.0	25.0	27.0	63.0	0.0	150.0	33.0	60.0	31.0	57.0	21.0	42.0	0.0	34.0	92.0	24.0	8.0	17.0	22.0	4.0	8.0	9.0	9.0	25.0	18.0
Cnidaria_Anthozoa_Nematostella_vectensis	4.0	7.0	65.0	79.0	80.0	30.0	28.0	28.0	26.0	26.0	60.0	120.0	0.0	29.0	52.0	24.0	59.0	27.0	45.0	0.0	40.0	90.0	26.0	9.0	21.0	19.0	4.0	8.0	9.0	8.0	20.0	17.0
Cnidaria_Anthozoa_Porites_asteroides	8.0	12.0	79.0	96.0	89.0	37.0	32.0	30.0	28.0	30.0	91.0	116.0	124.0	0.0	85.0	35.0	59.0	41.0	45.0	3.0	48.0	97.0	34.0	19.0	38.0	21.0	5.0	20.0	16.0	13.0	38.0	32.0
Cnidaria_Anthozoa_Stylophora_pistillata	5.0	9.0	86.0	105.0	114.0	42.0	36.0	41.0	32.0	33.0	105.0	166.0	169.0	41.0	0.0	38.0	91.0	30.0	56.0	0.0	49.0	125.0	32.0	13.0	26.0	27.0	5.0	11.0	12.0	13.0	25.0	28.0
