Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Insecta_Diptera_Drosophila_melanogaster
OG0000000	Aurelia_aurita_Seg2137.5 Seg2137.5 transcript_id=Seg2137.5_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg2137.5_GoldUCD_D3Y31, Aurelia_aurita_Seg5398.1 Seg5398.1 transcript_id=Seg5398.1_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg5398.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1317.9 Seg1317.9 transcript_id=Seg1317.9_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1317.9_GoldUCD_D3Y31, Aurelia_aurita_Seg967.2 Seg967.2 transcript_id=Seg967.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg967.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1772.6 Seg1772.6 transcript_id=Seg1772.6_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg1772.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3795.4 Seg3795.4 transcript_id=Seg3795.4_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg3795.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31, Aurelia_aurita_Seg5415.2 Seg5415.2 transcript_id=Seg5415.2_GoldUCD_mRNA.D3Y31 product="Angiopoietin-related protein 2" protein_id=Seg5415.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1193.1 Seg1193.1 transcript_id=Seg1193.1_GoldUCD_mRNA.D3Y31 product=Tenascin protein_id=Seg1193.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2014.4 Seg2014.4 transcript_id=Seg2014.4_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg2014.4_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_Q9VF34_Q9VF34_DROME tr|Q9VF34|Q9VF34_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=FBpp0082632 PE=4 SV=2
OG0000000	Aurelia_aurita_Seg5208.1 Seg5208.1 transcript_id=Seg5208.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg5208.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1894.9 Seg1894.9 transcript_id=Seg1894.9_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1894.9_GoldUCD_D3Y31, Aurelia_aurita_Seg3725.2 Seg3725.2 transcript_id=Seg3725.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg3725.2_GoldUCD_D3Y31, Aurelia_aurita_Seg468.7 Seg468.7 transcript_id=Seg468.7_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg468.7_GoldUCD_D3Y31, Aurelia_aurita_Seg1762.8 Seg1762.8 transcript_id=Seg1762.8_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg1762.8_GoldUCD_D3Y31, Aurelia_aurita_Seg3388.1 Seg3388.1 transcript_id=Seg3388.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3388.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3031.2 Seg3031.2 transcript_id=Seg3031.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3031.2_GoldUCD_D3Y31, Aurelia_aurita_Seg3086.3 Seg3086.3 transcript_id=Seg3086.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3086.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6310.1 Seg6310.1 transcript_id=Seg6310.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg6310.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.1 Seg3715.1 transcript_id=Seg3715.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3715.1_GoldUCD_D3Y31, Aurelia_aurita_Seg87.1 Seg87.1 transcript_id=Seg87.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1-A protein_id=Seg87.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.3 Seg2208.3 transcript_id=Seg2208.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2208.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.3 Seg2828.3 transcript_id=Seg2828.3_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2828.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.2 Seg2828.2 transcript_id=Seg2828.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg2828.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.2 Seg2404.2 transcript_id=Seg2404.2_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.1 Seg2404.1 transcript_id=Seg2404.1_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.3 Seg1014.3 transcript_id=Seg1014.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.2 Seg1014.2 transcript_id=Seg1014.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.2_GoldUCD_D3Y31, Aurelia_aurita_Seg880.6 Seg880.6 transcript_id=Seg880.6_GoldUCD_mRNA.D3Y31 product=Ficolin-1-B protein_id=Seg880.6_GoldUCD_D3Y31, Aurelia_aurita_Seg985.4 Seg985.4 transcript_id=Seg985.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg985.4_GoldUCD_D3Y31	Drosophila_melanogaster_tr_Q9VME7_Q9VME7_DROME tr|Q9VME7|Q9VME7_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=AAF52372 PE=4 SV=4, Drosophila_melanogaster_tr_Q4V4U2_Q4V4U2_DROME tr|Q4V4U2|Q4V4U2_DROME IP08170p OS=Drosophila melanogaster OX=7227 GN=AAF46801 PE=2 SV=1, Drosophila_melanogaster_tr_A1ZAJ8_A1ZAJ8_DROME tr|A1ZAJ8|A1ZAJ8_DROME FI17311p1 OS=Drosophila melanogaster OX=7227 GN=AAL48972 PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4K7T3_A0A0B4K7T3_DROME tr|A0A0B4K7T3|A0A0B4K7T3_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=AAF57948 PE=4 SV=1, Drosophila_melanogaster_tr_Q8SYS3_Q8SYS3_DROME tr|Q8SYS3|Q8SYS3_DROME RE38860p OS=Drosophila melanogaster OX=7227 GN=CG5550 PE=2 SV=1
OG0000000	Aurelia_aurita_Seg1898.4 Seg1898.4 transcript_id=Seg1898.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein 1" protein_id=Seg1898.4_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_E8Z4Z6_E8Z4Z6_DROME tr|E8Z4Z6|E8Z4Z6_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=4 SV=1, Drosophila_melanogaster_tr_Q5BIB8_Q5BIB8_DROME tr|Q5BIB8|Q5BIB8_DROME RE19569p OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=2 SV=1, Drosophila_melanogaster_tr_A8QHX1_A8QHX1_DROME tr|A8QHX1|A8QHX1_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=Dmel\CG41520 PE=4 SV=1
OG0000001	Aurelia_aurita_Seg1378.3 Seg1378.3 transcript_id=Seg1378.3_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg1378.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31	Drosophila_melanogaster_sp_P11046_LAMB1_DROME sp|P11046|LAMB1_DROME Laminin subunit beta-1 OS=Drosophila melanogaster OX=7227 GN=LanB1 PE=1 SV=4
OG0000001	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_X2JAW6_X2JAW6_DROME tr|X2JAW6|X2JAW6_DROME Laminin B2_ isoform B OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=4 SV=1, Drosophila_melanogaster_sp_P15215_LAMC1_DROME sp|P15215|LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=2 SV=2
OG0000001	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_Q9XZC9_Q9XZC9_DROME tr|Q9XZC9|Q9XZC9_DROME Laminin alpha1_2 OS=Drosophila melanogaster OX=7227 GN=wb PE=2 SV=1, Drosophila_melanogaster_tr_Q8IP51_Q8IP51_DROME tr|Q8IP51|Q8IP51_DROME Wing blister_ isoform B OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1, Drosophila_melanogaster_tr_R9PY40_R9PY40_DROME tr|R9PY40|R9PY40_DROME Wing blister_ isoform G OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1
OG0000002	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31	Drosophila_melanogaster_tr_Q7YU67_Q7YU67_DROME tr|Q7YU67|Q7YU67_DROME RE68041p OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1, Drosophila_melanogaster_tr_Q9VTT0_Q9VTT0_DROME tr|Q9VTT0|Q9VTT0_DROME Semaphorin 5c_ isoform A OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=4 SV=3, Drosophila_melanogaster_tr_Q9U631_Q9U631_DROME tr|Q9U631|Q9U631_DROME Semaphorin 5C OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1
OG0000002	Aurelia_aurita_Seg3230.1 Seg3230.1 transcript_id=Seg3230.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg3230.1_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_A1ZAF5_A1ZAF5_DROME tr|A1ZAF5|A1ZAF5_DROME FI18622p1 OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=2 SV=1, Drosophila_melanogaster_tr_Q29QV5_Q29QV5_DROME tr|Q29QV5|Q29QV5_DROME IP13724p OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4KG38_A0A0B4KG38_DROME tr|A0A0B4KG38|A0A0B4KG38_DROME Semaphorin 2b_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=1 SV=1, Drosophila_melanogaster_sp_Q24323_SEM2A_DROME sp|Q24323|SEM2A_DROME Semaphorin-2A OS=Drosophila melanogaster OX=7227 GN=Sema2a PE=1 SV=2, Drosophila_melanogaster_sp_Q24322_SEM1A_DROME sp|Q24322|SEM1A_DROME Semaphorin-1A OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=3, Drosophila_melanogaster_tr_Q0E8S4_Q0E8S4_DROME tr|Q0E8S4|Q0E8S4_DROME Semaphorin 1a_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=2, Drosophila_melanogaster_tr_M9PCL7_M9PCL7_DROME tr|M9PCL7|M9PCL7_DROME Semaphorin 1a_ isoform G OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PFA5_M9PFA5_DROME tr|M9PFA5|M9PFA5_DROME Semaphorin 1a_ isoform H OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PB77_M9PB77_DROME tr|M9PB77|M9PB77_DROME Semaphorin 1a_ isoform I OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9MRI2_M9MRI2_DROME tr|M9MRI2|M9MRI2_DROME Semaphorin 1a_ isoform F OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_Q7KK54_Q7KK54_DROME tr|Q7KK54|Q7KK54_DROME MIP07328p OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=1 SV=1, Drosophila_melanogaster_tr_O44253_O44253_DROME tr|O44253|O44253_DROME Similar to semaphorin-I OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=2 SV=1
OG0000003	Aurelia_aurita_Seg5572.2 Seg5572.2 transcript_id=Seg5572.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5572.2_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_A1Z8L7_A1Z8L7_DROME tr|A1Z8L7|A1Z8L7_DROME Uncharacterized protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=CK02422a PE=4 SV=2, Drosophila_melanogaster_tr_Q9VQX3_Q9VQX3_DROME tr|Q9VQX3|Q9VQX3_DROME HL05328p OS=Drosophila melanogaster OX=7227 GN=lectin-24Db PE=2 SV=1, Drosophila_melanogaster_tr_Q9VM16_Q9VM16_DROME tr|Q9VM16|Q9VM16_DROME LP02603p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG15818 PE=2 SV=1, Drosophila_melanogaster_tr_Q9VQ53_Q9VQ53_DROME tr|Q9VQ53|Q9VQ53_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=mdcds_4396 PE=4 SV=3, Drosophila_melanogaster_tr_Q9VQU4_Q9VQU4_DROME tr|Q9VQU4|Q9VQU4_DROME Lectin-24A OS=Drosophila melanogaster OX=7227 GN=lectin-24A PE=2 SV=1, Drosophila_melanogaster_tr_Q9VPS3_Q9VPS3_DROME tr|Q9VPS3|Q9VPS3_DROME C-type lectin domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG2839 PE=4 SV=2, Drosophila_melanogaster_tr_Q9W0I2_Q9W0I2_DROME tr|Q9W0I2|Q9W0I2_DROME RE15268p OS=Drosophila melanogaster OX=7227 GN=tfc PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRH8_Q8IRH8_DROME tr|Q8IRH8|Q8IRH8_DROME LP02252p OS=Drosophila melanogaster OX=7227 GN=tfc PE=2 SV=1, Drosophila_melanogaster_sp_Q59DY5_LEDL3_DROME sp|Q59DY5|LEDL3_DROME C-type lectin 37Db OS=Drosophila melanogaster OX=7227 GN=lectin-37Db PE=2 SV=1, Drosophila_melanogaster_tr_Q9VKL8_Q9VKL8_DROME tr|Q9VKL8|Q9VKL8_DROME Lectin-33A OS=Drosophila melanogaster OX=7227 GN=lectin-33A PE=4 SV=2, Drosophila_melanogaster_tr_Q2XYE0_Q2XYE0_DROME tr|Q2XYE0|Q2XYE0_DROME CG8343 _Fragment_ OS=Drosophila melanogaster OX=7227 GN=CG8343 PE=4 SV=1, Drosophila_melanogaster_tr_Q6NMY2_Q6NMY2_DROME tr|Q6NMY2|Q6NMY2_DROME RH54371p OS=Drosophila melanogaster OX=7227 GN=BEST_GH10831 PE=2 SV=1
OG0000003	Aurelia_aurita_Seg288.7 Seg288.7 transcript_id=Seg288.7_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.7_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_Q9W468_Q9W468_DROME tr|Q9W468|Q9W468_DROME GH28601p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG15765 PE=2 SV=2
