Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Exaiptasia_diaphana_XP_020892023.1 XP_020892023.1 angiopoietin-related protein 7 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00023485-protein TCONS_00023485-protein
OG0000000	Exaiptasia_diaphana_XP_028512828.1 XP_028512828.1 titin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512829.1 XP_028512829.1 titin isoform X2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00022085-protein TCONS_00022085-protein, Clytia_hemispherica_TCONS_00037021-protein TCONS_00037021-protein, Clytia_hemispherica_TCONS_00032471-protein TCONS_00032471-protein
OG0000000	Exaiptasia_diaphana_XP_020898203.1 XP_020898203.1 ficolin-1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00047229-protein TCONS_00047229-protein, Clytia_hemispherica_TCONS_00035351-protein TCONS_00035351-protein, Clytia_hemispherica_TCONS_00072749-protein TCONS_00072749-protein, Clytia_hemispherica_TCONS_00060419-protein TCONS_00060419-protein, Clytia_hemispherica_TCONS_00027220-protein TCONS_00027220-protein, Clytia_hemispherica_TCONS_00019639-protein TCONS_00019639-protein, Clytia_hemispherica_TCONS_00041903-protein TCONS_00041903-protein, Clytia_hemispherica_TCONS_00055631-protein TCONS_00055631-protein, Clytia_hemispherica_TCONS_00017249-protein TCONS_00017249-protein, Clytia_hemispherica_TCONS_00071837-protein TCONS_00071837-protein, Clytia_hemispherica_TCONS_00011360-protein TCONS_00011360-protein, Clytia_hemispherica_TCONS_00060455-protein TCONS_00060455-protein, Clytia_hemispherica_TCONS_00032431-protein TCONS_00032431-protein, Clytia_hemispherica_TCONS_00062122-protein TCONS_00062122-protein, Clytia_hemispherica_TCONS_00006663-protein TCONS_00006663-protein, Clytia_hemispherica_TCONS_00015470-protein TCONS_00015470-protein, Clytia_hemispherica_TCONS_00021098-protein TCONS_00021098-protein, Clytia_hemispherica_TCONS_00022251-protein TCONS_00022251-protein, Clytia_hemispherica_TCONS_00031046-protein TCONS_00031046-protein, Clytia_hemispherica_TCONS_00056773-protein TCONS_00056773-protein, Clytia_hemispherica_TCONS_00049966-protein TCONS_00049966-protein
OG0000000	Exaiptasia_diaphana_XP_028513446.1 XP_028513446.1 ficolin-2-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00034414-protein TCONS_00034414-protein, Clytia_hemispherica_TCONS_00058007-protein TCONS_00058007-protein, Clytia_hemispherica_TCONS_00058501-protein TCONS_00058501-protein, Clytia_hemispherica_TCONS_00008901-protein TCONS_00008901-protein, Clytia_hemispherica_TCONS_00031044-protein TCONS_00031044-protein
OG0000000	Exaiptasia_diaphana_XP_028512814.1 XP_028512814.1 uncharacterized protein LOC110232112 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00013531-protein TCONS_00013531-protein, Clytia_hemispherica_TCONS_00072131-protein TCONS_00072131-protein, Clytia_hemispherica_TCONS_00018874-protein TCONS_00018874-protein, Clytia_hemispherica_TCONS_00024208-protein TCONS_00024208-protein
OG0000001	Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Exaiptasia_diaphana_XP_020904889.1 XP_020904889.1 laminin subunit alpha-2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00046695-protein TCONS_00046695-protein
OG0000001	Exaiptasia_diaphana_XP_020908873.1 XP_020908873.1 fibronectin type III domain-containing protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908871.1 XP_020908871.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908872.1 XP_020908872.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516734.1 XP_028516734.1 fibronectin type III domain-containing protein [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein
OG0000001	Exaiptasia_diaphana_XP_028518401.1 XP_028518401.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518216.1 XP_028518216.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903383.2 XP_020903383.2 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517822.1 XP_028517822.1 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902298.1 XP_020902298.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518803.1 XP_028518803.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904116.2 XP_020904116.2 contactin-6 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518005.1 XP_028518005.1 contactin-6 isoform X2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein
OG0000001	Exaiptasia_diaphana_XP_028514544.1 XP_028514544.1 neogenin [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein
OG0000001	Exaiptasia_diaphana_XP_028519684.1 XP_028519684.1 uncharacterized protein LOC110254618 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00018494-protein TCONS_00018494-protein, Clytia_hemispherica_TCONS_00018496-protein TCONS_00018496-protein
OG0000001	Exaiptasia_diaphana_XP_020901424.1 XP_020901424.1 protein sidekick-2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein
OG0000001	Exaiptasia_diaphana_XP_020908774.1 XP_020908774.1 Down syndrome cell adhesion molecule-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908773.1 XP_020908773.1 Down syndrome cell adhesion molecule-like protein 1 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein
OG0000001	Exaiptasia_diaphana_XP_020893198.1 XP_020893198.1 uncharacterized protein LOC110232362 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912117.1 XP_020912117.1 uncharacterized protein LOC110249872 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514824.1 XP_028514824.1 uncharacterized protein LOC110238963 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514825.1 XP_028514825.1 uncharacterized protein LOC110238967 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00067910-protein TCONS_00067910-protein, Clytia_hemispherica_TCONS_00055217-protein TCONS_00055217-protein
OG0000001	Exaiptasia_diaphana_XP_028513037.1 XP_028513037.1 uncharacterized protein LOC110232847 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517084.1 XP_028517084.1 uncharacterized protein LOC110246414 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518620.1 XP_028518620.1 uncharacterized protein LOC110251137 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00020975-protein TCONS_00020975-protein
OG0000001	Exaiptasia_diaphana_XP_020913082.1 XP_020913082.1 uncharacterized protein LOC110250788 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00026153-protein TCONS_00026153-protein, Clytia_hemispherica_TCONS_00003461-protein TCONS_00003461-protein, Clytia_hemispherica_TCONS_00071725-protein TCONS_00071725-protein
OG0000001	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein
OG0000001	Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein
OG0000001	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000001	Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00055165-protein TCONS_00055165-protein, Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein
OG0000002	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein
OG0000002	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein
OG0000002	Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein
OG0000002	Exaiptasia_diaphana_XP_020893151.2 XP_020893151.2 netrin receptor UNC5A [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein
OG0000002	Exaiptasia_diaphana_XP_028514359.1 XP_028514359.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514358.1 XP_028514358.1 extracellular matrix protein FRAS1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00007070-protein TCONS_00007070-protein
