Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Xenia_spec
OG0000000	Exaiptasia_diaphana_XP_020900471.2 XP_020900471.2 tenascin-R [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514860.1 XP_028514860.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900722.1 XP_020900722.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900409.1 XP_020900409.1 ryncolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892023.1 XP_020892023.1 angiopoietin-related protein 7 [Exaiptasia diaphana]	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126
OG0000000	Exaiptasia_diaphana_XP_020909468.1 XP_020909468.1 ryncolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514930.1 XP_028514930.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900723.1 XP_020900723.1 fibrinogen-like protein A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517405.1 XP_028517405.1 fibrinogen-like protein A_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909470.1 XP_020909470.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901995.2 XP_020901995.2 uncharacterized protein LOC110240525 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907418.1 XP_020907418.1 protein turtle isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516784.1 XP_028516784.1 roundabout homolog 3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906591.2 XP_020906591.2 angiopoietin-related protein 7_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892707.2 XP_020892707.2 interference hedgehog-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901313.2 XP_020901313.2 uncharacterized protein LOC110239899 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901126.2 XP_020901126.2 interference hedgehog-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515058.1 XP_028515058.1 uncharacterized protein LOC110239728 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910039.2 XP_020910039.2 protein turtle [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515958.1 XP_028515958.1 uncharacterized protein LOC110242681 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517624.1 XP_028517624.1 uncharacterized protein LOC114575960 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512766.1 XP_028512766.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110231967 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512763.1 XP_028512763.1 contactin-5-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516591.1 XP_028516591.1 peroxidasin homolog [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517682.1 XP_028517682.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907417.2 XP_020907417.2 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515950.1 XP_028515950.1 uncharacterized protein LOC110242692 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515947.1 XP_028515947.1 uncharacterized protein LOC110242689 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904368.2 XP_020904368.2 uncharacterized protein LOC110242694 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904386.1 XP_020904386.1 uncharacterized protein LOC110242712 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512764.1 XP_028512764.1 uncharacterized protein LOC110231966 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916327.1 XP_020916327.1 uncharacterized protein LOC110253717 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904387.2 XP_020904387.2 myosin light chain kinase_ smooth muscle [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516547.1 XP_028516547.1 macrophage receptor MARCO_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515948.1 XP_028515948.1 LOW QUALITY PROTEIN_ roundabout homolog 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901132.1 XP_020901132.1 obscurin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904409.2 XP_020904409.2 roundabout homolog 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901700.2 XP_020901700.2 muscle M-line assembly protein unc-89 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900320.1 XP_020900320.1 titin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514822.1 XP_028514822.1 basement membrane proteoglycan-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902245.2 XP_020902245.2 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904712.2 XP_020904712.2 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516592.1 XP_028516592.1 ryncolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515949.1 XP_028515949.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517410.1 XP_028517410.1 ryncolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516950.1 XP_028516950.1 fibrinogen C domain-containing protein 1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514603.1 XP_028514603.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514604.1 XP_028514604.1 ficolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899430.1 XP_020899430.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896727.1 XP_020896727.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896726.1 XP_020896726.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517872.1 XP_028517872.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519151.1 XP_028519151.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519152.1 XP_028519152.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519153.1 XP_028519153.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514372.1 XP_028514372.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908817.1 XP_020908817.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908818.1 XP_020908818.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517227.1 XP_028517227.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898929.1 XP_020898929.1 ryncolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907414.1 XP_020907414.1 ryncolin-4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907413.1 XP_020907413.1 ryncolin-4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516781.1 XP_028516781.1 techylectin-5B isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516780.1 XP_028516780.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915299.1 XP_020915299.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915296.1 XP_020915296.1 microfibril-associated glycoprotein 4-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907416.2 XP_020907416.2 ryncolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906440.2 XP_020906440.2 ryncolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915297.1 XP_020915297.1 microfibril-associated glycoprotein 4-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915295.1 XP_020915295.1 LOW QUALITY PROTEIN_ ficolin-2-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909125.2 XP_020909125.2 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909200.1 XP_020909200.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909132.2 XP_020909132.2 ryncolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909205.1 XP_020909205.1 ryncolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897244.1 XP_020897244.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897245.1 XP_020897245.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892914.2 XP_020892914.2 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902044.1 XP_020902044.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515321.1 XP_028515321.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515322.1 XP_028515322.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515324.1 XP_028515324.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897261.1 XP_020897261.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514008.1 XP_028514008.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898377.1 XP_020898377.1 fibrinogen C domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898316.2 XP_020898316.2 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513997.1 XP_028513997.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513996.1 XP_028513996.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903268.1 XP_020903268.1 fibrinogen-like protein A isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903269.1 XP_020903269.1 fibrinogen-like protein A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907168.1 XP_020907168.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903272.1 XP_020903272.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899812.1 XP_020899812.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891997.1 XP_020891997.1 techylectin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915140.2 XP_020915140.2 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915176.2 XP_020915176.2 techylectin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519070.1 XP_028519070.1 uncharacterized protein LOC110252679 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519064.1 XP_028519064.1 techylectin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901441.2 XP_020901441.2 ryncolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915180.1 XP_020915180.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908476.1 XP_020908476.1 techylectin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893436.1 XP_020893436.1 techylectin-5B-like_ partial [Exaiptasia diaphana]	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140
OG0000001	Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284
OG0000001	Exaiptasia_diaphana_XP_020908873.1 XP_020908873.1 fibronectin type III domain-containing protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908871.1 XP_020908871.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908872.1 XP_020908872.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516734.1 XP_028516734.1 fibronectin type III domain-containing protein [Exaiptasia diaphana]	Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686
OG0000001	Exaiptasia_diaphana_XP_028518401.1 XP_028518401.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518216.1 XP_028518216.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903383.2 XP_020903383.2 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517822.1 XP_028517822.1 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902298.1 XP_020902298.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518803.1 XP_028518803.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904116.2 XP_020904116.2 contactin-6 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518005.1 XP_028518005.1 contactin-6 isoform X2 [Exaiptasia diaphana]	Xenia_spec_Xe_004325_T1 Xe_004325_T1 Xe_004325, Xenia_spec_Xe_004232_T1 Xe_004232_T1 Xe_004232
OG0000001	Exaiptasia_diaphana_XP_028514544.1 XP_028514544.1 neogenin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895914.1 XP_020895914.1 protogenin isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895913.1 XP_020895913.1 protogenin isoform X1 [Exaiptasia diaphana]	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701
OG0000001	Exaiptasia_diaphana_XP_020900689.1 XP_020900689.1 uncharacterized protein LOC110239316 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896540.1 XP_020896540.1 uncharacterized protein LOC110235419 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512881.1 XP_028512881.1 uncharacterized protein LOC110232353 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519676.1 XP_028519676.1 uncharacterized protein LOC110254595 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516859.1 XP_028516859.1 uncharacterized protein LOC110245738 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896606.1 XP_020896606.1 uncharacterized protein LOC110235487 [Exaiptasia diaphana]	Xenia_spec_Xe_014520_T1 Xe_014520_T1 Xe_014520
OG0000001	Exaiptasia_diaphana_XP_020901424.1 XP_020901424.1 protein sidekick-2 [Exaiptasia diaphana]	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235
OG0000001	Exaiptasia_diaphana_XP_020908774.1 XP_020908774.1 Down syndrome cell adhesion molecule-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908773.1 XP_020908773.1 Down syndrome cell adhesion molecule-like protein 1 isoform X1 [Exaiptasia diaphana]	Xenia_spec_Xe_014011_T1 Xe_014011_T1 Xe_014011
OG0000001	Exaiptasia_diaphana_XP_028512987.1 XP_028512987.1 usherin [Exaiptasia diaphana]	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751
