Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Ctenophora_Nuda_Beroe_ovata
OG0000000	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126	Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1
OG0000001	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1
OG0000001	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511, Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1
OG0000001	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1
OG0000001	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1
OG0000002	Xenia_spec_Xe_002327_T1 Xe_002327_T1 Xe_002327	Beroe_ovata_Bova1_4.0169.g17.t1 Bova1_4.0169.g17.t1
OG0000002	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083, Xenia_spec_Xe_002085_T1 Xe_002085_T1 Xe_002085	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1
OG0000002	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911	Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1
OG0000003	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093, Xenia_spec_Xe_009593_T1 Xe_009593_T1 Xe_009593, Xenia_spec_Xe_002591_T1 Xe_002591_T1 Xe_002591	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1
OG0000004	Xenia_spec_Xe_016398_T1 Xe_016398_T1 Xe_016398, Xenia_spec_Xe_009339_T1 Xe_009339_T1 Xe_009339, Xenia_spec_Xe_009337_T1 Xe_009337_T1 Xe_009337, Xenia_spec_Xe_009340_T1 Xe_009340_T1 Xe_009340	Beroe_ovata_Bova1_4.0153.g12.t1 Bova1_4.0153.g12.t1, Beroe_ovata_Bova1_4.0070.g19.t1 Bova1_4.0070.g19.t1, Beroe_ovata_Bova1_4.0153.g8.t1 Bova1_4.0153.g8.t1, Beroe_ovata_Bova1_4.0070.g24.t1 Bova1_4.0070.g24.t1, Beroe_ovata_Bova1_4.0070.g25.t1 Bova1_4.0070.g25.t1
