Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511, Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000002	Xenia_spec_Xe_002327_T1 Xe_002327_T1 Xe_002327	Mnemiopsis_leidyi_ML174724a ML174724a
OG0000002	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083, Xenia_spec_Xe_002085_T1 Xe_002085_T1 Xe_002085	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a
OG0000002	Xenia_spec_Xe_009641_T1 Xe_009641_T1 Xe_009641	Mnemiopsis_leidyi_ML033229a ML033229a
OG0000002	Xenia_spec_Xe_012680_T1 Xe_012680_T1 Xe_012680	Mnemiopsis_leidyi_ML14871a ML14871a, Mnemiopsis_leidyi_ML093048a ML093048a
OG0000002	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911	Mnemiopsis_leidyi_ML07453a ML07453a
OG0000003	Xenia_spec_Xe_012784_T1 Xe_012784_T1 Xe_012784, Xenia_spec_Xe_009800_T1 Xe_009800_T1 Xe_009800, Xenia_spec_Xe_008816_T1 Xe_008816_T1 Xe_008816, Xenia_spec_Xe_008846_T1 Xe_008846_T1 Xe_008846, Xenia_spec_Xe_008853_T1 Xe_008853_T1 Xe_008853, Xenia_spec_Xe_008849_T1 Xe_008849_T1 Xe_008849, Xenia_spec_Xe_008844_T1 Xe_008844_T1 Xe_008844, Xenia_spec_Xe_018389_T1 Xe_018389_T1 Xe_018389, Xenia_spec_Xe_018387_T1 Xe_018387_T1 Xe_018387, Xenia_spec_Xe_000730_T1 Xe_000730_T1 Xe_000730, Xenia_spec_Xe_001746_T1 Xe_001746_T1 Xe_001746, Xenia_spec_Xe_003671_T1 Xe_003671_T1 Xe_003671, Xenia_spec_Xe_003677_T1 Xe_003677_T1 Xe_003677, Xenia_spec_Xe_001745_T1 Xe_001745_T1 Xe_001745, Xenia_spec_Xe_003679_T1 Xe_003679_T1 Xe_003679, Xenia_spec_Xe_003678_T1 Xe_003678_T1 Xe_003678, Xenia_spec_Xe_001646_T1 Xe_001646_T1 Xe_001646, Xenia_spec_Xe_001667_T1 Xe_001667_T1 Xe_001667, Xenia_spec_Xe_001636_T1 Xe_001636_T1 Xe_001636, Xenia_spec_Xe_001677_T1 Xe_001677_T1 Xe_001677	Mnemiopsis_leidyi_ML01785a ML01785a
OG0000003	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093, Xenia_spec_Xe_009593_T1 Xe_009593_T1 Xe_009593, Xenia_spec_Xe_002591_T1 Xe_002591_T1 Xe_002591	Mnemiopsis_leidyi_ML090113a ML090113a
OG0000004	Xenia_spec_Xe_016398_T1 Xe_016398_T1 Xe_016398, Xenia_spec_Xe_009339_T1 Xe_009339_T1 Xe_009339, Xenia_spec_Xe_009337_T1 Xe_009337_T1 Xe_009337, Xenia_spec_Xe_009340_T1 Xe_009340_T1 Xe_009340	Mnemiopsis_leidyi_ML077636a ML077636a, Mnemiopsis_leidyi_ML270522a ML270522a
