Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126	Clytia_hemispherica_TCONS_00025161-protein TCONS_00025161-protein, Clytia_hemispherica_TCONS_00004655-protein TCONS_00004655-protein, Clytia_hemispherica_TCONS_00001342-protein TCONS_00001342-protein, Clytia_hemispherica_TCONS_00030218-protein TCONS_00030218-protein, Clytia_hemispherica_TCONS_00004723-protein TCONS_00004723-protein, Clytia_hemispherica_TCONS_00004950-protein TCONS_00004950-protein, Clytia_hemispherica_TCONS_00016324-protein TCONS_00016324-protein, Clytia_hemispherica_TCONS_00009157-protein TCONS_00009157-protein, Clytia_hemispherica_TCONS_00019769-protein TCONS_00019769-protein, Clytia_hemispherica_TCONS_00007420-protein TCONS_00007420-protein, Clytia_hemispherica_TCONS_00030875-protein TCONS_00030875-protein, Clytia_hemispherica_TCONS_00071542-protein TCONS_00071542-protein, Clytia_hemispherica_TCONS_00018659-protein TCONS_00018659-protein, Clytia_hemispherica_TCONS_00012678-protein TCONS_00012678-protein, Clytia_hemispherica_TCONS_00032436-protein TCONS_00032436-protein, Clytia_hemispherica_TCONS_00002325-protein TCONS_00002325-protein, Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein, Clytia_hemispherica_TCONS_00023485-protein TCONS_00023485-protein
OG0000000	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140	Clytia_hemispherica_TCONS_00056369-protein TCONS_00056369-protein, Clytia_hemispherica_TCONS_00036375-protein TCONS_00036375-protein, Clytia_hemispherica_TCONS_00057358-protein TCONS_00057358-protein, Clytia_hemispherica_TCONS_00020582-protein TCONS_00020582-protein, Clytia_hemispherica_TCONS_00019248-protein TCONS_00019248-protein, Clytia_hemispherica_TCONS_00050286-protein TCONS_00050286-protein, Clytia_hemispherica_TCONS_00022360-protein TCONS_00022360-protein, Clytia_hemispherica_TCONS_00053667-protein TCONS_00053667-protein
OG0000001	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Xenia_spec_Xe_004331_T1 Xe_004331_T1 Xe_004331, Xenia_spec_Xe_004329_T1 Xe_004329_T1 Xe_004329, Xenia_spec_Xe_004227_T1 Xe_004227_T1 Xe_004227, Xenia_spec_Xe_004334_T1 Xe_004334_T1 Xe_004334, Xenia_spec_Xe_004333_T1 Xe_004333_T1 Xe_004333, Xenia_spec_Xe_004326_T1 Xe_004326_T1 Xe_004326, Xenia_spec_Xe_004230_T1 Xe_004230_T1 Xe_004230, Xenia_spec_Xe_004229_T1 Xe_004229_T1 Xe_004229, Xenia_spec_Xe_004209_T1 Xe_004209_T1 Xe_004209, Xenia_spec_Xe_004262_T1 Xe_004262_T1 Xe_004262, Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein
OG0000001	Xenia_spec_Xe_004325_T1 Xe_004325_T1 Xe_004325, Xenia_spec_Xe_004232_T1 Xe_004232_T1 Xe_004232	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein
OG0000001	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein
OG0000001	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein
OG0000001	Xenia_spec_Xe_014011_T1 Xe_014011_T1 Xe_014011	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein
OG0000001	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein
OG0000001	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein, Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein
