Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Porifera_Demospongiae_Ephydatia_muelleri
OG0000000	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126	Ephydatia_muelleri_Em0018g768a Em0018g768a, Ephydatia_muelleri_Em0018g771a Em0018g771a, Ephydatia_muelleri_Em0018g769a Em0018g769a
OG0000000	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a
OG0000001	Xenia_spec_Xe_004331_T1 Xe_004331_T1 Xe_004331, Xenia_spec_Xe_004329_T1 Xe_004329_T1 Xe_004329, Xenia_spec_Xe_004227_T1 Xe_004227_T1 Xe_004227, Xenia_spec_Xe_004334_T1 Xe_004334_T1 Xe_004334, Xenia_spec_Xe_004333_T1 Xe_004333_T1 Xe_004333, Xenia_spec_Xe_004326_T1 Xe_004326_T1 Xe_004326, Xenia_spec_Xe_004230_T1 Xe_004230_T1 Xe_004230, Xenia_spec_Xe_004229_T1 Xe_004229_T1 Xe_004229, Xenia_spec_Xe_004209_T1 Xe_004209_T1 Xe_004209, Xenia_spec_Xe_004262_T1 Xe_004262_T1 Xe_004262, Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686	Ephydatia_muelleri_Em0009g1115a Em0009g1115a
OG0000001	Xenia_spec_Xe_014520_T1 Xe_014520_T1 Xe_014520	Ephydatia_muelleri_Em0015g115a Em0015g115a, Ephydatia_muelleri_Em0015g114a Em0015g114a, Ephydatia_muelleri_Em0015g113a Em0015g113a
OG0000001	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751	Ephydatia_muelleri_Em0019g102a Em0019g102a
OG0000001	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494	Ephydatia_muelleri_Em0016g530a Em0016g530a
OG0000002	Xenia_spec_Xe_012746_T1 Xe_012746_T1 Xe_012746	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a
OG0000004	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396	Ephydatia_muelleri_Em0007g757a Em0007g757a, Ephydatia_muelleri_Em0007g755a Em0007g755a
OG0000004	Xenia_spec_Xe_003341_T1 Xe_003341_T1 Xe_003341, Xenia_spec_Xe_016049_T1 Xe_016049_T1 Xe_016049, Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233, Xenia_spec_Xe_005231_T1 Xe_005231_T1 Xe_005231, Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008	Ephydatia_muelleri_Em0022g301a Em0022g301a
OG0000005	Xenia_spec_Xe_013630_T1 Xe_013630_T1 Xe_013630, Xenia_spec_Xe_013630_T2 Xe_013630_T2 Xe_013630, Xenia_spec_Xe_013693_T1 Xe_013693_T1 Xe_013693	Ephydatia_muelleri_Em0001g1715a Em0001g1715a
