Orthogroup	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Chordata_Vertebrata_Mus_musculus
OG0000001	Tricoplax_adhaerens_tr_B3RUG1_B3RUG1_TRIAD tr_B3RUG1_B3RUG1_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_24524 PE=4 SV=1	Mus_musculus_sp_Q9JI33_NET4_MOUSE sp_Q9JI33_NET4_MOUSE Netrin-4 OS=Mus musculus OX=10090 GN=Ntn4 PE=1 SV=2, Mus_musculus_sp_Q61087_LAMB3_MOUSE sp_Q61087_LAMB3_MOUSE Laminin subunit beta-3 OS=Mus musculus OX=10090 GN=Lamb3 PE=1 SV=2, Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2, Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3
OG0000001	Tricoplax_adhaerens_tr_B3RNB7_B3RNB7_TRIAD tr_B3RNB7_B3RNB7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21436 PE=4 SV=1	Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2, Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2
OG0000002	Tricoplax_adhaerens_tr_B3RQE3_B3RQE3_TRIAD tr_B3RQE3_B3RQE3_TRIAD Sema domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53875 PE=4 SV=1	Mus_musculus_sp_Q62217_SEM5A_MOUSE sp_Q62217_SEM5A_MOUSE Semaphorin-5A OS=Mus musculus OX=10090 GN=Sema5a PE=2 SV=1, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2
OG0000002	Tricoplax_adhaerens_tr_B3RQE7_B3RQE7_TRIAD tr_B3RQE7_B3RQE7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53879 PE=3 SV=1	Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_O35464_SEM6A_MOUSE sp_O35464_SEM6A_MOUSE Semaphorin-6A OS=Mus musculus OX=10090 GN=Sema6a PE=1 SV=2, Mus_musculus_sp_O54951_SEM6B_MOUSE sp_O54951_SEM6B_MOUSE Semaphorin-6B OS=Mus musculus OX=10090 GN=Sema6b PE=1 SV=1, Mus_musculus_sp_Q9WTM3_SEM6C_MOUSE sp_Q9WTM3_SEM6C_MOUSE Semaphorin-6C OS=Mus musculus OX=10090 GN=Sema6c PE=2 SV=1
OG0000007	Tricoplax_adhaerens_tr_B3SD50_B3SD50_TRIAD tr_B3SD50_B3SD50_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_9204 PE=4 SV=1	Mus_musculus_sp_Q501P1_FBLN7_MOUSE sp_Q501P1_FBLN7_MOUSE Fibulin-7 OS=Mus musculus OX=10090 GN=Fbln7 PE=1 SV=1
OG0000007	Tricoplax_adhaerens_tr_B3SD52_B3SD52_TRIAD tr_B3SD52_B3SD52_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33760 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT7_B3RIT7_TRIAD tr_B3RIT7_B3RIT7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51362 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIU2_B3RIU2_TRIAD tr_B3RIU2_B3RIU2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51368 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SES2_B3SES2_TRIAD tr_B3SES2_B3SES2_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62756 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDW9_B3SDW9_TRIAD tr_B3SDW9_B3SDW9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62473 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDW6_B3SDW6_TRIAD tr_B3SDW6_B3SDW6_TRIAD EGF-like domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62471 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT9_B3RIT9_TRIAD tr_B3RIT9_B3RIT9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51365 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT6_B3RIT6_TRIAD tr_B3RIT6_B3RIT6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_19226 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS19_B3RS19_TRIAD tr_B3RS19_B3RS19_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54445 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV6_B3RZV6_TRIAD tr_B3RZV6_B3RZV6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_27138 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS17_B3RS17_TRIAD tr_B3RS17_B3RS17_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54443 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV7_B3RZV7_TRIAD tr_B3RZV7_B3RZV7_TRIAD VWFD domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_14672 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SEN2_B3SEN2_TRIAD tr_B3SEN2_B3SEN2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62718 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SEJ1_B3SEJ1_TRIAD tr_B3SEJ1_B3SEJ1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62682 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS22_B3RS22_TRIAD tr_B3RS22_B3RS22_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54448 PE=3 SV=1, Tricoplax_adhaerens_tr_B3RQ10_B3RQ10_TRIAD tr_B3RQ10_B3RQ10_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53736 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RQ07_B3RQ07_TRIAD tr_B3RQ07_B3RQ07_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53733 PE=4 SV=1	Mus_musculus_sp_Q8JZM8_MUC4_MOUSE sp_Q8JZM8_MUC4_MOUSE Mucin-4 OS=Mus musculus OX=10090 GN=Muc4 PE=2 SV=2
OG0000010	Tricoplax_adhaerens_tr_B3S5W2_B3S5W2_TRIAD tr_B3S5W2_B3S5W2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_59528 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S5W5_B3S5W5_TRIAD tr_B3S5W5_B3S5W5_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_59531 PE=4 SV=1	Mus_musculus_sp_Q3V1M1_IGS10_MOUSE sp_Q3V1M1_IGS10_MOUSE Immunoglobulin superfamily member 10 OS=Mus musculus OX=10090 GN=Igsf10 PE=2 SV=2
OG0000010	Tricoplax_adhaerens_tr_B3S003_B3S003_TRIAD tr_B3S003_B3S003_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57635 PE=4 SV=1	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1
OG0000010	Tricoplax_adhaerens_tr_B3RSW2_B3RSW2_TRIAD tr_B3RSW2_B3RSW2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_63780 PE=4 SV=1	Mus_musculus_sp_P47931_FST_MOUSE sp_P47931_FST_MOUSE Follistatin OS=Mus musculus OX=10090 GN=Fst PE=2 SV=1
OG0000011	Tricoplax_adhaerens_tr_B3RYG3_B3RYG3_TRIAD tr_B3RYG3_B3RYG3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_25018 PE=4 SV=1	Mus_musculus_sp_P26928_HGFL_MOUSE sp_P26928_HGFL_MOUSE Hepatocyte growth factor-like protein OS=Mus musculus OX=10090 GN=Mst1 PE=2 SV=2, Mus_musculus_sp_Q08048_HGF_MOUSE sp_Q08048_HGF_MOUSE Hepatocyte growth factor OS=Mus musculus OX=10090 GN=Hgf PE=1 SV=1, Mus_musculus_sp_Q08048_HGF_MOUSE sp_Q08048_HGF_MOUSE Hepatocyte growth factor OS=Mus musculus OX=10090 GN=Hgf PE=1 SV=1
