Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Porites_asteroides_isotig05078 isotig05078 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=A0JP86 gene=isogroup03346 length=1119 numContigs=1, Porites_asteroides_isotig24173 isotig24173 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_B2_ Match_Acc=B4PEF1 gene=isogroup22441 length=343 numContigs=1	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2
OG0000001	Porites_asteroides_isotig07204 isotig07204 extracted_CDS GOMatch=B7Q1Z8 GOTerms=GO_0016740_GO_0050254 Gene=Down_syndrome_cell_adhesion_molecule-like_protein__Fragment__ Match_Acc=Q8R4B1 gene=isogroup05472 length=837 numContigs=1, Porites_asteroides_isotig04719 isotig04719 extracted_CDS Gene=Camel_ Match_Acc=C6ESH0 gene=isogroup02987 length=1200 numContigs=1	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1
OG0000001	Porites_asteroides_isotig03262 isotig03262 extracted_CDS GOMatch=Q3S3D7 GOTerms=GO_0016021 Gene=NEO1_protein_ Match_Acc=B7ZKN0 gene=isogroup01530 length=2269 numContigs=1	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1
OG0000001	Porites_asteroides_isotig18438 isotig18438 extracted_CDS GOMatch=D2HSQ6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Dscam_family_member_AbsCAM-Ig7A_ Match_Acc=Q1T6Y3 gene=isogroup16706 length=415 numContigs=1	Morbakka_virulenta_scaffold12.g138.t1 scaffold12.g138.t1, Morbakka_virulenta_scaffold361.g18.t1 scaffold361.g18.t1, Morbakka_virulenta_scaffold209.g24.t6 scaffold209.g24.t6, Morbakka_virulenta_scaffold209.g24.t3 scaffold209.g24.t3, Morbakka_virulenta_scaffold209.g24.t5 scaffold209.g24.t5, Morbakka_virulenta_scaffold209.g24.t4 scaffold209.g24.t4
OG0000001	Porites_asteroides_isotig10906 isotig10906 extracted_CDS Gene=Contactin-3_ Match_Acc=Q9P232 gene=isogroup09174 length=628 numContigs=1	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1
OG0000001	Porites_asteroides_isotig05454 isotig05454 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_tyrosine_phosphatase_type_r2a__putative_ Match_Acc=B7Q2Q7 gene=isogroup03722 length=1059 numContigs=1, Porites_asteroides_isotig03686 isotig03686 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor-type_tyrosine-protein_phosphatase_F_ Match_Acc=A4IFW2 gene=isogroup01954 length=1596 numContigs=1	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1
OG0000001	Porites_asteroides_isotig06121 isotig06121 extracted_CDS GOMatch=A7T0T0 GOTerms=GO_0005102_GO_0007155_GO_0007165 Gene=Down_syndrome_cell_adhesion_molecule_ Match_Acc=Q17F85 gene=isogroup04389 length=959 numContigs=1	Morbakka_virulenta_scaffold99.g24.t1 scaffold99.g24.t1
OG0000001	Porites_asteroides_isotig11537 isotig11537 extracted_CDS gene=isogroup09805 length=593 numContigs=1	Morbakka_virulenta_scaffold624.g2.t1 scaffold624.g2.t1
OG0000001	Porites_asteroides_isotig15249 isotig15249 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup13517 length=473 numContigs=1, Porites_asteroides_isotig27586 isotig27586 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=Q2QI47 gene=isogroup25854 length=284 numContigs=1, Porites_asteroides_isotig20126 isotig20126 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup18394 length=392 numContigs=1, Porites_asteroides_isotig05184 isotig05184 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup03452 length=1104 numContigs=1	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2
OG0000001	Porites_asteroides_isotig18503 isotig18503 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Neural_adhesion_molecule_L1.1_ Match_Acc=Q6U7I5 gene=isogroup16771 length=416 numContigs=1	Morbakka_virulenta_scaffold47.g73.t1 scaffold47.g73.t1
OG0000001	Porites_asteroides_isotig27397 isotig27397 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup25665 length=290 numContigs=1	Morbakka_virulenta_scaffold763.g1.t1 scaffold763.g1.t1, Morbakka_virulenta_scaffold763.g1.t2 scaffold763.g1.t2, Morbakka_virulenta_scaffold126.g21.t2 scaffold126.g21.t2
OG0000001	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000002	Porites_asteroides_isotig20371 isotig20371 extracted_CDS GOMatch=A7S9R9 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_4_ Match_Acc=B2RTL6 gene=isogroup18639 length=392 numContigs=1	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1, Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1
OG0000002	Porites_asteroides_isotig04429 isotig04429 extracted_CDS GOMatch=C3Z8H9 GOTerms=GO_0005509_GO_0005576_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Thrombospondin__Fragment__ Match_Acc=Q16ZU9 gene=isogroup02697 length=1276 numContigs=1	Morbakka_virulenta_scaffold166.g7.t2 scaffold166.g7.t2, Morbakka_virulenta_scaffold166.g7.t1 scaffold166.g7.t1
OG0000002	Porites_asteroides_isotig31427 isotig31427 extracted_CDS GOMatch=Q16PP3 GOTerms=GO_0005509 Gene=Cell_adhesion_molecule_ Match_Acc=Q16PP3 gene=isogroup29695 length=181 numContigs=1	Morbakka_virulenta_scaffold479.g8.t1 scaffold479.g8.t1
OG0000002	Porites_asteroides_isotig06741 isotig06741 extracted_CDS GOMatch=A7RHU3 GOTerms=GO_0004872_GO_0007275_GO_0016020_GO_0016021 Gene=Semaphorin_5A-like_protein_ Match_Acc=D2XNK8 gene=isogroup05009 length=883 numContigs=1	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1
OG0000002	Porites_asteroides_isotig23146 isotig23146 extracted_CDS GOMatch=C3Z1N0 GOTerms=GO_0005102_GO_0007165 Gene=Complement_factor_properdin_ Match_Acc=A2AE15 gene=isogroup21414 length=356 numContigs=1	Morbakka_virulenta_scaffold40.g72.t1 scaffold40.g72.t1
OG0000002	Porites_asteroides_isotig20336 isotig20336 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup18604 length=393 numContigs=1	Morbakka_virulenta_scaffold218.g4.t2 scaffold218.g4.t2, Morbakka_virulenta_scaffold218.g4.t1 scaffold218.g4.t1
OG0000002	Porites_asteroides_isotig10489 isotig10489 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup08757 length=650 numContigs=1	Morbakka_virulenta_scaffold326.g8.t4 scaffold326.g8.t4, Morbakka_virulenta_scaffold326.g8.t3 scaffold326.g8.t3
OG0000002	Porites_asteroides_GCKDGN101ANN8N GCKDGN101ANN8N extracted_CDS GOMatch=C3YH52 GOTerms=GO_0005488 Gene=HyTSR1_protein_ Match_Acc=Q2MCN4 length=439 region=1 run=R_2010_02_19_08_49_25_ xy=0152_2021	Morbakka_virulenta_scaffold1.g61.t1 scaffold1.g61.t1
OG0000002	Porites_asteroides_isotig08787 isotig08787 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup07055 length=736 numContigs=1	Morbakka_virulenta_scaffold381.g2.t1 scaffold381.g2.t1
