Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000000	Porites_asteroides_isotig06298 isotig06298 extracted_CDS gene=isogroup04566 length=931 numContigs=1	Exaiptasia_diaphana_XP_020900471.2 XP_020900471.2 tenascin-R [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514860.1 XP_028514860.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana]
OG0000000	Porites_asteroides_isotig24972 isotig24972 extracted_CDS GOMatch=A7RSP0 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Sialic_acid-binding_lectin_2_ Match_Acc=O76334 gene=isogroup23240 length=334 numContigs=1, Porites_asteroides_isotig19617 isotig19617 extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Tenascin-R_ Match_Acc=Q00546 gene=isogroup17885 length=400 numContigs=1, Porites_asteroides_GCKDGN102EK4EI GCKDGN102EK4EI extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-7_ Match_Acc=A9X700 length=462 region=2 run=R_2010_02_19_08_49_25_ xy=1763_2808, Porites_asteroides_isotig21537 isotig21537 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Techylectin-5B_ Match_Acc=Q9U8W7 gene=isogroup19805 length=373 numContigs=1, Porites_asteroides_isotig01945 isotig01945 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-5_ Match_Acc=A9X6Z8 gene=isogroup00805 length=548 numContigs=2	Exaiptasia_diaphana_XP_028512828.1 XP_028512828.1 titin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512829.1 XP_028512829.1 titin isoform X2 [Exaiptasia diaphana]
OG0000000	Porites_asteroides_isotig30225 isotig30225 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup28493 length=223 numContigs=1	Exaiptasia_diaphana_XP_028516592.1 XP_028516592.1 ryncolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515949.1 XP_028515949.1 ficolin-1 [Exaiptasia diaphana]
OG0000000	Porites_asteroides_GE909771 GE909771 extracted_CDS 9555023_L17.ab1_c Past_norm2007 Porites astreoides cDNA_mRNA sequence	Exaiptasia_diaphana_XP_028517410.1 XP_028517410.1 ryncolin-1-like [Exaiptasia diaphana]
OG0000000	Porites_asteroides_isotig28759 isotig28759 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Tenascin-R_ Match_Acc=Q7T3T6 gene=isogroup27027 length=263 numContigs=1	Exaiptasia_diaphana_XP_028516950.1 XP_028516950.1 fibrinogen C domain-containing protein 1-like_ partial [Exaiptasia diaphana]
OG0000000	Porites_asteroides_isotig25684 isotig25684 extracted_CDS GOMatch=C3Y0I4 GOTerms=GO_0005102_GO_0007165 Gene=Ficolin__Collagen_fibrinogen_domain_containing__3__Hakata_antig en__ Match_Acc=Q6DIT6 gene=isogroup23952 length=322 numContigs=1	Exaiptasia_diaphana_XP_028514603.1 XP_028514603.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514604.1 XP_028514604.1 ficolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899430.1 XP_020899430.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896727.1 XP_020896727.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896726.1 XP_020896726.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517872.1 XP_028517872.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519151.1 XP_028519151.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519152.1 XP_028519152.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519153.1 XP_028519153.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514372.1 XP_028514372.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908817.1 XP_020908817.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908818.1 XP_020908818.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517227.1 XP_028517227.1 ficolin-1-like [Exaiptasia diaphana]
OG0000000	Porites_asteroides_isotig11115 isotig11115 extracted_CDS GOMatch=A7SR68 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup09383 length=615 numContigs=1	Exaiptasia_diaphana_XP_020907414.1 XP_020907414.1 ryncolin-4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907413.1 XP_020907413.1 ryncolin-4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516781.1 XP_028516781.1 techylectin-5B isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516780.1 XP_028516780.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915299.1 XP_020915299.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915296.1 XP_020915296.1 microfibril-associated glycoprotein 4-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907416.2 XP_020907416.2 ryncolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906440.2 XP_020906440.2 ryncolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915297.1 XP_020915297.1 microfibril-associated glycoprotein 4-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915295.1 XP_020915295.1 LOW QUALITY PROTEIN_ ficolin-2-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909125.2 XP_020909125.2 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909200.1 XP_020909200.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909132.2 XP_020909132.2 ryncolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909205.1 XP_020909205.1 ryncolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897244.1 XP_020897244.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897245.1 XP_020897245.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892914.2 XP_020892914.2 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902044.1 XP_020902044.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515321.1 XP_028515321.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515322.1 XP_028515322.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515324.1 XP_028515324.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897261.1 XP_020897261.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514008.1 XP_028514008.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898377.1 XP_020898377.1 fibrinogen C domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898316.2 XP_020898316.2 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513997.1 XP_028513997.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513996.1 XP_028513996.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana]
OG0000000	Porites_asteroides_isotig15725 isotig15725 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Angiopoietin_4_ Match_Acc=Q3V0P7 gene=isogroup13993 length=465 numContigs=1, Porites_asteroides_isotig19598 isotig19598 extracted_CDS GOMatch=A7SYM0 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Angiopoietin-2_ Match_Acc=Q90Z18 gene=isogroup17866 length=402 numContigs=1	Exaiptasia_diaphana_XP_028516783.1 XP_028516783.1 fibroleukin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901795.2 XP_020901795.2 angiopoietin-related protein 7_ partial [Exaiptasia diaphana]
OG0000001	Porites_asteroides_isotig01315 isotig01315 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1263 numContigs=2, Porites_asteroides_isotig01314 isotig01314 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1288 numContigs=2	Exaiptasia_diaphana_XP_028512979.1 XP_028512979.1 usherin-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519658.1 XP_028519658.1 usherin_ partial [Exaiptasia diaphana]
OG0000001	Porites_asteroides_isotig04719 isotig04719 extracted_CDS Gene=Camel_ Match_Acc=C6ESH0 gene=isogroup02987 length=1200 numContigs=1	Exaiptasia_diaphana_XP_020908873.1 XP_020908873.1 fibronectin type III domain-containing protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908871.1 XP_020908871.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908872.1 XP_020908872.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516734.1 XP_028516734.1 fibronectin type III domain-containing protein [Exaiptasia diaphana]
