Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000000	Porites_asteroides_isotig28759 isotig28759 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Tenascin-R_ Match_Acc=Q7T3T6 gene=isogroup27027 length=263 numContigs=1	Nematostella_vectensis_NV2t022115001.1 NV2t022115001.1
OG0000000	Porites_asteroides_isotig25684 isotig25684 extracted_CDS GOMatch=C3Y0I4 GOTerms=GO_0005102_GO_0007165 Gene=Ficolin__Collagen_fibrinogen_domain_containing__3__Hakata_antig en__ Match_Acc=Q6DIT6 gene=isogroup23952 length=322 numContigs=1	Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1
OG0000001	Porites_asteroides_isotig01315 isotig01315 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1263 numContigs=2, Porites_asteroides_isotig01314 isotig01314 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1288 numContigs=2	Nematostella_vectensis_NV2t020012002.1 NV2t020012002.1, Nematostella_vectensis_NV2t020009001.1 NV2t020009001.1, Nematostella_vectensis_NV2t020012001.1 NV2t020012001.1
OG0000001	Porites_asteroides_isotig32429 isotig32429 extracted_CDS GOMatch=Q2HXW4 GOTerms=GO_0001764_GO_0005576_GO_0005578_GO_0005604_GO_0005737_GO_0006915_GO_0007409_GO_0007411_GO_0008284_GO_0016337_GO_0030334_GO_0030517_GO_0030879_GO_0040023_GO_0045773_GO_0060603 Gene=Netrin__Fragment__ Match_Acc=Q0Q618 gene=isogroup30697 length=137 numContigs=1	Nematostella_vectensis_NV2t000601001.1 NV2t000601001.1
OG0000001	Porites_asteroides_isotig04719 isotig04719 extracted_CDS Gene=Camel_ Match_Acc=C6ESH0 gene=isogroup02987 length=1200 numContigs=1	Nematostella_vectensis_NV2t001171001.1 NV2t001171001.1
OG0000001	Porites_asteroides_isotig30055 isotig30055 extracted_CDS gene=isogroup28323 length=227 numContigs=1	Nematostella_vectensis_NV2t014222001.1 NV2t014222001.1, Nematostella_vectensis_NV2t014222002.1 NV2t014222002.1
OG0000001	Porites_asteroides_isotig18438 isotig18438 extracted_CDS GOMatch=D2HSQ6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Dscam_family_member_AbsCAM-Ig7A_ Match_Acc=Q1T6Y3 gene=isogroup16706 length=415 numContigs=1	Nematostella_vectensis_NV2t012582003.1 NV2t012582003.1, Nematostella_vectensis_NV2t012653001.1 NV2t012653001.1, Nematostella_vectensis_NV2t012583001.1 NV2t012583001.1, Nematostella_vectensis_NV2t023796001.1 NV2t023796001.1, Nematostella_vectensis_NV2t017702001.1 NV2t017702001.1, Nematostella_vectensis_NV2t022951001.1 NV2t022951001.1, Nematostella_vectensis_NV2t011373001.1 NV2t011373001.1, Nematostella_vectensis_NV2t011373002.1 NV2t011373002.1, Nematostella_vectensis_NV2t020188002.1 NV2t020188002.1, Nematostella_vectensis_NV2t020188001.1 NV2t020188001.1, Nematostella_vectensis_NV2t020819001.1 NV2t020819001.1, Nematostella_vectensis_NV2t019077001.1 NV2t019077001.1, Nematostella_vectensis_NV2t011946001.1 NV2t011946001.1, Nematostella_vectensis_NV2t011946002.1 NV2t011946002.1, Nematostella_vectensis_NV2t011946003.1 NV2t011946003.1, Nematostella_vectensis_NV2t011797001.1 NV2t011797001.1, Nematostella_vectensis_NV2t012753001.1 NV2t012753001.1, Nematostella_vectensis_NV2t012755001.1 NV2t012755001.1, Nematostella_vectensis_NV2t022551001.1 NV2t022551001.1, Nematostella_vectensis_NV2t016932001.1 NV2t016932001.1, Nematostella_vectensis_NV2t022950001.1 NV2t022950001.1, Nematostella_vectensis_NV2t016931001.1 NV2t016931001.1, Nematostella_vectensis_NV2t001803001.1 NV2t001803001.1, Nematostella_vectensis_NV2t001804001.1 NV2t001804001.1, Nematostella_vectensis_NV2t000600001.1 NV2t000600001.1
OG0000001	Porites_asteroides_isotig10906 isotig10906 extracted_CDS Gene=Contactin-3_ Match_Acc=Q9P232 gene=isogroup09174 length=628 numContigs=1	Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1
OG0000001	Porites_asteroides_isotig05454 isotig05454 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_tyrosine_phosphatase_type_r2a__putative_ Match_Acc=B7Q2Q7 gene=isogroup03722 length=1059 numContigs=1, Porites_asteroides_isotig03686 isotig03686 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor-type_tyrosine-protein_phosphatase_F_ Match_Acc=A4IFW2 gene=isogroup01954 length=1596 numContigs=1	Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1
OG0000001	Porites_asteroides_GCKDGN101BCFKJ GCKDGN101BCFKJ extracted_CDS Gene=Dscam_ Match_Acc=Q292T1 length=267 region=1 run=R_2010_02_19_08_49_25_ xy=0434_2113	Nematostella_vectensis_NV2t011900001.1 NV2t011900001.1, Nematostella_vectensis_NV2t000599002.1 NV2t000599002.1, Nematostella_vectensis_NV2t000599001.1 NV2t000599001.1
OG0000001	Porites_asteroides_isotig06121 isotig06121 extracted_CDS GOMatch=A7T0T0 GOTerms=GO_0005102_GO_0007155_GO_0007165 Gene=Down_syndrome_cell_adhesion_molecule_ Match_Acc=Q17F85 gene=isogroup04389 length=959 numContigs=1	Nematostella_vectensis_NV2t003810001.1 NV2t003810001.1
OG0000001	Porites_asteroides_isotig15249 isotig15249 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup13517 length=473 numContigs=1, Porites_asteroides_isotig27586 isotig27586 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=Q2QI47 gene=isogroup25854 length=284 numContigs=1, Porites_asteroides_isotig20126 isotig20126 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup18394 length=392 numContigs=1, Porites_asteroides_isotig05184 isotig05184 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup03452 length=1104 numContigs=1	Nematostella_vectensis_NV2t020013001.1 NV2t020013001.1, Nematostella_vectensis_NV2t020013002.1 NV2t020013002.1, Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1
