Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000000	Porites_asteroides_GCKDGN102EK4EI GCKDGN102EK4EI extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-7_ Match_Acc=A9X700 length=462 region=2 run=R_2010_02_19_08_49_25_ xy=1763_2808, Porites_asteroides_isotig21537 isotig21537 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Techylectin-5B_ Match_Acc=Q9U8W7 gene=isogroup19805 length=373 numContigs=1, Porites_asteroides_isotig01945 isotig01945 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-5_ Match_Acc=A9X6Z8 gene=isogroup00805 length=548 numContigs=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.58056 Ccrux.Trinity.58056, Calvadosia_cruxmelitensis_Ccrux.Trinity.27812 Ccrux.Trinity.27812, Calvadosia_cruxmelitensis_Ccrux.Trinity.2270 Ccrux.Trinity.2270, Calvadosia_cruxmelitensis_Ccrux.Trinity.2268 Ccrux.Trinity.2268, Calvadosia_cruxmelitensis_Ccrux.Trinity.56716 Ccrux.Trinity.56716, Calvadosia_cruxmelitensis_Ccrux.Trinity.2269 Ccrux.Trinity.2269
OG0000000	Porites_asteroides_isotig25684 isotig25684 extracted_CDS GOMatch=C3Y0I4 GOTerms=GO_0005102_GO_0007165 Gene=Ficolin__Collagen_fibrinogen_domain_containing__3__Hakata_antig en__ Match_Acc=Q6DIT6 gene=isogroup23952 length=322 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975
OG0000000	Porites_asteroides_isotig11115 isotig11115 extracted_CDS GOMatch=A7SR68 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup09383 length=615 numContigs=1, Porites_asteroides_isotig00527 isotig00527 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup00135 length=1593 numContigs=3, Porites_asteroides_isotig00528 isotig00528 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup00135 length=1238 numContigs=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.13476 Ccrux.Trinity.13476, Calvadosia_cruxmelitensis_Ccrux.Trinity.60601 Ccrux.Trinity.60601, Calvadosia_cruxmelitensis_Ccrux.Trinity.72013 Ccrux.Trinity.72013, Calvadosia_cruxmelitensis_Ccrux.Trinity.25175 Ccrux.Trinity.25175, Calvadosia_cruxmelitensis_Ccrux.Trinity.25174 Ccrux.Trinity.25174, Calvadosia_cruxmelitensis_Ccrux.Trinity.25178 Ccrux.Trinity.25178, Calvadosia_cruxmelitensis_Ccrux.Trinity.25170 Ccrux.Trinity.25170, Calvadosia_cruxmelitensis_Ccrux.Trinity.25173 Ccrux.Trinity.25173, Calvadosia_cruxmelitensis_Ccrux.Trinity.63690 Ccrux.Trinity.63690, Calvadosia_cruxmelitensis_Ccrux.Trinity.1835 Ccrux.Trinity.1835, Calvadosia_cruxmelitensis_Ccrux.Trinity.10162 Ccrux.Trinity.10162, Calvadosia_cruxmelitensis_Ccrux.Trinity.10161 Ccrux.Trinity.10161, Calvadosia_cruxmelitensis_Ccrux.Trinity.44850 Ccrux.Trinity.44850, Calvadosia_cruxmelitensis_Ccrux.Trinity.44852 Ccrux.Trinity.44852
OG0000000	Porites_asteroides_isotig14916 isotig14916 extracted_CDS GOMatch=A7RST9 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Fgl2_protein__Fragment__ Match_Acc=Q32Q89 gene=isogroup13184 length=481 numContigs=1, Porites_asteroides_isotig15725 isotig15725 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Angiopoietin_4_ Match_Acc=Q3V0P7 gene=isogroup13993 length=465 numContigs=1, Porites_asteroides_isotig19598 isotig19598 extracted_CDS GOMatch=A7SYM0 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Angiopoietin-2_ Match_Acc=Q90Z18 gene=isogroup17866 length=402 numContigs=1, Porites_asteroides_isotig00422 isotig00422 extracted_CDS GOMatch=C3Y2N6 GOTerms=GO_0005102_GO_0005509_GO_0005615_GO_0007165 gene=isogroup00103 length=824 numContigs=3, Porites_asteroides_isotig00423 isotig00423 extracted_CDS GOMatch=C3Y2N6 GOTerms=GO_0005102_GO_0005509_GO_0005615_GO_0007165 gene=isogroup00103 length=790 numContigs=3, Porites_asteroides_isotig16023 isotig16023 extracted_CDS GOMatch=A7S8V8 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup14291 length=457 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.70260 Ccrux.Trinity.70260, Calvadosia_cruxmelitensis_Ccrux.Trinity.62537 Ccrux.Trinity.62537, Calvadosia_cruxmelitensis_Ccrux.Trinity.39081 Ccrux.Trinity.39081
OG0000000	Porites_asteroides_GCKDGN103FVVXB GCKDGN103FVVXB extracted_CDS GOMatch=A7RST9 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Fibrinogen-like_protein_ Match_Acc=Q9NDQ1 length=260 region=3 run=R_2010_02_19_08_49_25_ xy=2296_1485	Calvadosia_cruxmelitensis_Ccrux.Trinity.13478 Ccrux.Trinity.13478, Calvadosia_cruxmelitensis_Ccrux.Trinity.14749 Ccrux.Trinity.14749
OG0000001	Porites_asteroides_isotig05078 isotig05078 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=A0JP86 gene=isogroup03346 length=1119 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.33421 Ccrux.Trinity.33421
OG0000001	Porites_asteroides_isotig24173 isotig24173 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_B2_ Match_Acc=B4PEF1 gene=isogroup22441 length=343 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.8636 Ccrux.Trinity.8636
OG0000001	Porites_asteroides_isotig01315 isotig01315 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1263 numContigs=2, Porites_asteroides_isotig01314 isotig01314 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1288 numContigs=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.36673 Ccrux.Trinity.36673, Calvadosia_cruxmelitensis_Ccrux.Trinity.36672 Ccrux.Trinity.36672
OG0000001	Porites_asteroides_isotig12620 isotig12620 extracted_CDS GOMatch=C3ZAH4 GOTerms=GO_0004872 Gene=Laminin__beta_2_ Match_Acc=Q8R0Y0 gene=isogroup10888 length=554 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.13379 Ccrux.Trinity.13379
OG0000001	Porites_asteroides_isotig07204 isotig07204 extracted_CDS GOMatch=B7Q1Z8 GOTerms=GO_0016740_GO_0050254 Gene=Down_syndrome_cell_adhesion_molecule-like_protein__Fragment__ Match_Acc=Q8R4B1 gene=isogroup05472 length=837 numContigs=1, Porites_asteroides_isotig04719 isotig04719 extracted_CDS Gene=Camel_ Match_Acc=C6ESH0 gene=isogroup02987 length=1200 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.15286 Ccrux.Trinity.15286, Calvadosia_cruxmelitensis_Ccrux.Trinity.15288 Ccrux.Trinity.15288, Calvadosia_cruxmelitensis_Ccrux.Trinity.15287 Ccrux.Trinity.15287, Calvadosia_cruxmelitensis_Ccrux.Trinity.15289 Ccrux.Trinity.15289, Calvadosia_cruxmelitensis_Ccrux.Trinity.15290 Ccrux.Trinity.15290
