Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000001	Pleurobrachia_bachei_sb_2652422_ sb_2652422_	Exaiptasia_diaphana_XP_020906267.2 XP_020906267.2 laminin subunit beta-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]
OG0000001	Pleurobrachia_bachei_sb_2667052_ sb_2667052_, Pleurobrachia_bachei_sb_2641560_ sb_2641560_	Exaiptasia_diaphana_XP_028512979.1 XP_028512979.1 usherin-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519658.1 XP_028519658.1 usherin_ partial [Exaiptasia diaphana]
OG0000001	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Pleurobrachia_bachei_sb_2640766_ sb_2640766_	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]
OG0000002	Pleurobrachia_bachei_sb_2660785_ sb_2660785_, Pleurobrachia_bachei_sb_2663848_ sb_2663848_, Pleurobrachia_bachei_sb_2658038_ sb_2658038_, Pleurobrachia_bachei_sb_2659183_ sb_2659183_, Pleurobrachia_bachei_sb_2661642_ sb_2661642_, Pleurobrachia_bachei_sb_2656508_ sb_2656508_, Pleurobrachia_bachei_sb_2639676_ sb_2639676_, Pleurobrachia_bachei_sb_2650520_ sb_2650520_, Pleurobrachia_bachei_sb_2643421_ sb_2643421_, Pleurobrachia_bachei_sb_2657717_ sb_2657717_, Pleurobrachia_bachei_sb_2642327_ sb_2642327_	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]
OG0000002	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]
OG0000002	Pleurobrachia_bachei_sb_2639240_ sb_2639240_	Exaiptasia_diaphana_XP_020893151.2 XP_020893151.2 netrin receptor UNC5A [Exaiptasia diaphana]
OG0000002	Pleurobrachia_bachei_sb_2653447_ sb_2653447_	Exaiptasia_diaphana_XP_020898429.1 XP_020898429.1 netrin receptor UNC5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514823.1 XP_028514823.1 uncharacterized protein LOC114574199 [Exaiptasia diaphana]
OG0000002	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_, Pleurobrachia_bachei_sb_2661683_ sb_2661683_, Pleurobrachia_bachei_sb_2659647_ sb_2659647_	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]
OG0000003	Pleurobrachia_bachei_sb_2660103_ sb_2660103_, Pleurobrachia_bachei_sb_2661433_ sb_2661433_, Pleurobrachia_bachei_sb_2643938_ sb_2643938_	Exaiptasia_diaphana_XP_028518489.1 XP_028518489.1 secretory phospholipase A2 receptor [Exaiptasia diaphana]
OG0000003	Pleurobrachia_bachei_sb_2665626_ sb_2665626_	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893164.1 XP_020893164.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893717.2 XP_020893717.2 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893691.1 XP_020893691.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513031.1 XP_028513031.1 aggrecan core protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513030.1 XP_028513030.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513029.1 XP_028513029.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893694.1 XP_020893694.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897122.1 XP_020897122.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513951.1 XP_028513951.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915383.1 XP_020915383.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911303.2 XP_020911303.2 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893692.1 XP_020893692.1 C-type lectin BfL-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893695.1 XP_020893695.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519144.1 XP_028519144.1 aggrecan core protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916572.1 XP_020916572.1 snaclec bothroinsularin subunit alpha [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518744.1 XP_028518744.1 uncharacterized protein LOC110251542 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913924.1 XP_020913924.1 uncharacterized protein LOC110251542 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913925.1 XP_020913925.1 uncharacterized protein LOC110251542 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518745.1 XP_028518745.1 uncharacterized protein LOC110251542 isoform X4 [Exaiptasia diaphana]
OG0000003	Pleurobrachia_bachei_sb_2656105_ sb_2656105_	Exaiptasia_diaphana_XP_020897241.1 XP_020897241.1 protein kinase C-binding protein NELL1_ partial [Exaiptasia diaphana]
