Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000000	Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein	Nematostella_vectensis_NV2t011374001.1 NV2t011374001.1
OG0000000	Clytia_hemispherica_TCONS_00047229-protein TCONS_00047229-protein, Clytia_hemispherica_TCONS_00035351-protein TCONS_00035351-protein, Clytia_hemispherica_TCONS_00072749-protein TCONS_00072749-protein, Clytia_hemispherica_TCONS_00060419-protein TCONS_00060419-protein, Clytia_hemispherica_TCONS_00027220-protein TCONS_00027220-protein, Clytia_hemispherica_TCONS_00019639-protein TCONS_00019639-protein, Clytia_hemispherica_TCONS_00041903-protein TCONS_00041903-protein, Clytia_hemispherica_TCONS_00055631-protein TCONS_00055631-protein, Clytia_hemispherica_TCONS_00017249-protein TCONS_00017249-protein, Clytia_hemispherica_TCONS_00071837-protein TCONS_00071837-protein, Clytia_hemispherica_TCONS_00011360-protein TCONS_00011360-protein, Clytia_hemispherica_TCONS_00060455-protein TCONS_00060455-protein, Clytia_hemispherica_TCONS_00032431-protein TCONS_00032431-protein, Clytia_hemispherica_TCONS_00062122-protein TCONS_00062122-protein, Clytia_hemispherica_TCONS_00006663-protein TCONS_00006663-protein, Clytia_hemispherica_TCONS_00015470-protein TCONS_00015470-protein, Clytia_hemispherica_TCONS_00021098-protein TCONS_00021098-protein, Clytia_hemispherica_TCONS_00022251-protein TCONS_00022251-protein, Clytia_hemispherica_TCONS_00031046-protein TCONS_00031046-protein, Clytia_hemispherica_TCONS_00056773-protein TCONS_00056773-protein, Clytia_hemispherica_TCONS_00049966-protein TCONS_00049966-protein	Nematostella_vectensis_NV2t017967001.1 NV2t017967001.1
OG0000001	Clytia_hemispherica_TCONS_00046695-protein TCONS_00046695-protein	Nematostella_vectensis_NV2t024157001.1 NV2t024157001.1
OG0000001	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein	Nematostella_vectensis_NV2t001171001.1 NV2t001171001.1
OG0000001	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein	Nematostella_vectensis_NV2t000702003.1 NV2t000702003.1, Nematostella_vectensis_NV2t000702002.1 NV2t000702002.1, Nematostella_vectensis_NV2t000702004.1 NV2t000702004.1, Nematostella_vectensis_NV2t000702005.1 NV2t000702005.1, Nematostella_vectensis_NV2t000702006.1 NV2t000702006.1, Nematostella_vectensis_NV2t000702001.1 NV2t000702001.1
OG0000001	Clytia_hemispherica_TCONS_00018494-protein TCONS_00018494-protein, Clytia_hemispherica_TCONS_00018496-protein TCONS_00018496-protein	Nematostella_vectensis_NV2t011797001.1 NV2t011797001.1, Nematostella_vectensis_NV2t012753001.1 NV2t012753001.1, Nematostella_vectensis_NV2t012755001.1 NV2t012755001.1, Nematostella_vectensis_NV2t022551001.1 NV2t022551001.1
OG0000001	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein	Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1
OG0000001	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein	Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1
OG0000001	Clytia_hemispherica_TCONS_00067910-protein TCONS_00067910-protein, Clytia_hemispherica_TCONS_00055217-protein TCONS_00055217-protein	Nematostella_vectensis_NV2t013521001.1 NV2t013521001.1, Nematostella_vectensis_NV2t000743001.1 NV2t000743001.1
OG0000001	Clytia_hemispherica_TCONS_00020975-protein TCONS_00020975-protein	Nematostella_vectensis_NV2t000570001.1 NV2t000570001.1, Nematostella_vectensis_NV2t021729001.1 NV2t021729001.1, Nematostella_vectensis_NV2t021728001.1 NV2t021728001.1
OG0000001	Clytia_hemispherica_TCONS_00026153-protein TCONS_00026153-protein, Clytia_hemispherica_TCONS_00003461-protein TCONS_00003461-protein, Clytia_hemispherica_TCONS_00071725-protein TCONS_00071725-protein	Nematostella_vectensis_NV2t010732001.1 NV2t010732001.1
OG0000001	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein	Nematostella_vectensis_NV2t020013001.1 NV2t020013001.1, Nematostella_vectensis_NV2t020013002.1 NV2t020013002.1
OG0000001	Clytia_hemispherica_TCONS_00030584-protein TCONS_00030584-protein	Nematostella_vectensis_NV2t000360001.1 NV2t000360001.1
OG0000001	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein	Nematostella_vectensis_NV2t025734001.1 NV2t025734001.1
OG0000001	Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein	Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1
OG0000001	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1
OG0000001	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein	Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1
OG0000002	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1
OG0000002	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1
OG0000002	Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein	Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1
OG0000002	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1
OG0000002	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1
OG0000002	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein	Nematostella_vectensis_NV2t011502001.1 NV2t011502001.1
OG0000002	Clytia_hemispherica_TCONS_00055220-protein TCONS_00055220-protein, Clytia_hemispherica_TCONS_00055166-protein TCONS_00055166-protein	Nematostella_vectensis_NV2t007220001.1 NV2t007220001.1
OG0000002	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein	Nematostella_vectensis_NV2t010038001.1 NV2t010038001.1
OG0000002	Clytia_hemispherica_TCONS_00006687-protein TCONS_00006687-protein, Clytia_hemispherica_TCONS_00010430-protein TCONS_00010430-protein	Nematostella_vectensis_NV2t011945001.1 NV2t011945001.1
OG0000002	Clytia_hemispherica_TCONS_00010066-protein TCONS_00010066-protein, Clytia_hemispherica_TCONS_00010069-protein TCONS_00010069-protein	Nematostella_vectensis_NV2t014005001.1 NV2t014005001.1
OG0000002	Clytia_hemispherica_TCONS_00022744-protein TCONS_00022744-protein	Nematostella_vectensis_NV2t013920001.1 NV2t013920001.1, Nematostella_vectensis_NV2t019412001.1 NV2t019412001.1, Nematostella_vectensis_NV2t013919001.1 NV2t013919001.1, Nematostella_vectensis_NV2t024746001.1 NV2t024746001.1
OG0000003	Clytia_hemispherica_TCONS_00063447-protein TCONS_00063447-protein, Clytia_hemispherica_TCONS_00021701-protein TCONS_00021701-protein	Nematostella_vectensis_NV2t016335001.1 NV2t016335001.1
OG0000003	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein	Nematostella_vectensis_NV2t012859002.1 NV2t012859002.1, Nematostella_vectensis_NV2t012859001.1 NV2t012859001.1
OG0000003	Clytia_hemispherica_TCONS_00052747-protein TCONS_00052747-protein, Clytia_hemispherica_TCONS_00021064-protein TCONS_00021064-protein	Nematostella_vectensis_NV2t006897002.1 NV2t006897002.1, Nematostella_vectensis_NV2t013189001.1 NV2t013189001.1, Nematostella_vectensis_NV2t013189002.1 NV2t013189002.1
OG0000003	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1
OG0000003	Clytia_hemispherica_TCONS_00064671-protein TCONS_00064671-protein	Nematostella_vectensis_NV2t021307001.1 NV2t021307001.1
OG0000003	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein	Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1
