Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Ctenophora_Nuda_Beroe_ovata
OG0000000	Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein	Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1
OG0000001	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1
OG0000001	Clytia_hemispherica_TCONS_00033925-protein TCONS_00033925-protein	Beroe_ovata_Bova1_4.0014.g131.t1 Bova1_4.0014.g131.t1
OG0000001	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1
OG0000001	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1
OG0000001	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1
OG0000002	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein	Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1
OG0000002	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein, Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1
OG0000002	Clytia_hemispherica_TCONS_00016956-protein TCONS_00016956-protein	Beroe_ovata_Bova1_4.0019.g35.t1 Bova1_4.0019.g35.t1
OG0000002	Clytia_hemispherica_TCONS_00054324-protein TCONS_00054324-protein	Beroe_ovata_Bova1_4.0556.g1.t1 Bova1_4.0556.g1.t1
OG0000002	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein	Beroe_ovata_Bova1_4.0022.g39.t1 Bova1_4.0022.g39.t1, Beroe_ovata_Bova1_4.0143.g14.t1 Bova1_4.0143.g14.t1
