Orthogroup	Insecta_Diptera_Drosophila_melanogaster	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000000	Drosophila_melanogaster_tr_Q9VF34_Q9VF34_DROME tr|Q9VF34|Q9VF34_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=FBpp0082632 PE=4 SV=2	Exaiptasia_diaphana_XP_020901662.1 XP_020901662.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898206.1 XP_020898206.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900471.2 XP_020900471.2 tenascin-R [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514860.1 XP_028514860.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900722.1 XP_020900722.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900409.1 XP_020900409.1 ryncolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892023.1 XP_020892023.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515677.1 XP_028515677.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515087.1 XP_028515087.1 fibroleukin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512828.1 XP_028512828.1 titin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512829.1 XP_028512829.1 titin isoform X2 [Exaiptasia diaphana]
OG0000000	Drosophila_melanogaster_tr_Q9VME7_Q9VME7_DROME tr|Q9VME7|Q9VME7_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=AAF52372 PE=4 SV=4, Drosophila_melanogaster_tr_Q4V4U2_Q4V4U2_DROME tr|Q4V4U2|Q4V4U2_DROME IP08170p OS=Drosophila melanogaster OX=7227 GN=AAF46801 PE=2 SV=1, Drosophila_melanogaster_tr_A1ZAJ8_A1ZAJ8_DROME tr|A1ZAJ8|A1ZAJ8_DROME FI17311p1 OS=Drosophila melanogaster OX=7227 GN=AAL48972 PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4K7T3_A0A0B4K7T3_DROME tr|A0A0B4K7T3|A0A0B4K7T3_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=AAF57948 PE=4 SV=1, Drosophila_melanogaster_tr_Q8SYS3_Q8SYS3_DROME tr|Q8SYS3|Q8SYS3_DROME RE38860p OS=Drosophila melanogaster OX=7227 GN=CG5550 PE=2 SV=1	Exaiptasia_diaphana_XP_020909468.1 XP_020909468.1 ryncolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514930.1 XP_028514930.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900723.1 XP_020900723.1 fibrinogen-like protein A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517405.1 XP_028517405.1 fibrinogen-like protein A_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909470.1 XP_020909470.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901995.2 XP_020901995.2 uncharacterized protein LOC110240525 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907418.1 XP_020907418.1 protein turtle isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516784.1 XP_028516784.1 roundabout homolog 3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906591.2 XP_020906591.2 angiopoietin-related protein 7_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892707.2 XP_020892707.2 interference hedgehog-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901313.2 XP_020901313.2 uncharacterized protein LOC110239899 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901126.2 XP_020901126.2 interference hedgehog-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515058.1 XP_028515058.1 uncharacterized protein LOC110239728 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910039.2 XP_020910039.2 protein turtle [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515958.1 XP_028515958.1 uncharacterized protein LOC110242681 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517624.1 XP_028517624.1 uncharacterized protein LOC114575960 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512766.1 XP_028512766.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110231967 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512763.1 XP_028512763.1 contactin-5-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516591.1 XP_028516591.1 peroxidasin homolog [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517682.1 XP_028517682.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907417.2 XP_020907417.2 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515950.1 XP_028515950.1 uncharacterized protein LOC110242692 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515947.1 XP_028515947.1 uncharacterized protein LOC110242689 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904368.2 XP_020904368.2 uncharacterized protein LOC110242694 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904386.1 XP_020904386.1 uncharacterized protein LOC110242712 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512764.1 XP_028512764.1 uncharacterized protein LOC110231966 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916327.1 XP_020916327.1 uncharacterized protein LOC110253717 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904387.2 XP_020904387.2 myosin light chain kinase_ smooth muscle [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516547.1 XP_028516547.1 macrophage receptor MARCO_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515948.1 XP_028515948.1 LOW QUALITY PROTEIN_ roundabout homolog 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901132.1 XP_020901132.1 obscurin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904409.2 XP_020904409.2 roundabout homolog 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901700.2 XP_020901700.2 muscle M-line assembly protein unc-89 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900320.1 XP_020900320.1 titin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514822.1 XP_028514822.1 basement membrane proteoglycan-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902245.2 XP_020902245.2 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904712.2 XP_020904712.2 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516592.1 XP_028516592.1 ryncolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515949.1 XP_028515949.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517410.1 XP_028517410.1 ryncolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516950.1 XP_028516950.1 fibrinogen C domain-containing protein 1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514603.1 XP_028514603.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514604.1 XP_028514604.1 ficolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899430.1 XP_020899430.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896727.1 XP_020896727.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896726.1 XP_020896726.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517872.1 XP_028517872.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519151.1 XP_028519151.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519152.1 XP_028519152.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519153.1 XP_028519153.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514372.1 XP_028514372.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908817.1 XP_020908817.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908818.1 XP_020908818.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517227.1 XP_028517227.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898929.1 XP_020898929.1 ryncolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907414.1 XP_020907414.1 ryncolin-4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907413.1 XP_020907413.1 ryncolin-4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516781.1 XP_028516781.1 techylectin-5B isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516780.1 XP_028516780.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915299.1 XP_020915299.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915296.1 XP_020915296.1 microfibril-associated glycoprotein 4-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907416.2 XP_020907416.2 ryncolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906440.2 XP_020906440.2 ryncolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915297.1 XP_020915297.1 microfibril-associated glycoprotein 4-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915295.1 XP_020915295.1 LOW QUALITY PROTEIN_ ficolin-2-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909125.2 XP_020909125.2 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909200.1 XP_020909200.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909132.2 XP_020909132.2 ryncolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909205.1 XP_020909205.1 ryncolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897244.1 XP_020897244.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897245.1 XP_020897245.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892914.2 XP_020892914.2 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902044.1 XP_020902044.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515321.1 XP_028515321.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515322.1 XP_028515322.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515324.1 XP_028515324.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897261.1 XP_020897261.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514008.1 XP_028514008.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898377.1 XP_020898377.1 fibrinogen C domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898316.2 XP_020898316.2 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513997.1 XP_028513997.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513996.1 XP_028513996.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903268.1 XP_020903268.1 fibrinogen-like protein A isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903269.1 XP_020903269.1 fibrinogen-like protein A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907168.1 XP_020907168.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903272.1 XP_020903272.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899812.1 XP_020899812.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891997.1 XP_020891997.1 techylectin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915140.2 XP_020915140.2 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915176.2 XP_020915176.2 techylectin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519070.1 XP_028519070.1 uncharacterized protein LOC110252679 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519064.1 XP_028519064.1 techylectin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901441.2 XP_020901441.2 ryncolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915180.1 XP_020915180.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908476.1 XP_020908476.1 techylectin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893436.1 XP_020893436.1 techylectin-5B-like_ partial [Exaiptasia diaphana]
OG0000000	Drosophila_melanogaster_tr_E8Z4Z6_E8Z4Z6_DROME tr|E8Z4Z6|E8Z4Z6_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=4 SV=1, Drosophila_melanogaster_tr_Q5BIB8_Q5BIB8_DROME tr|Q5BIB8|Q5BIB8_DROME RE19569p OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=2 SV=1, Drosophila_melanogaster_tr_A8QHX1_A8QHX1_DROME tr|A8QHX1|A8QHX1_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=Dmel\CG41520 PE=4 SV=1	Exaiptasia_diaphana_XP_020908882.2 XP_020908882.2 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913665.1 XP_020913665.1 ryncolin-1-like [Exaiptasia diaphana]
OG0000001	Drosophila_melanogaster_sp_P11046_LAMB1_DROME sp|P11046|LAMB1_DROME Laminin subunit beta-1 OS=Drosophila melanogaster OX=7227 GN=LanB1 PE=1 SV=4	Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]
OG0000001	Drosophila_melanogaster_sp_Q24567_NETA_DROME sp|Q24567|NETA_DROME Netrin-A OS=Drosophila melanogaster OX=7227 GN=NetA PE=2 SV=2, Drosophila_melanogaster_tr_X2JEZ9_X2JEZ9_DROME tr|X2JEZ9|X2JEZ9_DROME Netrin-A_ isoform C OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1, Drosophila_melanogaster_tr_M9NF48_M9NF48_DROME tr|M9NF48|M9NF48_DROME Netrin-A_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana]
OG0000001	Drosophila_melanogaster_tr_X2JAW6_X2JAW6_DROME tr|X2JAW6|X2JAW6_DROME Laminin B2_ isoform B OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=4 SV=1, Drosophila_melanogaster_sp_P15215_LAMC1_DROME sp|P15215|LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=2 SV=2	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Drosophila_melanogaster_tr_Q9XZC9_Q9XZC9_DROME tr|Q9XZC9|Q9XZC9_DROME Laminin alpha1_2 OS=Drosophila melanogaster OX=7227 GN=wb PE=2 SV=1, Drosophila_melanogaster_tr_Q8IP51_Q8IP51_DROME tr|Q8IP51|Q8IP51_DROME Wing blister_ isoform B OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1, Drosophila_melanogaster_tr_R9PY40_R9PY40_DROME tr|R9PY40|R9PY40_DROME Wing blister_ isoform G OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]
OG0000002	Drosophila_melanogaster_tr_Q968S4_Q968S4_DROME tr|Q968S4|Q968S4_DROME Putative thrombospondin OS=Drosophila melanogaster OX=7227 GN=Tsp PE=2 SV=1, Drosophila_melanogaster_tr_Q9VM97_Q9VM97_DROME tr|Q9VM97|Q9VM97_DROME Thrombospondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=2, Drosophila_melanogaster_tr_B7Z030_B7Z030_DROME tr|B7Z030|B7Z030_DROME Thrombospondin_ isoform G OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=1	Exaiptasia_diaphana_XP_028518906.1 XP_028518906.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]
OG0000002	Drosophila_melanogaster_tr_Q7YU67_Q7YU67_DROME tr|Q7YU67|Q7YU67_DROME RE68041p OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1, Drosophila_melanogaster_tr_Q9VTT0_Q9VTT0_DROME tr|Q9VTT0|Q9VTT0_DROME Semaphorin 5c_ isoform A OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=4 SV=3, Drosophila_melanogaster_tr_Q9U631_Q9U631_DROME tr|Q9U631|Q9U631_DROME Semaphorin 5C OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]
OG0000002	Drosophila_melanogaster_tr_A1ZAF5_A1ZAF5_DROME tr|A1ZAF5|A1ZAF5_DROME FI18622p1 OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=2 SV=1, Drosophila_melanogaster_tr_Q29QV5_Q29QV5_DROME tr|Q29QV5|Q29QV5_DROME IP13724p OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4KG38_A0A0B4KG38_DROME tr|A0A0B4KG38|A0A0B4KG38_DROME Semaphorin 2b_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=1 SV=1, Drosophila_melanogaster_sp_Q24323_SEM2A_DROME sp|Q24323|SEM2A_DROME Semaphorin-2A OS=Drosophila melanogaster OX=7227 GN=Sema2a PE=1 SV=2, Drosophila_melanogaster_sp_Q24322_SEM1A_DROME sp|Q24322|SEM1A_DROME Semaphorin-1A OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=3, Drosophila_melanogaster_tr_Q0E8S4_Q0E8S4_DROME tr|Q0E8S4|Q0E8S4_DROME Semaphorin 1a_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=2, Drosophila_melanogaster_tr_M9PCL7_M9PCL7_DROME tr|M9PCL7|M9PCL7_DROME Semaphorin 1a_ isoform G OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PFA5_M9PFA5_DROME tr|M9PFA5|M9PFA5_DROME Semaphorin 1a_ isoform H OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PB77_M9PB77_DROME tr|M9PB77|M9PB77_DROME Semaphorin 1a_ isoform I OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9MRI2_M9MRI2_DROME tr|M9MRI2|M9MRI2_DROME Semaphorin 1a_ isoform F OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_Q7KK54_Q7KK54_DROME tr|Q7KK54|Q7KK54_DROME MIP07328p OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=1 SV=1, Drosophila_melanogaster_tr_O44253_O44253_DROME tr|O44253|O44253_DROME Similar to semaphorin-I OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=2 SV=1	Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]
