Orthogroup	Insecta_Diptera_Drosophila_melanogaster	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000000	Drosophila_melanogaster_tr_Q9VF34_Q9VF34_DROME tr|Q9VF34|Q9VF34_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=FBpp0082632 PE=4 SV=2	Nematostella_vectensis_NV2t014110001.1 NV2t014110001.1, Nematostella_vectensis_NV2t006207001.1 NV2t006207001.1, Nematostella_vectensis_NV2t012138004.1 NV2t012138004.1, Nematostella_vectensis_NV2t012138001.1 NV2t012138001.1, Nematostella_vectensis_NV2t007004001.1 NV2t007004001.1, Nematostella_vectensis_NV2t005873001.1 NV2t005873001.1, Nematostella_vectensis_NV2t011374001.1 NV2t011374001.1, Nematostella_vectensis_NV2t025469001.1 NV2t025469001.1
OG0000000	Drosophila_melanogaster_tr_Q9VME7_Q9VME7_DROME tr|Q9VME7|Q9VME7_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=AAF52372 PE=4 SV=4, Drosophila_melanogaster_tr_Q4V4U2_Q4V4U2_DROME tr|Q4V4U2|Q4V4U2_DROME IP08170p OS=Drosophila melanogaster OX=7227 GN=AAF46801 PE=2 SV=1, Drosophila_melanogaster_tr_A1ZAJ8_A1ZAJ8_DROME tr|A1ZAJ8|A1ZAJ8_DROME FI17311p1 OS=Drosophila melanogaster OX=7227 GN=AAL48972 PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4K7T3_A0A0B4K7T3_DROME tr|A0A0B4K7T3|A0A0B4K7T3_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=AAF57948 PE=4 SV=1, Drosophila_melanogaster_tr_Q8SYS3_Q8SYS3_DROME tr|Q8SYS3|Q8SYS3_DROME RE38860p OS=Drosophila melanogaster OX=7227 GN=CG5550 PE=2 SV=1	Nematostella_vectensis_NV2t003941001.1 NV2t003941001.1, Nematostella_vectensis_NV2t022115001.1 NV2t022115001.1, Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1, Nematostella_vectensis_NV2t007038001.1 NV2t007038001.1, Nematostella_vectensis_NV2t019779001.1 NV2t019779001.1, Nematostella_vectensis_NV2t019779002.1 NV2t019779002.1, Nematostella_vectensis_NV2t022610001.1 NV2t022610001.1, Nematostella_vectensis_NV2t022609002.1 NV2t022609002.1, Nematostella_vectensis_NV2t022609001.1 NV2t022609001.1, Nematostella_vectensis_NV2t024484001.1 NV2t024484001.1, Nematostella_vectensis_NV2t017198001.1 NV2t017198001.1, Nematostella_vectensis_NV2t005688002.1 NV2t005688002.1, Nematostella_vectensis_NV2t005688001.1 NV2t005688001.1, Nematostella_vectensis_NV2t005687001.1 NV2t005687001.1, Nematostella_vectensis_NV2t006013001.1 NV2t006013001.1, Nematostella_vectensis_NV2t006016001.1 NV2t006016001.1, Nematostella_vectensis_NV2t006010001.1 NV2t006010001.1, Nematostella_vectensis_NV2t006015001.1 NV2t006015001.1, Nematostella_vectensis_NV2t006014001.1 NV2t006014001.1, Nematostella_vectensis_NV2t006014002.1 NV2t006014002.1, Nematostella_vectensis_NV2t017096001.1 NV2t017096001.1
OG0000000	Drosophila_melanogaster_tr_E8Z4Z6_E8Z4Z6_DROME tr|E8Z4Z6|E8Z4Z6_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=4 SV=1, Drosophila_melanogaster_tr_Q5BIB8_Q5BIB8_DROME tr|Q5BIB8|Q5BIB8_DROME RE19569p OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=2 SV=1, Drosophila_melanogaster_tr_A8QHX1_A8QHX1_DROME tr|A8QHX1|A8QHX1_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=Dmel\CG41520 PE=4 SV=1	Nematostella_vectensis_NV2t010046003.1 NV2t010046003.1, Nematostella_vectensis_NV2t010046002.1 NV2t010046002.1, Nematostella_vectensis_NV2t010046001.1 NV2t010046001.1
OG0000001	Drosophila_melanogaster_sp_Q24568_NETB_DROME sp|Q24568|NETB_DROME Netrin-B OS=Drosophila melanogaster OX=7227 GN=NetB PE=1 SV=1, Drosophila_melanogaster_tr_E1JJP7_E1JJP7_DROME tr|E1JJP7|E1JJP7_DROME Netrin-B_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetB PE=4 SV=1, Drosophila_melanogaster_tr_M9PH47_M9PH47_DROME tr|M9PH47|M9PH47_DROME Netrin-B_ isoform G OS=Drosophila melanogaster OX=7227 GN=NetB PE=4 SV=1, Drosophila_melanogaster_tr_Q95SP5_Q95SP5_DROME tr|Q95SP5|Q95SP5_DROME GH10173p OS=Drosophila melanogaster OX=7227 GN=NetB PE=2 SV=1	Nematostella_vectensis_NV2t007734005.1 NV2t007734005.1
OG0000001	Drosophila_melanogaster_sp_Q24567_NETA_DROME sp|Q24567|NETA_DROME Netrin-A OS=Drosophila melanogaster OX=7227 GN=NetA PE=2 SV=2, Drosophila_melanogaster_tr_X2JEZ9_X2JEZ9_DROME tr|X2JEZ9|X2JEZ9_DROME Netrin-A_ isoform C OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1, Drosophila_melanogaster_tr_M9NF48_M9NF48_DROME tr|M9NF48|M9NF48_DROME Netrin-A_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1	Nematostella_vectensis_NV2t007734002.1 NV2t007734002.1, Nematostella_vectensis_NV2t007734004.1 NV2t007734004.1, Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1
OG0000001	Drosophila_melanogaster_tr_X2JAW6_X2JAW6_DROME tr|X2JAW6|X2JAW6_DROME Laminin B2_ isoform B OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=4 SV=1, Drosophila_melanogaster_sp_P15215_LAMC1_DROME sp|P15215|LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=2 SV=2	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Drosophila_melanogaster_tr_Q9XZC9_Q9XZC9_DROME tr|Q9XZC9|Q9XZC9_DROME Laminin alpha1_2 OS=Drosophila melanogaster OX=7227 GN=wb PE=2 SV=1, Drosophila_melanogaster_tr_Q8IP51_Q8IP51_DROME tr|Q8IP51|Q8IP51_DROME Wing blister_ isoform B OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1, Drosophila_melanogaster_tr_R9PY40_R9PY40_DROME tr|R9PY40|R9PY40_DROME Wing blister_ isoform G OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1
OG0000002	Drosophila_melanogaster_tr_Q968S4_Q968S4_DROME tr|Q968S4|Q968S4_DROME Putative thrombospondin OS=Drosophila melanogaster OX=7227 GN=Tsp PE=2 SV=1, Drosophila_melanogaster_tr_Q9VM97_Q9VM97_DROME tr|Q9VM97|Q9VM97_DROME Thrombospondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=2, Drosophila_melanogaster_tr_B7Z030_B7Z030_DROME tr|B7Z030|B7Z030_DROME Thrombospondin_ isoform G OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=1	Nematostella_vectensis_NV2t023886001.1 NV2t023886001.1, Nematostella_vectensis_NV2t023886003.1 NV2t023886003.1, Nematostella_vectensis_NV2t023886002.1 NV2t023886002.1
OG0000002	Drosophila_melanogaster_tr_Q7YU67_Q7YU67_DROME tr|Q7YU67|Q7YU67_DROME RE68041p OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1, Drosophila_melanogaster_tr_Q9VTT0_Q9VTT0_DROME tr|Q9VTT0|Q9VTT0_DROME Semaphorin 5c_ isoform A OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=4 SV=3, Drosophila_melanogaster_tr_Q9U631_Q9U631_DROME tr|Q9U631|Q9U631_DROME Semaphorin 5C OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1
OG0000002	Drosophila_melanogaster_tr_A1ZAF5_A1ZAF5_DROME tr|A1ZAF5|A1ZAF5_DROME FI18622p1 OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=2 SV=1, Drosophila_melanogaster_tr_Q29QV5_Q29QV5_DROME tr|Q29QV5|Q29QV5_DROME IP13724p OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4KG38_A0A0B4KG38_DROME tr|A0A0B4KG38|A0A0B4KG38_DROME Semaphorin 2b_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=1 SV=1, Drosophila_melanogaster_sp_Q24323_SEM2A_DROME sp|Q24323|SEM2A_DROME Semaphorin-2A OS=Drosophila melanogaster OX=7227 GN=Sema2a PE=1 SV=2, Drosophila_melanogaster_sp_Q24322_SEM1A_DROME sp|Q24322|SEM1A_DROME Semaphorin-1A OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=3, Drosophila_melanogaster_tr_Q0E8S4_Q0E8S4_DROME tr|Q0E8S4|Q0E8S4_DROME Semaphorin 1a_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=2, Drosophila_melanogaster_tr_M9PCL7_M9PCL7_DROME tr|M9PCL7|M9PCL7_DROME Semaphorin 1a_ isoform G OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PFA5_M9PFA5_DROME tr|M9PFA5|M9PFA5_DROME Semaphorin 1a_ isoform H OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PB77_M9PB77_DROME tr|M9PB77|M9PB77_DROME Semaphorin 1a_ isoform I OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9MRI2_M9MRI2_DROME tr|M9MRI2|M9MRI2_DROME Semaphorin 1a_ isoform F OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_Q7KK54_Q7KK54_DROME tr|Q7KK54|Q7KK54_DROME MIP07328p OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=1 SV=1, Drosophila_melanogaster_tr_O44253_O44253_DROME tr|O44253|O44253_DROME Similar to semaphorin-I OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=2 SV=1	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1
