Orthogroup	Insecta_Diptera_Drosophila_melanogaster	Chordata_Vertebrata_Danio_rerio
OG0000000	Drosophila_melanogaster_tr_Q9VF34_Q9VF34_DROME tr|Q9VF34|Q9VF34_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=FBpp0082632 PE=4 SV=2	Danio_rerio_tr_E9QHI1_E9QHI1_DANRE tr|E9QHI1|E9QHI1_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_F1QYE2_F1QYE2_DANRE tr|F1QYE2|F1QYE2_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_Q7T3T6_Q7T3T6_DANRE tr|Q7T3T6|Q7T3T6_DANRE Tenascin-R OS=Danio rerio OX=7955 GN=tnr PE=1 SV=1, Danio_rerio_tr_B0S6K6_B0S6K6_DANRE tr|B0S6K6|B0S6K6_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1, Danio_rerio_tr_F1QSR3_F1QSR3_DANRE tr|F1QSR3|F1QSR3_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tenw PE=1 SV=2, Danio_rerio_tr_B0S6K5_B0S6K5_DANRE tr|B0S6K5|B0S6K5_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1
OG0000000	Drosophila_melanogaster_tr_Q9VX04_Q9VX04_DROME tr|Q9VX04|Q9VX04_DROME LP06940p OS=Drosophila melanogaster OX=7227 GN=FBpp0074269 PE=2 SV=2, Drosophila_melanogaster_tr_Q9W302_Q9W302_DROME tr|Q9W302|Q9W302_DROME GH05177p OS=Drosophila melanogaster OX=7227 GN=AAF46535 PE=2 SV=2, Drosophila_melanogaster_tr_M9PHH5_M9PHH5_DROME tr|M9PHH5|M9PHH5_DROME Uncharacterized protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=FBpp0071364 PE=4 SV=1, Drosophila_melanogaster_tr_Q8MR72_Q8MR72_DROME tr|Q8MR72|Q8MR72_DROME GH01991p OS=Drosophila melanogaster OX=7227 GN=AAF46535 PE=2 SV=1, Drosophila_melanogaster_tr_Q9W301_Q9W301_DROME tr|Q9W301|Q9W301_DROME GH12692p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG1889 PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRM2_Q8IRM2_DROME tr|Q8IRM2|Q8IRM2_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=AAN09619 PE=4 SV=2, Drosophila_melanogaster_tr_A1Z7G6_A1Z7G6_DROME tr|A1Z7G6|A1Z7G6_DROME Fibrinogen C-terminal domain-containing protein _Fragment_ OS=Drosophila melanogaster OX=7227 GN=AAF59068 PE=4 SV=2, Drosophila_melanogaster_tr_Q95S38_Q95S38_DROME tr|Q95S38|Q95S38_DROME GM10015p OS=Drosophila melanogaster OX=7227 GN=CG10359 PE=2 SV=1, Drosophila_melanogaster_tr_B7Z0B3_B7Z0B3_DROME tr|B7Z0B3|B7Z0B3_DROME Uncharacterized protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=AAF47782 PE=1 SV=1, Drosophila_melanogaster_tr_Q9VZN7_Q9VZN7_DROME tr|Q9VZN7|Q9VZN7_DROME RE57309p OS=Drosophila melanogaster OX=7227 GN=CG10359 PE=2 SV=2, Drosophila_melanogaster_tr_B7Z0B2_B7Z0B2_DROME tr|B7Z0B2|B7Z0B2_DROME Uncharacterized protein_ isoform E OS=Drosophila melanogaster OX=7227 GN=AAF47782 PE=1 SV=1	Danio_rerio_tr_B8A5L6_B8A5L6_DANRE tr|B8A5L6|B8A5L6_DANRE Fibrinogen alpha chain OS=Danio rerio OX=7955 GN=sb_cb892 PE=1 SV=1, Danio_rerio_tr_Q6NYE1_Q6NYE1_DANRE tr|Q6NYE1|Q6NYE1_DANRE Fibrinogen beta chain OS=Danio rerio OX=7955 GN=wu_fa55c11 PE=1 SV=1, Danio_rerio_tr_Q7ZVG7_Q7ZVG7_DANRE tr|Q7ZVG7|Q7ZVG7_DANRE Fgg protein OS=Danio rerio OX=7955 GN=fb60h05 PE=1 SV=1, Danio_rerio_tr_A0A140LG86_A0A140LG86_DANRE tr|A0A140LG86|A0A140LG86_DANRE Fibrinogen-like 1 OS=Danio rerio OX=7955 GN=fgl1 PE=4 SV=1, Danio_rerio_tr_Q4LES0_Q4LES0_DANRE tr|Q4LES0|Q4LES0_DANRE Angiopoietin-like 2a OS=Danio rerio OX=7955 GN=angptl2b PE=2 SV=1, Danio_rerio_tr_B0UXH5_B0UXH5_DANRE tr|B0UXH5|B0UXH5_DANRE Angiopoietin-like 2b OS=Danio rerio OX=7955 GN=angptl2 PE=4 SV=1, Danio_rerio_tr_Q5KQT9_Q5KQT9_DANRE tr|Q5KQT9|Q5KQT9_DANRE Angiopoietin-like 2 OS=Danio rerio OX=7955 GN=Angptl2 PE=2 SV=1, Danio_rerio_tr_Q7SXV7_Q7SXV7_DANRE tr|Q7SXV7|Q7SXV7_DANRE Wu_fi40b08 protein _Fragment_ OS=Danio rerio OX=7955 GN=angptl1b PE=2 SV=1, Danio_rerio_tr_Q5KQU0_Q5KQU0_DANRE tr|Q5KQU0|Q5KQU0_DANRE Angiopoietin-like 1 OS=Danio rerio OX=7955 GN=Angptl1 PE=2 SV=1, Danio_rerio_tr_Q5RH53_Q5RH53_DANRE tr|Q5RH53|Q5RH53_DANRE Angiopoietin-like 1a OS=Danio rerio OX=7955 GN=angptl1 PE=4 SV=1, Danio_rerio_tr_Q5KQT8_Q5KQT8_DANRE tr|Q5KQT8|Q5KQT8_DANRE Angiopoietin-like 6 OS=Danio rerio OX=7955 GN=Angptl6 PE=2 SV=1, Danio_rerio_tr_F1R2V2_F1R2V2_DANRE tr|F1R2V2|F1R2V2_DANRE Angiopoietin-like 6 OS=Danio rerio OX=7955 GN=cb242 PE=4 SV=1, Danio_rerio_tr_Q5XJQ0_Q5XJQ0_DANRE tr|Q5XJQ0|Q5XJQ0_DANRE Angiopoietin-like 7 OS=Danio rerio OX=7955 GN=zgc_101687 PE=2 SV=1
OG0000000	Drosophila_melanogaster_tr_E8Z4Z6_E8Z4Z6_DROME tr|E8Z4Z6|E8Z4Z6_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=4 SV=1, Drosophila_melanogaster_tr_Q5BIB8_Q5BIB8_DROME tr|Q5BIB8|Q5BIB8_DROME RE19569p OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=2 SV=1, Drosophila_melanogaster_tr_A8QHX1_A8QHX1_DROME tr|A8QHX1|A8QHX1_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=Dmel\CG41520 PE=4 SV=1	Danio_rerio_tr_X1WC45_X1WC45_DANRE tr|X1WC45|X1WC45_DANRE Angiopoietin 4 OS=Danio rerio OX=7955 GN=angpt4 PE=4 SV=1, Danio_rerio_tr_I6Z0F9_I6Z0F9_DANRE tr|I6Z0F9|I6Z0F9_DANRE Angiopoietin 2-like protein OS=Danio rerio OX=7955 GN=ang2-1 PE=2 SV=1, Danio_rerio_tr_Q90Z19_Q90Z19_DANRE tr|Q90Z19|Q90Z19_DANRE Angiopoietin-1 OS=Danio rerio OX=7955 GN=ang1 PE=2 SV=1, Danio_rerio_tr_Q90Z18_Q90Z18_DANRE tr|Q90Z18|Q90Z18_DANRE Angiopoietin-2 OS=Danio rerio OX=7955 GN=ang2 PE=2 SV=1
OG0000000	Drosophila_melanogaster_sp_P21520_SCA_DROME sp|P21520|SCA_DROME Protein scabrous OS=Drosophila melanogaster OX=7227 GN=sca PE=2 SV=3	Danio_rerio_tr_A0A8N7UZN6_A0A8N7UZN6_DANRE tr|A0A8N7UZN6|A0A8N7UZN6_DANRE Angiopoietin-like 3 OS=Danio rerio OX=7955 GN=fb60e11 PE=4 SV=1
OG0000001	Drosophila_melanogaster_sp_P11046_LAMB1_DROME sp|P11046|LAMB1_DROME Laminin subunit beta-1 OS=Drosophila melanogaster OX=7227 GN=LanB1 PE=1 SV=4	Danio_rerio_sp_Q8JHV6_LAMB4_DANRE sp|Q8JHV6|LAMB4_DANRE Laminin subunit beta-4 OS=Danio rerio OX=7955 GN=lamb4 PE=2 SV=1, Danio_rerio_tr_A0A8M9PDX2_A0A8M9PDX2_DANRE tr|A0A8M9PDX2|A0A8M9PDX2_DANRE Laminin subunit beta-1 isoform X1 OS=Danio rerio OX=7955 GN=lamb2l PE=1 SV=1, Danio_rerio_tr_B7ZDA6_B7ZDA6_DANRE tr|B7ZDA6|B7ZDA6_DANRE Laminin subunit beta-2 precursor OS=Danio rerio OX=7955 GN=si_dkey-32e6.2 PE=1 SV=1, Danio_rerio_tr_F1REL9_F1REL9_DANRE tr|F1REL9|F1REL9_DANRE Laminin_ beta 1b OS=Danio rerio OX=7955 GN=si_dkey-183c16.5 PE=4 SV=1, Danio_rerio_tr_Q8JHV7_Q8JHV7_DANRE tr|Q8JHV7|Q8JHV7_DANRE Laminin beta 1 OS=Danio rerio OX=7955 GN=lamb1 PE=1 SV=1
OG0000001	Drosophila_melanogaster_sp_Q24567_NETA_DROME sp|Q24567|NETA_DROME Netrin-A OS=Drosophila melanogaster OX=7227 GN=NetA PE=2 SV=2, Drosophila_melanogaster_tr_X2JEZ9_X2JEZ9_DROME tr|X2JEZ9|X2JEZ9_DROME Netrin-A_ isoform C OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1, Drosophila_melanogaster_tr_M9NF48_M9NF48_DROME tr|M9NF48|M9NF48_DROME Netrin-A_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1	Danio_rerio_tr_F1QUK5_F1QUK5_DANRE tr|F1QUK5|F1QUK5_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=net1 PE=4 SV=1, Danio_rerio_tr_O42203_O42203_DANRE tr|O42203|O42203_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=net1 PE=2 SV=1, Danio_rerio_tr_O42140_O42140_DANRE tr|O42140|O42140_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=ntn2 PE=2 SV=1
OG0000001	Drosophila_melanogaster_tr_X2JAW6_X2JAW6_DROME tr|X2JAW6|X2JAW6_DROME Laminin B2_ isoform B OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=4 SV=1, Drosophila_melanogaster_sp_P15215_LAMC1_DROME sp|P15215|LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=2 SV=2	Danio_rerio_sp_Q1LVF0_LAMC1_DANRE sp|Q1LVF0|LAMC1_DANRE Laminin subunit gamma-1 OS=Danio rerio OX=7955 GN=lamc1 PE=2 SV=2
OG0000001	Drosophila_melanogaster_tr_Q9XZC9_Q9XZC9_DROME tr|Q9XZC9|Q9XZC9_DROME Laminin alpha1_2 OS=Drosophila melanogaster OX=7227 GN=wb PE=2 SV=1, Drosophila_melanogaster_tr_Q8IP51_Q8IP51_DROME tr|Q8IP51|Q8IP51_DROME Wing blister_ isoform B OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1, Drosophila_melanogaster_tr_R9PY40_R9PY40_DROME tr|R9PY40|R9PY40_DROME Wing blister_ isoform G OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1	Danio_rerio_tr_G8IHU0_G8IHU0_DANRE tr|G8IHU0|G8IHU0_DANRE Laminin alpha 2 chain short splice variant OS=Danio rerio OX=7955 GN=Lama2 PE=1 SV=1
OG0000002	Drosophila_melanogaster_tr_Q968S4_Q968S4_DROME tr|Q968S4|Q968S4_DROME Putative thrombospondin OS=Drosophila melanogaster OX=7227 GN=Tsp PE=2 SV=1, Drosophila_melanogaster_tr_Q9VM97_Q9VM97_DROME tr|Q9VM97|Q9VM97_DROME Thrombospondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=2, Drosophila_melanogaster_tr_B7Z030_B7Z030_DROME tr|B7Z030|B7Z030_DROME Thrombospondin_ isoform G OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=1	Danio_rerio_tr_A0A0G2KDJ5_A0A0G2KDJ5_DANRE tr|A0A0G2KDJ5|A0A0G2KDJ5_DANRE Cartilage oligomeric matrix protein OS=Danio rerio OX=7955 GN=Tsp-4b PE=1 SV=1, Danio_rerio_sp_Q1L8P7_TSP3B_DANRE sp|Q1L8P7|TSP3B_DANRE Thrombospondin-3b OS=Danio rerio OX=7955 GN=thbs3b PE=3 SV=1, Danio_rerio_sp_Q8JHW2_TSP3A_DANRE sp|Q8JHW2|TSP3A_DANRE Thrombospondin-3a OS=Danio rerio OX=7955 GN=thbs3a PE=2 SV=2, Danio_rerio_tr_A0A0R4I9N1_A0A0R4I9N1_DANRE tr|A0A0R4I9N1|A0A0R4I9N1_DANRE Thrombospondin 4a OS=Danio rerio OX=7955 GN=zgc_175276 PE=3 SV=1, Danio_rerio_sp_Q8JGW0_TSP4B_DANRE sp|Q8JGW0|TSP4B_DANRE Thrombospondin-4-B OS=Danio rerio OX=7955 GN=thbs4b PE=2 SV=1
OG0000002	Drosophila_melanogaster_tr_Q7YU67_Q7YU67_DROME tr|Q7YU67|Q7YU67_DROME RE68041p OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1, Drosophila_melanogaster_tr_Q9VTT0_Q9VTT0_DROME tr|Q9VTT0|Q9VTT0_DROME Semaphorin 5c_ isoform A OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=4 SV=3, Drosophila_melanogaster_tr_Q9U631_Q9U631_DROME tr|Q9U631|Q9U631_DROME Semaphorin 5C OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1	Danio_rerio_tr_A0A0R4IMM9_A0A0R4IMM9_DANRE tr|A0A0R4IMM9|A0A0R4IMM9_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=1, Danio_rerio_tr_F1R9L1_F1R9L1_DANRE tr|F1R9L1|F1R9L1_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=3, Danio_rerio_tr_F1QPQ6_F1QPQ6_DANRE tr|F1QPQ6|F1QPQ6_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Ba OS=Danio rerio OX=7955 GN=sema5ba PE=4 SV=1, Danio_rerio_tr_A0A8M1Q1V7_A0A8M1Q1V7_DANRE tr|A0A8M1Q1V7|A0A8M1Q1V7_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Bb OS=Danio rerio OX=7955 GN=sema5bb PE=4 SV=1
