Orthogroup	Insecta_Diptera_Drosophila_melanogaster	Ctenophora_Nuda_Beroe_ovata
OG0000000	Drosophila_melanogaster_tr_Q9VF34_Q9VF34_DROME tr|Q9VF34|Q9VF34_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=FBpp0082632 PE=4 SV=2	Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1
OG0000001	Drosophila_melanogaster_sp_P11046_LAMB1_DROME sp|P11046|LAMB1_DROME Laminin subunit beta-1 OS=Drosophila melanogaster OX=7227 GN=LanB1 PE=1 SV=4	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1
OG0000001	Drosophila_melanogaster_sp_Q24568_NETB_DROME sp|Q24568|NETB_DROME Netrin-B OS=Drosophila melanogaster OX=7227 GN=NetB PE=1 SV=1, Drosophila_melanogaster_tr_E1JJP7_E1JJP7_DROME tr|E1JJP7|E1JJP7_DROME Netrin-B_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetB PE=4 SV=1, Drosophila_melanogaster_tr_M9PH47_M9PH47_DROME tr|M9PH47|M9PH47_DROME Netrin-B_ isoform G OS=Drosophila melanogaster OX=7227 GN=NetB PE=4 SV=1, Drosophila_melanogaster_tr_Q95SP5_Q95SP5_DROME tr|Q95SP5|Q95SP5_DROME GH10173p OS=Drosophila melanogaster OX=7227 GN=NetB PE=2 SV=1	Beroe_ovata_Bova1_4.0078.g20.t1 Bova1_4.0078.g20.t1
OG0000001	Drosophila_melanogaster_sp_Q24567_NETA_DROME sp|Q24567|NETA_DROME Netrin-A OS=Drosophila melanogaster OX=7227 GN=NetA PE=2 SV=2, Drosophila_melanogaster_tr_X2JEZ9_X2JEZ9_DROME tr|X2JEZ9|X2JEZ9_DROME Netrin-A_ isoform C OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1, Drosophila_melanogaster_tr_M9NF48_M9NF48_DROME tr|M9NF48|M9NF48_DROME Netrin-A_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1, Drosophila_melanogaster_tr_X2JAW6_X2JAW6_DROME tr|X2JAW6|X2JAW6_DROME Laminin B2_ isoform B OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=4 SV=1, Drosophila_melanogaster_sp_P15215_LAMC1_DROME sp|P15215|LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=2 SV=2	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1
OG0000001	Drosophila_melanogaster_tr_Q9XZC9_Q9XZC9_DROME tr|Q9XZC9|Q9XZC9_DROME Laminin alpha1_2 OS=Drosophila melanogaster OX=7227 GN=wb PE=2 SV=1, Drosophila_melanogaster_tr_Q8IP51_Q8IP51_DROME tr|Q8IP51|Q8IP51_DROME Wing blister_ isoform B OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1, Drosophila_melanogaster_tr_R9PY40_R9PY40_DROME tr|R9PY40|R9PY40_DROME Wing blister_ isoform G OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1
OG0000002	Drosophila_melanogaster_tr_Q9VGJ0_Q9VGJ0_DROME tr|Q9VGJ0|Q9VGJ0_DROME Uncharacterized protein_ isoform A OS=Drosophila melanogaster OX=7227 GN=Dmel\CG12594 PE=4 SV=3	Beroe_ovata_Bova1_4.0556.g1.t1 Bova1_4.0556.g1.t1, Beroe_ovata_Bova1_4.0059.g49.t3 Bova1_4.0059.g49.t3, Beroe_ovata_Bova1_4.0059.g49.t1 Bova1_4.0059.g49.t1, Beroe_ovata_Bova1_4.0059.g49.t2 Bova1_4.0059.g49.t2, Beroe_ovata_Bova1_4.0024.g32.t1 Bova1_4.0024.g32.t1
OG0000003	Drosophila_melanogaster_tr_Q9W468_Q9W468_DROME tr|Q9W468|Q9W468_DROME GH28601p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG15765 PE=2 SV=2	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1
OG0000007	Drosophila_melanogaster_tr_M9PHP7_M9PHP7_DROME tr|M9PHP7|M9PHP7_DROME Faulty attraction_ isoform F OS=Drosophila melanogaster OX=7227 GN=frac PE=4 SV=1, Drosophila_melanogaster_tr_Q9VS89_Q9VS89_DROME tr|Q9VS89|Q9VS89_DROME FI18763p1 OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=4, Drosophila_melanogaster_tr_Q8MQJ4_Q8MQJ4_DROME tr|Q8MQJ4|Q8MQJ4_DROME LD32019p _Fragment_ OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=1	Beroe_ovata_Bova1_4.0498.g2.t1 Bova1_4.0498.g2.t1, Beroe_ovata_Bova1_4.0498.g2.t2 Bova1_4.0498.g2.t2, Beroe_ovata_Bova1_4.0498.g3.t1 Bova1_4.0498.g3.t1
OG0000009	Drosophila_melanogaster_tr_Q49II5_Q49II5_DROME tr|Q49II5|Q49II5_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ1_Q49IJ1_DROME tr|Q49IJ1|Q49IJ1_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ0_Q49IJ0_DROME tr|Q49IJ0|Q49IJ0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II8_Q49II8_DROME tr|Q49II8|Q49II8_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II0_Q49II0_DROME tr|Q49II0|Q49II0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II7_Q49II7_DROME tr|Q49II7|Q49II7_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IK4_Q49IK4_DROME tr|Q49IK4|Q49IK4_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_sp_Q9VC47_TOK_DROME sp|Q9VC47|TOK_DROME Protein tolkin OS=Drosophila melanogaster OX=7227 GN=tok PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU36_Q7YU36_DROME tr|Q7YU36|Q7YU36_DROME Metalloendopeptidase OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=1, Drosophila_melanogaster_sp_P25723_TLD_DROME sp|P25723|TLD_DROME Dorsal-ventral patterning protein tolloid OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=2	Beroe_ovata_Bova1_4.0295.g20.t1 Bova1_4.0295.g20.t1, Beroe_ovata_Bova1_4.0295.g17.t1 Bova1_4.0295.g17.t1, Beroe_ovata_Bova1_4.0063.g33.t1 Bova1_4.0063.g33.t1
OG0000010	Drosophila_melanogaster_sp_A0A1F4_EYS_DROME sp|A0A1F4|EYS_DROME Protein eyes shut OS=Drosophila melanogaster OX=7227 GN=eys PE=1 SV=1, Drosophila_melanogaster_tr_M9PBU9_M9PBU9_DROME tr|M9PBU9|M9PBU9_DROME Eyes shut_ isoform E OS=Drosophila melanogaster OX=7227 GN=eys PE=4 SV=2, Drosophila_melanogaster_tr_A1ZA87_A1ZA87_DROME tr|A1ZA87|A1ZA87_DROME SP2353_ isoform A OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=4 SV=1, Drosophila_melanogaster_tr_Q9NGV2_Q9NGV2_DROME tr|Q9NGV2|Q9NGV2_DROME SP2353 OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=2 SV=1	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1
