Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000000	Hydra_vulgaris_Sc4wPfr_570.g25944.t1 Sc4wPfr_570.g25944.t1	Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1	Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_307.g9631.t1 Sc4wPfr_307.g9631.t1, Hydra_vulgaris_Sc4wPfr_1301.g29099.t1 Sc4wPfr_1301.g29099.t1	Aurelia_aurita_Seg447.8 Seg447.8 transcript_id=Seg447.8_GoldUCD_mRNA.D3Y31 product="Fibronectin type III domain-containing protein" protein_id=Seg447.8_GoldUCD_D3Y31 partial=true
OG0000001	Hydra_vulgaris_Sc4wPfr_132.g22677.t2 Sc4wPfr_132.g22677.t2, Hydra_vulgaris_Sc4wPfr_132.g22677.t1 Sc4wPfr_132.g22677.t1	Aurelia_aurita_Seg918.1 Seg918.1 transcript_id=Seg918.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick" protein_id=Seg918.1_GoldUCD_D3Y31 partial=true
OG0000001	Hydra_vulgaris_Sc4wPfr_305.g4599.t1 Sc4wPfr_305.g4599.t1	Aurelia_aurita_Seg436.1 Seg436.1 transcript_id=Seg436.1_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg436.1_GoldUCD_D3Y31 partial=true
OG0000001	Hydra_vulgaris_Sc4wPfr_304.2.g12749.t1 Sc4wPfr_304.2.g12749.t1	Aurelia_aurita_Seg420.2 Seg420.2 transcript_id=Seg420.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg420.2_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_435.1.g6986.t1 Sc4wPfr_435.1.g6986.t1	Aurelia_aurita_Seg2740.1 Seg2740.1 transcript_id=Seg2740.1_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like" protein_id=Seg2740.1_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_588.g23919.t1 Sc4wPfr_588.g23919.t1	Aurelia_aurita_Seg2178.5 Seg2178.5 transcript_id=Seg2178.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg2178.5_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_174.g11799.t2 Sc4wPfr_174.g11799.t2	Aurelia_aurita_Seg95.8 Seg95.8 transcript_id=Seg95.8_GoldUCD_mRNA.D3Y31 product="Potassium voltage-gated channel protein Shaker" protein_id=Seg95.8_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_1272.g4998.t1 Sc4wPfr_1272.g4998.t1, Hydra_vulgaris_Sc4wPfr_673.1.g28291.t1 Sc4wPfr_673.1.g28291.t1, Hydra_vulgaris_Sc4wPfr_1272.1.g32120.t1 Sc4wPfr_1272.1.g32120.t1, Hydra_vulgaris_Sc4wPfr_1272.1.g32121.t1 Sc4wPfr_1272.1.g32121.t1, Hydra_vulgaris_Sc4wPfr_673.1.g28294.t1 Sc4wPfr_673.1.g28294.t1, Hydra_vulgaris_Sc4wPfr_356.g7167.t1 Sc4wPfr_356.g7167.t1, Hydra_vulgaris_Sc4wPfr_356.g7178.t1 Sc4wPfr_356.g7178.t1, Hydra_vulgaris_Sc4wPfr_1153.g15524.t1 Sc4wPfr_1153.g15524.t1	Aurelia_aurita_Seg1942.11 Seg1942.11 transcript_id=Seg1942.11_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg1942.11_GoldUCD_D3Y31
