Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Anthozoa_Porites_asteroides
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16807.t1 Sc4wPfr_641.g16807.t1	Porites_asteroides_isotig01315 isotig01315 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1263 numContigs=2, Porites_asteroides_isotig01314 isotig01314 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1288 numContigs=2
OG0000001	Hydra_vulgaris_Sc4wPfr_307.g9631.t1 Sc4wPfr_307.g9631.t1, Hydra_vulgaris_Sc4wPfr_1301.g29099.t1 Sc4wPfr_1301.g29099.t1	Porites_asteroides_isotig07204 isotig07204 extracted_CDS GOMatch=B7Q1Z8 GOTerms=GO_0016740_GO_0050254 Gene=Down_syndrome_cell_adhesion_molecule-like_protein__Fragment__ Match_Acc=Q8R4B1 gene=isogroup05472 length=837 numContigs=1, Porites_asteroides_isotig04719 isotig04719 extracted_CDS Gene=Camel_ Match_Acc=C6ESH0 gene=isogroup02987 length=1200 numContigs=1
OG0000001	Hydra_vulgaris_Sc4wPfr_305.g4599.t1 Sc4wPfr_305.g4599.t1	Porites_asteroides_isotig03262 isotig03262 extracted_CDS GOMatch=Q3S3D7 GOTerms=GO_0016021 Gene=NEO1_protein_ Match_Acc=B7ZKN0 gene=isogroup01530 length=2269 numContigs=1
OG0000001	Hydra_vulgaris_Sc4wPfr_555.g27157.t1 Sc4wPfr_555.g27157.t1, Hydra_vulgaris_Sc4wPfr_304.2.g12749.t1 Sc4wPfr_304.2.g12749.t1	Porites_asteroides_isotig10906 isotig10906 extracted_CDS Gene=Contactin-3_ Match_Acc=Q9P232 gene=isogroup09174 length=628 numContigs=1
OG0000001	Hydra_vulgaris_Sc4wPfr_435.1.g6986.t1 Sc4wPfr_435.1.g6986.t1	Porites_asteroides_isotig05454 isotig05454 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_tyrosine_phosphatase_type_r2a__putative_ Match_Acc=B7Q2Q7 gene=isogroup03722 length=1059 numContigs=1, Porites_asteroides_isotig03686 isotig03686 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor-type_tyrosine-protein_phosphatase_F_ Match_Acc=A4IFW2 gene=isogroup01954 length=1596 numContigs=1
OG0000001	Hydra_vulgaris_Sc4wPfr_2145.g14629.t1 Sc4wPfr_2145.g14629.t1, Hydra_vulgaris_Sc4wPfr_1989.g6892.t1 Sc4wPfr_1989.g6892.t1	Porites_asteroides_GCKDGN101BOW3Y GCKDGN101BOW3Y extracted_CDS GOMatch=B7Q1H6 GOTerms=GO_0004714_GO_0007155_GO_0016740_GO_0031012 Gene=Usherin_ Match_Acc=Q2QI47 length=478 region=1 run=R_2010_02_19_08_49_25_ xy=0576_3084
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1	Porites_asteroides_isotig15249 isotig15249 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup13517 length=473 numContigs=1, Porites_asteroides_isotig27586 isotig27586 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=Q2QI47 gene=isogroup25854 length=284 numContigs=1, Porites_asteroides_isotig20126 isotig20126 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup18394 length=392 numContigs=1, Porites_asteroides_isotig05184 isotig05184 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup03452 length=1104 numContigs=1
OG0000001	Hydra_vulgaris_Sc4wPfr_172.1.g1573.t1 Sc4wPfr_172.1.g1573.t1, Hydra_vulgaris_Sc4wPfr_172.2.g23178.t1 Sc4wPfr_172.2.g23178.t1	Porites_asteroides_GCKDGN103HIQDM GCKDGN103HIQDM extracted_CDS GOMatch=B3S1D6 GOTerms=GO_0004725_GO_0006470_GO_0035335 Gene=Receptor_protein_tyrosine_phosphatase_delta_ Match_Acc=Q9IAJ1 length=290 region=3 run=R_2010_02_19_08_49_25_ xy=2966_2680
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.1.g1468.t1 Sc4wPfr_1127.1.g1468.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1468.t2 Sc4wPfr_1127.1.g1468.t2	Porites_asteroides_isotig17881 isotig17881 extracted_CDS GOMatch=A7SYW2 GOTerms=GO_0007155_GO_0031012 gene=isogroup16149 length=423 numContigs=1
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1
