Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1	Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Hydra_vulgaris_Sc4wPfr_90.g1177.t1 Sc4wPfr_90.g1177.t1, Hydra_vulgaris_Sc4wPfr_90.g1177.t2 Sc4wPfr_90.g1177.t2, Hydra_vulgaris_Sc4wPfr_90.g1176.t1 Sc4wPfr_90.g1176.t1	Morbakka_virulenta_scaffold227.g30.t1 scaffold227.g30.t1
OG0000001	Hydra_vulgaris_Sc4wPfr_307.g9631.t1 Sc4wPfr_307.g9631.t1, Hydra_vulgaris_Sc4wPfr_1301.g29099.t1 Sc4wPfr_1301.g29099.t1	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1
OG0000001	Hydra_vulgaris_Sc4wPfr_132.g22677.t2 Sc4wPfr_132.g22677.t2, Hydra_vulgaris_Sc4wPfr_132.g22677.t1 Sc4wPfr_132.g22677.t1	Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4
OG0000001	Hydra_vulgaris_Sc4wPfr_305.g4599.t1 Sc4wPfr_305.g4599.t1	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1
OG0000001	Hydra_vulgaris_Sc4wPfr_304.2.g12749.t1 Sc4wPfr_304.2.g12749.t1	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1
OG0000001	Hydra_vulgaris_Sc4wPfr_435.1.g6986.t1 Sc4wPfr_435.1.g6986.t1	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1
OG0000001	Hydra_vulgaris_Sc4wPfr_27.g12239.t1 Sc4wPfr_27.g12239.t1, Hydra_vulgaris_Sc4wPfr_27.g12259.t1 Sc4wPfr_27.g12259.t1, Hydra_vulgaris_Sc4wPfr_27.g12265.t1 Sc4wPfr_27.g12265.t1, Hydra_vulgaris_Sc4wPfr_62.g4397.t1 Sc4wPfr_62.g4397.t1, Hydra_vulgaris_Sc4wPfr_62.g4390.t1 Sc4wPfr_62.g4390.t1	Morbakka_virulenta_scaffold186.g16.t1 scaffold186.g16.t1
OG0000001	Hydra_vulgaris_Sc4wPfr_390.g5600.t1 Sc4wPfr_390.g5600.t1, Hydra_vulgaris_Sc4wPfr_390.g5609.t1 Sc4wPfr_390.g5609.t1	Morbakka_virulenta_scaffold659.g1.t1 scaffold659.g1.t1
OG0000001	Hydra_vulgaris_Sc4wPfr_588.g23919.t1 Sc4wPfr_588.g23919.t1	Morbakka_virulenta_scaffold23.g77.t2 scaffold23.g77.t2, Morbakka_virulenta_scaffold23.g77.t1 scaffold23.g77.t1
