Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Hydra_vulgaris_Sc4wPfr_570.g25944.t1 Sc4wPfr_570.g25944.t1	Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_90.g1176.t1 Sc4wPfr_90.g1176.t1	Clytia_hemispherica_TCONS_00046695-protein TCONS_00046695-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_307.g9631.t1 Sc4wPfr_307.g9631.t1	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_1301.g29099.t1 Sc4wPfr_1301.g29099.t1	Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_132.g22677.t2 Sc4wPfr_132.g22677.t2, Hydra_vulgaris_Sc4wPfr_132.g22677.t1 Sc4wPfr_132.g22677.t1	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_305.g4599.t1 Sc4wPfr_305.g4599.t1	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_304.2.g12749.t1 Sc4wPfr_304.2.g12749.t1	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_435.1.g6986.t1 Sc4wPfr_435.1.g6986.t1	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_390.g5600.t1 Sc4wPfr_390.g5600.t1, Hydra_vulgaris_Sc4wPfr_390.g5609.t1 Sc4wPfr_390.g5609.t1	Clytia_hemispherica_TCONS_00020975-protein TCONS_00020975-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_588.g23919.t1 Sc4wPfr_588.g23919.t1	Clytia_hemispherica_TCONS_00026153-protein TCONS_00026153-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_174.g11799.t2 Sc4wPfr_174.g11799.t2	Clytia_hemispherica_TCONS_00003461-protein TCONS_00003461-protein, Clytia_hemispherica_TCONS_00071725-protein TCONS_00071725-protein
