HOG	OG	Gene Tree Parent Clade	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
N7.HOG0000000	OG0000000	n151																							Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1									
N7.HOG0000001	OG0000000	n161	Monosiga_brevicollisXP_001746832.1 XP_001746832.1 uncharacterized protein MONBRDRAFT_37540 [Monosiga brevicollis MX1]																															
N7.HOG0000002	OG0000001	n6	Monosiga_brevicollisXP_001743515.1 XP_001743515.1 uncharacterized protein MONBRDRAFT_6041 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004997206.1 XP_004997206.1 uncharacterized protein PTSG_11695 [Salpingoeca rosetta]																														
N7.HOG0000003	OG0000001	n20																							Beroe_ovata_Bova1_4.0354.g11.t1 Bova1_4.0354.g11.t1, Beroe_ovata_Bova1_4.0491.g2.t1 Bova1_4.0491.g2.t1	Mnemiopsis_leidyi_ML035910a ML035910a	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_							
N7.HOG0000004	OG0000001	n40																							Beroe_ovata_Bova1_4.0131.g19.t1 Bova1_4.0131.g19.t1, Beroe_ovata_Bova1_4.0024.g21.t1 Bova1_4.0024.g21.t1, Beroe_ovata_Bova1_4.0024.g19.t1 Bova1_4.0024.g19.t1, Beroe_ovata_Bova1_4.0024.g19.t2 Bova1_4.0024.g19.t2	Mnemiopsis_leidyi_ML101022a ML101022a	Pleurobrachia_bachei_sb_2658101_ sb_2658101_, Pleurobrachia_bachei_sb_2654668_ sb_2654668_							
N7.HOG0000005	OG0000001	n48																							Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1	Mnemiopsis_leidyi_ML17591a ML17591a	Pleurobrachia_bachei_sb_2652422_ sb_2652422_							
N7.HOG0000006	OG0000001	n114																									Pleurobrachia_bachei_sb_2667052_ sb_2667052_, Pleurobrachia_bachei_sb_2641560_ sb_2641560_							
N7.HOG0000007	OG0000001	n128																							Beroe_ovata_Bova1_4.0158.g6.t2 Bova1_4.0158.g6.t2, Beroe_ovata_Bova1_4.0158.g6.t1 Bova1_4.0158.g6.t1, Beroe_ovata_Bova1_4.0158.g6.t3 Bova1_4.0158.g6.t3	Mnemiopsis_leidyi_ML21866a ML21866a	Pleurobrachia_bachei_sb_2652296_ sb_2652296_, Pleurobrachia_bachei_sb_2640676_ sb_2640676_							
N7.HOG0000008	OG0000001	n137		Salpingoeca_rosetta_XP_004991651.1 XP_004991651.1 uncharacterized protein PTSG_07846 [Salpingoeca rosetta]																														
N7.HOG0000009	OG0000001	n271																							Beroe_ovata_Bova1_4.0314.g2.t1 Bova1_4.0314.g2.t1	Mnemiopsis_leidyi_ML22257a ML22257a	Pleurobrachia_bachei_sb_2647545_ sb_2647545_							
N7.HOG0000010	OG0000001	n274	Monosiga_brevicollisXP_001745787.1 XP_001745787.1 uncharacterized protein MONBRDRAFT_25420 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001742046.1 XP_001742046.1 uncharacterized protein MONBRDRAFT_21824 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004989636.1 XP_004989636.1 uncharacterized protein PTSG_09380 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997142.1 XP_004997142.1 uncharacterized protein PTSG_01173 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991252.1 XP_004991252.1 uncharacterized protein PTSG_08227 [Salpingoeca rosetta]																														
N7.HOG0000011	OG0000001	n323																									Pleurobrachia_bachei_sb_2664824_ sb_2664824_, Pleurobrachia_bachei_sb_2643298_ sb_2643298_							
N7.HOG0000012	OG0000001	n342		Salpingoeca_rosetta_XP_004988333.1 XP_004988333.1 proprotein convertase subtilisin_kexin type 5 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988175.1 XP_004988175.1 uncharacterized protein PTSG_13079 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993910.1 XP_004993910.1 uncharacterized protein PTSG_12296 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988782.1 XP_004988782.1 uncharacterized protein PTSG_13098_ partial [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989183.1 XP_004989183.1 uncharacterized protein PTSG_09826 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991958.1 XP_004991958.1 uncharacterized protein PTSG_06573 [Salpingoeca rosetta]																														
N7.HOG0000013	OG0000001	n631																							Beroe_ovata_Bova1_4.0014.g131.t1 Bova1_4.0014.g131.t1		Pleurobrachia_bachei_sb_2644342_ sb_2644342_, Pleurobrachia_bachei_sb_2646740_ sb_2646740_							
N7.HOG0000014	OG0000001	n678	Monosiga_brevicollisXP_001744808.1 XP_001744808.1 uncharacterized protein MONBRDRAFT_31954_ partial [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004994797.1 XP_004994797.1 uncharacterized protein PTSG_12094 [Salpingoeca rosetta]																						Mnemiopsis_leidyi_ML44781a ML44781a	Pleurobrachia_bachei_sb_2648385_ sb_2648385_, Pleurobrachia_bachei_sb_2665366_ sb_2665366_							
N7.HOG0000015	OG0000001	n828		Salpingoeca_rosetta_XP_004992170.1 XP_004992170.1 uncharacterized protein PTSG_06772 [Salpingoeca rosetta]																														
N7.HOG0000016	OG0000001	n864	Monosiga_brevicollisXP_001747329.1 XP_001747329.1 uncharacterized protein MONBRDRAFT_26942 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004990163.1 XP_004990163.1 uncharacterized protein PTSG_12793 [Salpingoeca rosetta]																														
N7.HOG0000017	OG0000001	n866		Salpingoeca_rosetta_XP_004996713.1 XP_004996713.1 laminin alpha 5 chain [Salpingoeca rosetta]																														
N7.HOG0000018	OG0000001	n870		Salpingoeca_rosetta_XP_004989854.1 XP_004989854.1 uncharacterized protein PTSG_09054 [Salpingoeca rosetta]																														
N7.HOG0000019	OG0000001	n895																							Beroe_ovata_Bova1_4.0039.g44.t1 Bova1_4.0039.g44.t1		Pleurobrachia_bachei_sb_2667361_ sb_2667361_							
N7.HOG0000020	OG0000001	n898	Monosiga_brevicollisXP_001744552.1 XP_001744552.1 uncharacterized protein MONBRDRAFT_36570 [Monosiga brevicollis MX1]																															
N7.HOG0000021	OG0000001	n996																							Beroe_ovata_Bova1_4.0393.g3.t1 Bova1_4.0393.g3.t1		Pleurobrachia_bachei_sb_2665142_ sb_2665142_, Pleurobrachia_bachei_sb_2663073_ sb_2663073_, Pleurobrachia_bachei_sb_2658534_ sb_2658534_							
