HOG	OG	Gene Tree Parent Clade	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
N16.HOG0000000	OG0000000	n59																					Aurelia_aurita_Seg2137.5 Seg2137.5 transcript_id=Seg2137.5_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg2137.5_GoldUCD_D3Y31, Aurelia_aurita_Seg5398.1 Seg5398.1 transcript_id=Seg5398.1_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg5398.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1317.9 Seg1317.9 transcript_id=Seg1317.9_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1317.9_GoldUCD_D3Y31, Aurelia_aurita_Seg967.2 Seg967.2 transcript_id=Seg967.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg967.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1772.6 Seg1772.6 transcript_id=Seg1772.6_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg1772.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3795.4 Seg3795.4 transcript_id=Seg3795.4_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg3795.4_GoldUCD_D3Y31 partial=true											
N16.HOG0000001	OG0000000	n73																					Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31											
N16.HOG0000002	OG0000000	n293																					Aurelia_aurita_Seg5415.2 Seg5415.2 transcript_id=Seg5415.2_GoldUCD_mRNA.D3Y31 product="Angiopoietin-related protein 2" protein_id=Seg5415.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1193.1 Seg1193.1 transcript_id=Seg1193.1_GoldUCD_mRNA.D3Y31 product=Tenascin protein_id=Seg1193.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2014.4 Seg2014.4 transcript_id=Seg2014.4_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg2014.4_GoldUCD_D3Y31 partial=true											
N16.HOG0000003	OG0000000	n359																					Aurelia_aurita_Seg5208.1 Seg5208.1 transcript_id=Seg5208.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg5208.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1894.9 Seg1894.9 transcript_id=Seg1894.9_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1894.9_GoldUCD_D3Y31, Aurelia_aurita_Seg3725.2 Seg3725.2 transcript_id=Seg3725.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg3725.2_GoldUCD_D3Y31, Aurelia_aurita_Seg468.7 Seg468.7 transcript_id=Seg468.7_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg468.7_GoldUCD_D3Y31											
N16.HOG0000004	OG0000000	n368																					Aurelia_aurita_Seg1762.8 Seg1762.8 transcript_id=Seg1762.8_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg1762.8_GoldUCD_D3Y31, Aurelia_aurita_Seg3388.1 Seg3388.1 transcript_id=Seg3388.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3388.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3031.2 Seg3031.2 transcript_id=Seg3031.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3031.2_GoldUCD_D3Y31, Aurelia_aurita_Seg3086.3 Seg3086.3 transcript_id=Seg3086.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3086.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6310.1 Seg6310.1 transcript_id=Seg6310.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg6310.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.1 Seg3715.1 transcript_id=Seg3715.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3715.1_GoldUCD_D3Y31, Aurelia_aurita_Seg87.1 Seg87.1 transcript_id=Seg87.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1-A protein_id=Seg87.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.3 Seg2208.3 transcript_id=Seg2208.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2208.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.3 Seg2828.3 transcript_id=Seg2828.3_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2828.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.2 Seg2828.2 transcript_id=Seg2828.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg2828.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.2 Seg2404.2 transcript_id=Seg2404.2_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.1 Seg2404.1 transcript_id=Seg2404.1_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.3 Seg1014.3 transcript_id=Seg1014.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.2 Seg1014.2 transcript_id=Seg1014.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.2_GoldUCD_D3Y31											
N16.HOG0000005	OG0000000	n548																					Aurelia_aurita_Seg880.6 Seg880.6 transcript_id=Seg880.6_GoldUCD_mRNA.D3Y31 product=Ficolin-1-B protein_id=Seg880.6_GoldUCD_D3Y31, Aurelia_aurita_Seg985.4 Seg985.4 transcript_id=Seg985.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg985.4_GoldUCD_D3Y31											
N16.HOG0000006	OG0000000	n1012																	Morbakka_virulenta_scaffold713.g2.t2 scaffold713.g2.t2, Morbakka_virulenta_scaffold713.g2.t1 scaffold713.g2.t1															
N16.HOG0000007	OG0000000	n1019																	Morbakka_virulenta_scaffold16.g2.t1 scaffold16.g2.t1				Aurelia_aurita_Seg1898.4 Seg1898.4 transcript_id=Seg1898.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein 1" protein_id=Seg1898.4_GoldUCD_D3Y31 partial=true											
N16.HOG0000008	OG0000000	n1024																					Aurelia_aurita_Seg1444.3 Seg1444.3 transcript_id=Seg1444.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg1444.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2112.5 Seg2112.5 transcript_id=Seg2112.5_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2112.5_GoldUCD_D3Y31, Aurelia_aurita_Seg1875.9 Seg1875.9 transcript_id=Seg1875.9_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1875.9_GoldUCD_D3Y31, Aurelia_aurita_Seg1876.8 Seg1876.8 transcript_id=Seg1876.8_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg1876.8_GoldUCD_D3Y31, Aurelia_aurita_Seg5312.1 Seg5312.1 transcript_id=Seg5312.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg5312.1_GoldUCD_D3Y31, Aurelia_aurita_Seg5312.2 Seg5312.2 transcript_id=Seg5312.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg5312.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2050.1 Seg2050.1 transcript_id=Seg2050.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2050.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1153.9 Seg1153.9 transcript_id=Seg1153.9_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1153.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2095.4 Seg2095.4 transcript_id=Seg2095.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg2095.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1927.3 Seg1927.3 transcript_id=Seg1927.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1927.3_GoldUCD_D3Y31											
N16.HOG0000009	OG0000000	n1089																					Aurelia_aurita_Seg3588.2 Seg3588.2 transcript_id=Seg3588.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3588.2_GoldUCD_D3Y31, Aurelia_aurita_Seg3560.1 Seg3560.1 transcript_id=Seg3560.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3560.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4954.1 Seg4954.1 transcript_id=Seg4954.1_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg4954.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1716.14 Seg1716.14 transcript_id=Seg1716.14_GoldUCD_mRNA.D3Y31 product="Microfibril-associated glycoprotein 4" protein_id=Seg1716.14_GoldUCD_D3Y31, Aurelia_aurita_Seg803.3 Seg803.3 transcript_id=Seg803.3_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg803.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1716.15 Seg1716.15 transcript_id=Seg1716.15_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1716.15_GoldUCD_D3Y31, Aurelia_aurita_Seg1399.2 Seg1399.2 transcript_id=Seg1399.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1399.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4254.1 Seg4254.1 transcript_id=Seg4254.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg4254.1_GoldUCD_D3Y31, Aurelia_aurita_Seg723.3 Seg723.3 transcript_id=Seg723.3_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg723.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1569.9 Seg1569.9 transcript_id=Seg1569.9_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg1569.9_GoldUCD_D3Y31, Aurelia_aurita_Seg4216.1 Seg4216.1 transcript_id=Seg4216.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg4216.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg675.1 Seg675.1 transcript_id=Seg675.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg675.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg939.3 Seg939.3 transcript_id=Seg939.3_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg939.3_GoldUCD_D3Y31											
