HOG	OG	Gene Tree Parent Clade	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
N14.HOG0000000	OG0000000	n161	Monosiga_brevicollisXP_001746832.1 XP_001746832.1 uncharacterized protein MONBRDRAFT_37540 [Monosiga brevicollis MX1]																															
N14.HOG0000001	OG0000001	n6	Monosiga_brevicollisXP_001743515.1 XP_001743515.1 uncharacterized protein MONBRDRAFT_6041 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004997206.1 XP_004997206.1 uncharacterized protein PTSG_11695 [Salpingoeca rosetta]																														
N14.HOG0000002	OG0000001	n137		Salpingoeca_rosetta_XP_004991651.1 XP_004991651.1 uncharacterized protein PTSG_07846 [Salpingoeca rosetta]																														
N14.HOG0000003	OG0000001	n277	Monosiga_brevicollisXP_001745787.1 XP_001745787.1 uncharacterized protein MONBRDRAFT_25420 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004997142.1 XP_004997142.1 uncharacterized protein PTSG_01173 [Salpingoeca rosetta]																														
N14.HOG0000004	OG0000001	n278	Monosiga_brevicollisXP_001742046.1 XP_001742046.1 uncharacterized protein MONBRDRAFT_21824 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004991252.1 XP_004991252.1 uncharacterized protein PTSG_08227 [Salpingoeca rosetta]																														
N14.HOG0000005	OG0000001	n342		Salpingoeca_rosetta_XP_004988333.1 XP_004988333.1 proprotein convertase subtilisin_kexin type 5 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988175.1 XP_004988175.1 uncharacterized protein PTSG_13079 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993910.1 XP_004993910.1 uncharacterized protein PTSG_12296 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988782.1 XP_004988782.1 uncharacterized protein PTSG_13098_ partial [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989183.1 XP_004989183.1 uncharacterized protein PTSG_09826 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991958.1 XP_004991958.1 uncharacterized protein PTSG_06573 [Salpingoeca rosetta]																														
N14.HOG0000006	OG0000001	n678	Monosiga_brevicollisXP_001744808.1 XP_001744808.1 uncharacterized protein MONBRDRAFT_31954_ partial [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004994797.1 XP_004994797.1 uncharacterized protein PTSG_12094 [Salpingoeca rosetta]																														
N14.HOG0000007	OG0000001	n828		Salpingoeca_rosetta_XP_004992170.1 XP_004992170.1 uncharacterized protein PTSG_06772 [Salpingoeca rosetta]																														
N14.HOG0000008	OG0000001	n864	Monosiga_brevicollisXP_001747329.1 XP_001747329.1 uncharacterized protein MONBRDRAFT_26942 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004990163.1 XP_004990163.1 uncharacterized protein PTSG_12793 [Salpingoeca rosetta]																														
