HOG	OG	Gene Tree Parent Clade	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
N20.HOG0000000	OG0000000	n151																							Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1									
N20.HOG0000001	OG0000001	n20																							Beroe_ovata_Bova1_4.0354.g11.t1 Bova1_4.0354.g11.t1, Beroe_ovata_Bova1_4.0491.g2.t1 Bova1_4.0491.g2.t1	Mnemiopsis_leidyi_ML035910a ML035910a								
N20.HOG0000002	OG0000001	n40																							Beroe_ovata_Bova1_4.0131.g19.t1 Bova1_4.0131.g19.t1, Beroe_ovata_Bova1_4.0024.g21.t1 Bova1_4.0024.g21.t1, Beroe_ovata_Bova1_4.0024.g19.t1 Bova1_4.0024.g19.t1, Beroe_ovata_Bova1_4.0024.g19.t2 Bova1_4.0024.g19.t2	Mnemiopsis_leidyi_ML101022a ML101022a								
N20.HOG0000003	OG0000001	n48																							Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1	Mnemiopsis_leidyi_ML17591a ML17591a								
N20.HOG0000004	OG0000001	n128																							Beroe_ovata_Bova1_4.0158.g6.t2 Bova1_4.0158.g6.t2, Beroe_ovata_Bova1_4.0158.g6.t1 Bova1_4.0158.g6.t1, Beroe_ovata_Bova1_4.0158.g6.t3 Bova1_4.0158.g6.t3	Mnemiopsis_leidyi_ML21866a ML21866a								
N20.HOG0000005	OG0000001	n271																							Beroe_ovata_Bova1_4.0314.g2.t1 Bova1_4.0314.g2.t1	Mnemiopsis_leidyi_ML22257a ML22257a								
N20.HOG0000006	OG0000001	n631																							Beroe_ovata_Bova1_4.0014.g131.t1 Bova1_4.0014.g131.t1									
N20.HOG0000007	OG0000001	n678																								Mnemiopsis_leidyi_ML44781a ML44781a								
N20.HOG0000008	OG0000001	n895																							Beroe_ovata_Bova1_4.0039.g44.t1 Bova1_4.0039.g44.t1									
N20.HOG0000009	OG0000001	n996																							Beroe_ovata_Bova1_4.0393.g3.t1 Bova1_4.0393.g3.t1									
N20.HOG0000010	OG0000001	n1007																							Beroe_ovata_Bova1_4.0078.g20.t1 Bova1_4.0078.g20.t1	Mnemiopsis_leidyi_ML141745a ML141745a								
N20.HOG0000011	OG0000001	n1062																							Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a								
N20.HOG0000012	OG0000001	n1164																							Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1									
N20.HOG0000013	OG0000001	n1169																							Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1									
N20.HOG0000014	OG0000002	n4																							Beroe_ovata_Bova1_4.0169.g17.t1 Bova1_4.0169.g17.t1	Mnemiopsis_leidyi_ML174724a ML174724a								
N20.HOG0000015	OG0000002	n35																							Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1	Mnemiopsis_leidyi_ML025011a ML025011a								
N20.HOG0000016	OG0000002	n37																							Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1	Mnemiopsis_leidyi_ML15458a ML15458a								
N20.HOG0000017	OG0000002	n38																							Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1	Mnemiopsis_leidyi_ML21527a ML21527a								
