HOG	OG	Gene Tree Parent Clade	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
N26.HOG0000000	OG0000000	n66															Stylophora_pistillata_Spis6522 Spis6522 SpisGene6522																	
N26.HOG0000001	OG0000000	n85															Stylophora_pistillata_Spis23020 Spis23020 SpisGene23020																	
N26.HOG0000002	OG0000000	n130											Acropora_digitifera_adi_v1.08380 adi_v1.08380				Stylophora_pistillata_Spis15804 Spis15804 SpisGene15804																	
N26.HOG0000003	OG0000000	n151															Stylophora_pistillata_Spis17174 Spis17174 SpisGene17174																	
N26.HOG0000004	OG0000000	n162															Stylophora_pistillata_Spis20835 Spis20835 SpisGene20835																	
N26.HOG0000005	OG0000000	n225															Stylophora_pistillata_Spis7346 Spis7346 SpisGene7346, Stylophora_pistillata_Spis17775 Spis17775 SpisGene17775																	
N26.HOG0000006	OG0000000	n232											Acropora_digitifera_adi_v1.14483 adi_v1.14483, Acropora_digitifera_adi_v1.14482 adi_v1.14482				Stylophora_pistillata_Spis6288 Spis6288 SpisGene6288, Stylophora_pistillata_Spis3982 Spis3982 SpisGene3982, Stylophora_pistillata_Spis18763 Spis18763 SpisGene18763																	
N26.HOG0000007	OG0000000	n237															Stylophora_pistillata_Spis14953 Spis14953 SpisGene14953																	
N26.HOG0000008	OG0000000	n238															Stylophora_pistillata_Spis19393 Spis19393 SpisGene19393, Stylophora_pistillata_Spis16696 Spis16696 SpisGene16696																	
N26.HOG0000009	OG0000000	n240											Acropora_digitifera_adi_v1.20225 adi_v1.20225																					
N26.HOG0000010	OG0000000	n280											Acropora_digitifera_adi_v1.07747 adi_v1.07747																					
N26.HOG0000011	OG0000000	n283											Acropora_digitifera_adi_v1.24622 adi_v1.24622, Acropora_digitifera_adi_v1.06759 adi_v1.06759, Acropora_digitifera_adi_v1.21284 adi_v1.21284																					
N26.HOG0000012	OG0000000	n298															Stylophora_pistillata_Spis12602 Spis12602 SpisGene12602, Stylophora_pistillata_Spis16434 Spis16434 SpisGene16434																	
N26.HOG0000013	OG0000000	n415															Stylophora_pistillata_Spis6532 Spis6532 SpisGene6532, Stylophora_pistillata_Spis22079 Spis22079 SpisGene22079, Stylophora_pistillata_Spis10952 Spis10952 SpisGene10952																	
N26.HOG0000014	OG0000000	n419															Stylophora_pistillata_Spis14746 Spis14746 SpisGene14746, Stylophora_pistillata_Spis8083 Spis8083 SpisGene8083, Stylophora_pistillata_Spis8082 Spis8082 SpisGene8082																	
