Orthogroup	Chordata_Amphioxiformes_Branchiostoma_belcheri	Other
OG0000000	Branchiostoma_belcheri_tr_A0A6P5ABL4_A0A6P5ABL4_BRABE tr|A0A6P5ABL4|A0A6P5ABL4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484710 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZQY6_A0A6P4ZQY6_BRABE tr|A0A6P4ZQY6|A0A6P4ZQY6_BRABE Ryncolin-1-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2Q0_A0A6P5A2Q0_BRABE tr|A0A6P5A2Q0|A0A6P5A2Q0_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2Q4_A0A6P5A2Q4_BRABE tr|A0A6P5A2Q4|A0A6P5A2Q4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484709 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ABL0_A0A6P5ABL0_BRABE tr|A0A6P5ABL0|A0A6P5ABL0_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AKK9_A0A6P5AKK9_BRABE tr|A0A6P5AKK9|A0A6P5AKK9_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484707 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AAK5_A0A6P5AAK5_BRABE tr|A0A6P5AAK5|A0A6P5AAK5_BRABE Uncharacterized protein LOC109484431 OS=Branchiostoma belcheri OX=7741 GN=LOC109484431 PE=4 SV=1	Amphimedon_queenslandica_tr_A0A1X7SR47_A0A1X7SR47_AMPQE tr_A0A1X7SR47_A0A1X7SR47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4Z535_A0A6P4Z535_BRABE tr|A0A6P4Z535|A0A6P4Z535_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470258 PE=4 SV=1	Amphimedon_queenslandica_tr_A0A1X7VS35_A0A1X7VS35_AMPQE tr_A0A1X7VS35_A0A1X7VS35_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632478 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4Z7J1_A0A6P4Z7J1_BRABE tr|A0A6P4Z7J1|A0A6P4Z7J1_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476165 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XSU8_A0A6P4XSU8_BRABE tr|A0A6P4XSU8|A0A6P4XSU8_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466438 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6I5_A0A6P4Z6I5_BRABE tr|A0A6P4Z6I5|A0A6P4Z6I5_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109479517 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZSG7_A0A6P4ZSG7_BRABE tr|A0A6P4ZSG7|A0A6P4ZSG7_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109479517 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z896_A0A6P4Z896_BRABE tr|A0A6P4Z896|A0A6P4Z896_BRABE Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476402 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZEG1_A0A6P4ZEG1_BRABE tr|A0A6P4ZEG1|A0A6P4ZEG1_BRABE Fibrinogen C domain-containing protein 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109475903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6L4_A0A6P4Z6L4_BRABE tr|A0A6P4Z6L4|A0A6P4Z6L4_BRABE Fibrinogen C domain-containing protein 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109475903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YF68_A0A6P4YF68_BRABE tr|A0A6P4YF68|A0A6P4YF68_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464785 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDH4_A0A6P4YDH4_BRABE tr|A0A6P4YDH4|A0A6P4YDH4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468614 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDG4_A0A6P4YDG4_BRABE tr|A0A6P4YDG4|A0A6P4YDG4_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109468607 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YUW2_A0A6P4YUW2_BRABE tr|A0A6P4YUW2|A0A6P4YUW2_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109468607 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YN77_A0A6P4YN77_BRABE tr|A0A6P4YN77|A0A6P4YN77_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465683 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XZ48_A0A6P4XZ48_BRABE tr|A0A6P4XZ48|A0A6P4XZ48_BRABE Fibrinogen-like protein A OS=Branchiostoma belcheri OX=7741 GN=LOC109464786 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YHM8_A0A6P4YHM8_BRABE tr|A0A6P4YHM8|A0A6P4YHM8_BRABE Ryncolin-4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464026 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4V3_A0A6P4Y4V3_BRABE tr|A0A6P4Y4V3|A0A6P4Y4V3_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464782 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZXX1_A0A6P4ZXX1_BRABE tr|A0A6P4ZXX1|A0A6P4ZXX1_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109483180 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8L0_A0A6P4Z8L0_BRABE tr|A0A6P4Z8L0|A0A6P4Z8L0_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474373 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XLF2_A0A6P4XLF2_BRABE tr|A0A6P4XLF2|A0A6P4XLF2_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464783 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AQT5_A0A6P5AQT5_BRABE tr|A0A6P5AQT5|A0A6P5AQT5_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486177 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A5V3_A0A6P5A5V3_BRABE tr|A0A6P5A5V3|A0A6P5A5V3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479604 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8I3_A0A6P4Z8I3_BRABE tr|A0A6P4Z8I3|A0A6P4Z8I3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474346 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YT49_A0A6P4YT49_BRABE tr|A0A6P4YT49|A0A6P4YT49_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470417 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4V8_A0A6P4Y4V8_BRABE tr|A0A6P4Y4V8|A0A6P4Y4V8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464787 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZKN5_A0A6P4ZKN5_BRABE tr|A0A6P4ZKN5|A0A6P4ZKN5_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474349 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ACA1_A0A6P5ACA1_BRABE tr|A0A6P5ACA1|A0A6P5ACA1_BRABE Techylectin-5A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484963 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YJY2_A0A6P4YJY2_BRABE tr|A0A6P4YJY2|A0A6P4YJY2_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464784 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AA72_A0A6P5AA72_BRABE tr|A0A6P5AA72|A0A6P5AA72_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484292 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZPI7_A0A6P4ZPI7_BRABE tr|A0A6P4ZPI7|A0A6P4ZPI7_BRABE Uncharacterized protein LOC109484279 OS=Branchiostoma belcheri OX=7741 GN=LOC109484279 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ANP5_A0A6P5ANP5_BRABE tr|A0A6P5ANP5|A0A6P5ANP5_BRABE Uncharacterized protein LOC109484728 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109484728 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AKN7_A0A6P5AKN7_BRABE tr|A0A6P5AKN7|A0A6P5AKN7_BRABE Uncharacterized protein LOC109484728 isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109484728 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AJ42_A0A6P5AJ42_BRABE tr|A0A6P5AJ42|A0A6P5AJ42_BRABE Ryncolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484349 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDM3_A0A6P4YDM3_BRABE tr|A0A6P4YDM3|A0A6P4YDM3_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468654 PE=4 SV=1	Ephydatia_muelleri_Em0051g14a Em0051g14a, Ephydatia_muelleri_Em0009g849a Em0009g849a, Ephydatia_muelleri_Em0051g15a Em0051g15a, Ephydatia_muelleri_Em0009g848a Em0009g848a, Ephydatia_muelleri_Em0009g833a Em0009g833a, Ephydatia_muelleri_Em0009g834a Em0009g834a, Ephydatia_muelleri_Em0009g864a Em0009g864a, Ephydatia_muelleri_Em0051g4a Em0051g4a, Ephydatia_muelleri_Em0051g18a Em0051g18a, Ephydatia_muelleri_Em0051g17a Em0051g17a
OG0000000	Branchiostoma_belcheri_tr_A0A6P4XSU8_A0A6P4XSU8_BRABE tr|A0A6P4XSU8|A0A6P4XSU8_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466438 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6I5_A0A6P4Z6I5_BRABE tr|A0A6P4Z6I5|A0A6P4Z6I5_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109479517 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZSG7_A0A6P4ZSG7_BRABE tr|A0A6P4ZSG7|A0A6P4ZSG7_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109479517 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z896_A0A6P4Z896_BRABE tr|A0A6P4Z896|A0A6P4Z896_BRABE Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476402 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZEG1_A0A6P4ZEG1_BRABE tr|A0A6P4ZEG1|A0A6P4ZEG1_BRABE Fibrinogen C domain-containing protein 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109475903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6L4_A0A6P4Z6L4_BRABE tr|A0A6P4Z6L4|A0A6P4Z6L4_BRABE Fibrinogen C domain-containing protein 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109475903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YF68_A0A6P4YF68_BRABE tr|A0A6P4YF68|A0A6P4YF68_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464785 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDH4_A0A6P4YDH4_BRABE tr|A0A6P4YDH4|A0A6P4YDH4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468614 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDG4_A0A6P4YDG4_BRABE tr|A0A6P4YDG4|A0A6P4YDG4_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109468607 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YUW2_A0A6P4YUW2_BRABE tr|A0A6P4YUW2|A0A6P4YUW2_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109468607 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YN77_A0A6P4YN77_BRABE tr|A0A6P4YN77|A0A6P4YN77_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465683 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XZ48_A0A6P4XZ48_BRABE tr|A0A6P4XZ48|A0A6P4XZ48_BRABE Fibrinogen-like protein A OS=Branchiostoma belcheri OX=7741 GN=LOC109464786 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YHM8_A0A6P4YHM8_BRABE tr|A0A6P4YHM8|A0A6P4YHM8_BRABE Ryncolin-4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464026 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4V3_A0A6P4Y4V3_BRABE tr|A0A6P4Y4V3|A0A6P4Y4V3_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464782 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZXX1_A0A6P4ZXX1_BRABE tr|A0A6P4ZXX1|A0A6P4ZXX1_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109483180 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8L0_A0A6P4Z8L0_BRABE tr|A0A6P4Z8L0|A0A6P4Z8L0_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474373 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XLF2_A0A6P4XLF2_BRABE tr|A0A6P4XLF2|A0A6P4XLF2_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464783 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AQT5_A0A6P5AQT5_BRABE tr|A0A6P5AQT5|A0A6P5AQT5_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486177 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A5V3_A0A6P5A5V3_BRABE tr|A0A6P5A5V3|A0A6P5A5V3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479604 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8I3_A0A6P4Z8I3_BRABE tr|A0A6P4Z8I3|A0A6P4Z8I3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474346 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YT49_A0A6P4YT49_BRABE tr|A0A6P4YT49|A0A6P4YT49_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470417 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4V8_A0A6P4Y4V8_BRABE tr|A0A6P4Y4V8|A0A6P4Y4V8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464787 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZKN5_A0A6P4ZKN5_BRABE tr|A0A6P4ZKN5|A0A6P4ZKN5_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474349 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ACA1_A0A6P5ACA1_BRABE tr|A0A6P5ACA1|A0A6P5ACA1_BRABE Techylectin-5A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484963 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YJY2_A0A6P4YJY2_BRABE tr|A0A6P4YJY2|A0A6P4YJY2_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464784 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AA72_A0A6P5AA72_BRABE tr|A0A6P5AA72|A0A6P5AA72_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484292 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZPI7_A0A6P4ZPI7_BRABE tr|A0A6P4ZPI7|A0A6P4ZPI7_BRABE Uncharacterized protein LOC109484279 OS=Branchiostoma belcheri OX=7741 GN=LOC109484279 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ANP5_A0A6P5ANP5_BRABE tr|A0A6P5ANP5|A0A6P5ANP5_BRABE Uncharacterized protein LOC109484728 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109484728 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AKN7_A0A6P5AKN7_BRABE tr|A0A6P5AKN7|A0A6P5AKN7_BRABE Uncharacterized protein LOC109484728 isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109484728 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AJ42_A0A6P5AJ42_BRABE tr|A0A6P5AJ42|A0A6P5AJ42_BRABE Ryncolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484349 PE=4 SV=1	Amphimedon_queenslandica_tr_A0A1X7T2Y1_A0A1X7T2Y1_AMPQE tr_A0A1X7T2Y1_A0A1X7T2Y1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMM1_A0A1X7UMM1_AMPQE tr_A0A1X7UMM1_A0A1X7UMM1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YDM3_A0A6P4YDM3_BRABE tr|A0A6P4YDM3|A0A6P4YDM3_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468654 PE=4 SV=1	Amphimedon_queenslandica_tr_A0A1X7UCZ8_A0A1X7UCZ8_AMPQE tr_A0A1X7UCZ8_A0A1X7UCZ8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T342_A0A1X7T342_AMPQE tr_A0A1X7T342_A0A1X7T342_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109590084 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U4B1_A0A1X7U4B1_AMPQE tr_A0A1X7U4B1_A0A1X7U4B1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7US47_A0A1X7US47_AMPQE tr_A0A1X7US47_A0A1X7US47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U554_A0A1X7U554_AMPQE tr_A0A1X7U554_A0A1X7U554_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULS4_A0A1X7ULS4_AMPQE tr_A0A1X7ULS4_A0A1X7ULS4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T2C4_A0A1X7T2C4_AMPQE tr_A0A1X7T2C4_A0A1X7T2C4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100631553 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T2A4_A0A1X7T2A4_AMPQE tr_A0A1X7T2A4_A0A1X7T2A4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UWB5_A0A1X7UWB5_AMPQE tr_A0A1X7UWB5_A0A1X7UWB5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109581869 PE=4 SV=1
OG0000003	Branchiostoma_belcheri_tr_A0A6P4Z782_A0A6P4Z782_BRABE tr|A0A6P4Z782|A0A6P4Z782_BRABE Uncharacterized protein DDB_G0283697-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479715 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_52.g22737.t1 Sc4wPfr_52.g22737.t1, Hydra_vulgaris_Sc4wPfr_1630.1.g20734.t2 Sc4wPfr_1630.1.g20734.t2, Hydra_vulgaris_Sc4wPfr_1630.1.g20734.t1 Sc4wPfr_1630.1.g20734.t1
OG0000005	Branchiostoma_belcheri_tr_A0A6P4XXF0_A0A6P4XXF0_BRABE tr|A0A6P4XXF0|A0A6P4XXF0_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467704 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YRI6_A0A6P4YRI6_BRABE tr|A0A6P4YRI6|A0A6P4YRI6_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467704 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YHB4_A0A6P4YHB4_BRABE tr|A0A6P4YHB4|A0A6P4YHB4_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467704 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YVM7_A0A6P4YVM7_BRABE tr|A0A6P4YVM7|A0A6P4YVM7_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467704 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YVK9_A0A6P4YVK9_BRABE tr|A0A6P4YVK9|A0A6P4YVK9_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467683 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YE48_A0A6P4YE48_BRABE tr|A0A6P4YE48|A0A6P4YE48_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109464479 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XY41_A0A6P4XY41_BRABE tr|A0A6P4XY41|A0A6P4XY41_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109464479 PE=4 SV=1	Beroe_ovata_Bova1_4.0586.g1.t1 Bova1_4.0586.g1.t1, Beroe_ovata_Bova1_4.0055.g8.t1 Bova1_4.0055.g8.t1
OG0000005	Branchiostoma_belcheri_tr_A0A6P4XXF0_A0A6P4XXF0_BRABE tr|A0A6P4XXF0|A0A6P4XXF0_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467704 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YRI6_A0A6P4YRI6_BRABE tr|A0A6P4YRI6|A0A6P4YRI6_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467704 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YHB4_A0A6P4YHB4_BRABE tr|A0A6P4YHB4|A0A6P4YHB4_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467704 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YVM7_A0A6P4YVM7_BRABE tr|A0A6P4YVM7|A0A6P4YVM7_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467704 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YVK9_A0A6P4YVK9_BRABE tr|A0A6P4YVK9|A0A6P4YVK9_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109467683 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YE48_A0A6P4YE48_BRABE tr|A0A6P4YE48|A0A6P4YE48_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109464479 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XY41_A0A6P4XY41_BRABE tr|A0A6P4XY41|A0A6P4XY41_BRABE Metalloendopeptidase OS=Branchiostoma belcheri OX=7741 GN=LOC109464479 PE=4 SV=1	Pleurobrachia_bachei_sb_2642012_ sb_2642012_
OG0000008	Branchiostoma_belcheri_tr_A0A6P4ZKW5_A0A6P4ZKW5_BRABE tr|A0A6P4ZKW5|A0A6P4ZKW5_BRABE Neurogenic locus notch homolog protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474432 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y8R2_A0A6P4Y8R2_BRABE tr|A0A6P4Y8R2|A0A6P4Y8R2_BRABE Oncoprotein-induced transcript 3 protein-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462976 PE=4 SV=1	Acropora_digitifera_adi_v1.17151 adi_v1.17151, Acropora_digitifera_adi_v1.02699 adi_v1.02699
OG0000009	Branchiostoma_belcheri_tr_A0A6P4YL78_A0A6P4YL78_BRABE tr|A0A6P4YL78|A0A6P4YL78_BRABE Very low-density lipoprotein receptor-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466231 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z723_A0A6P4Z723_BRABE tr|A0A6P4Z723|A0A6P4Z723_BRABE Uncharacterized protein LOC109479668 OS=Branchiostoma belcheri OX=7741 GN=LOC109479668 PE=4 SV=1	Acropora_digitifera_adi_v1.15532 adi_v1.15532
