Orthogroup	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Other
OG0000002	Monosiga_brevicollisXP_001742800.1 XP_001742800.1 uncharacterized protein MONBRDRAFT_5267 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001747141.1 XP_001747141.1 uncharacterized protein MONBRDRAFT_32969 [Monosiga brevicollis MX1]	Pleurobrachia_bachei_sb_2650520_ sb_2650520_, Pleurobrachia_bachei_sb_2643421_ sb_2643421_
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Caenorhabditis_elegans_C37C3.7 C37C3.7
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004988452.1 XP_004988452.1 teneurin-2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997052.1 XP_004997052.1 tenascin C_ partial [Salpingoeca rosetta]
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Exaiptasia_diaphana_XP_020901426.1 XP_020901426.1 uncharacterized protein LOC110239999 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907660.2 XP_020907660.2 uncharacterized protein LOC110245709 [Exaiptasia diaphana]
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Acropora_digitifera_adi_v1.08393 adi_v1.08393
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Xenia_spec_Xe_015812_T1 Xe_015812_T1 Xe_015812, Xenia_spec_Xe_015811_T1 Xe_015811_T1 Xe_015811
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7HWC3_A0A9J7HWC3_BRAFL tr|A0A9J7HWC3|A0A9J7HWC3_BRAFL IgGFc-binding protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118409032 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KLZ2_A0A9J7KLZ2_BRAFL tr|A0A9J7KLZ2|A0A9J7KLZ2_BRAFL Uncharacterized protein LOC118409063 OS=Branchiostoma floridae OX=7739 GN=LOC118409063 PE=4 SV=1
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Branchiostoma_belcheri_tr_A0A6P5A8U6_A0A6P5A8U6_BRABE tr|A0A6P5A8U6|A0A6P5A8U6_BRABE Tenascin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486622 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YY24_A0A6P4YY24_BRABE tr|A0A6P4YY24|A0A6P4YY24_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109469615 OS=Branchiostoma belcheri OX=7741 GN=LOC109469615 PE=4 SV=1
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Branchiostoma_lanceolatum_tr_A0A8S4MMT0_A0A8S4MMT0_BRALA tr|A0A8S4MMT0|A0A8S4MMT0_BRALA TNXB protein OS=Branchiostoma lanceolatum OX=7740 GN=TNXB PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8S4MN14_A0A8S4MN14_BRALA tr|A0A8S4MN14|A0A8S4MN14_BRALA TNXB protein OS=Branchiostoma lanceolatum OX=7740 GN=TNXB PE=4 SV=1
OG0000012	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004988452.1 XP_004988452.1 teneurin-2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997052.1 XP_004997052.1 tenascin C_ partial [Salpingoeca rosetta]
OG0000133	Monosiga_brevicollisXP_001748425.1 XP_001748425.1 uncharacterized protein MONBRDRAFT_27938 [Monosiga brevicollis MX1]	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1
OG0000133	Monosiga_brevicollisXP_001748425.1 XP_001748425.1 uncharacterized protein MONBRDRAFT_27938 [Monosiga brevicollis MX1]	Tricoplax_adhaerens_tr_B3SB90_B3SB90_TRIAD tr_B3SB90_B3SB90_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61531 PE=4 SV=1
OG0000165	Monosiga_brevicollisXP_001746780.1 XP_001746780.1 uncharacterized protein MONBRDRAFT_32857 [Monosiga brevicollis MX1]	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394
OG0000187	Monosiga_brevicollisXP_001748759.1 XP_001748759.1 uncharacterized protein MONBRDRAFT_10986 [Monosiga brevicollis MX1]	Nematostella_vectensis_NV2t005309002.1 NV2t005309002.1
OG0000187	Monosiga_brevicollisXP_001748759.1 XP_001748759.1 uncharacterized protein MONBRDRAFT_10986 [Monosiga brevicollis MX1]	Pleurobrachia_bachei_sb_2665460_ sb_2665460_, Pleurobrachia_bachei_sb_2643444_ sb_2643444_
OG0000211	Monosiga_brevicollisXP_001749206.1 XP_001749206.1 uncharacterized protein MONBRDRAFT_11289 [Monosiga brevicollis MX1]	Aurelia_aurita_Seg11460.1 Seg11460.1 transcript_id=Seg11460.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg11460.1_GoldUCD_D3Y31 partial=true
