Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Other
OG0000000	Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895	Amphimedon_queenslandica_tr_A0A1X7SR47_A0A1X7SR47_AMPQE tr_A0A1X7SR47_A0A1X7SR47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VS35_A0A1X7VS35_AMPQE tr_A0A1X7VS35_A0A1X7VS35_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632478 PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.22096 adi_v1.22096, Acropora_digitifera_adi_v1.18297 adi_v1.18297, Acropora_digitifera_adi_v1.24356 adi_v1.24356, Acropora_digitifera_adi_v1.20123 adi_v1.20123, Acropora_digitifera_adi_v1.13695 adi_v1.13695, Acropora_digitifera_adi_v1.15148 adi_v1.15148, Acropora_digitifera_adi_v1.13912 adi_v1.13912, Acropora_digitifera_adi_v1.20223 adi_v1.20223	Ephydatia_muelleri_Em0051g14a Em0051g14a, Ephydatia_muelleri_Em0009g849a Em0009g849a, Ephydatia_muelleri_Em0051g15a Em0051g15a, Ephydatia_muelleri_Em0009g848a Em0009g848a, Ephydatia_muelleri_Em0009g833a Em0009g833a, Ephydatia_muelleri_Em0009g834a Em0009g834a, Ephydatia_muelleri_Em0009g864a Em0009g864a, Ephydatia_muelleri_Em0051g4a Em0051g4a, Ephydatia_muelleri_Em0051g18a Em0051g18a, Ephydatia_muelleri_Em0051g17a Em0051g17a
OG0000000	Acropora_digitifera_adi_v1.22096 adi_v1.22096	Amphimedon_queenslandica_tr_A0A1X7VD58_A0A1X7VD58_AMPQE tr_A0A1X7VD58_A0A1X7VD58_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105311921 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VEH6_A0A1X7VEH6_AMPQE tr_A0A1X7VEH6_A0A1X7VEH6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639185 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VD18_A0A1X7VD18_AMPQE tr_A0A1X7VD18_A0A1X7VD18_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.18297 adi_v1.18297, Acropora_digitifera_adi_v1.24356 adi_v1.24356	Amphimedon_queenslandica_tr_A0A1X7SMX3_A0A1X7SMX3_AMPQE tr_A0A1X7SMX3_A0A1X7SMX3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T529_A0A1X7T529_AMPQE tr_A0A1X7T529_A0A1X7T529_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UT23_A0A1X7UT23_AMPQE tr_A0A1X7UT23_A0A1X7UT23_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULA7_A0A1X7ULA7_AMPQE tr_A0A1X7ULA7_A0A1X7ULA7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SR50_A0A1X7SR50_AMPQE tr_A0A1X7SR50_A0A1X7SR50_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TE08_A0A1X7TE08_AMPQE tr_A0A1X7TE08_A0A1X7TE08_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULB3_A0A1X7ULB3_AMPQE tr_A0A1X7ULB3_A0A1X7ULB3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.20123 adi_v1.20123, Acropora_digitifera_adi_v1.13695 adi_v1.13695, Acropora_digitifera_adi_v1.15148 adi_v1.15148, Acropora_digitifera_adi_v1.13912 adi_v1.13912, Acropora_digitifera_adi_v1.20223 adi_v1.20223	Amphimedon_queenslandica_tr_A0A1X7UCZ8_A0A1X7UCZ8_AMPQE tr_A0A1X7UCZ8_A0A1X7UCZ8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T342_A0A1X7T342_AMPQE tr_A0A1X7T342_A0A1X7T342_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109590084 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U4B1_A0A1X7U4B1_AMPQE tr_A0A1X7U4B1_A0A1X7U4B1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7US47_A0A1X7US47_AMPQE tr_A0A1X7US47_A0A1X7US47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U554_A0A1X7U554_AMPQE tr_A0A1X7U554_A0A1X7U554_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULS4_A0A1X7ULS4_AMPQE tr_A0A1X7ULS4_A0A1X7ULS4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T2C4_A0A1X7T2C4_AMPQE tr_A0A1X7T2C4_A0A1X7T2C4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100631553 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T2A4_A0A1X7T2A4_AMPQE tr_A0A1X7T2A4_A0A1X7T2A4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UWB5_A0A1X7UWB5_AMPQE tr_A0A1X7UWB5_A0A1X7UWB5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109581869 PE=4 SV=1
OG0000003	Acropora_digitifera_adi_v1.01273 adi_v1.01273	Hydra_vulgaris_Sc4wPfr_52.g22737.t1 Sc4wPfr_52.g22737.t1, Hydra_vulgaris_Sc4wPfr_1630.1.g20734.t2 Sc4wPfr_1630.1.g20734.t2, Hydra_vulgaris_Sc4wPfr_1630.1.g20734.t1 Sc4wPfr_1630.1.g20734.t1
OG0000003	Acropora_digitifera_adi_v1.16248 adi_v1.16248, Acropora_digitifera_adi_v1.02561 adi_v1.02561, Acropora_digitifera_adi_v1.23712 adi_v1.23712, Acropora_digitifera_adi_v1.00078 adi_v1.00078, Acropora_digitifera_adi_v1.20654 adi_v1.20654, Acropora_digitifera_adi_v1.00077 adi_v1.00077, Acropora_digitifera_adi_v1.20655 adi_v1.20655, Acropora_digitifera_adi_v1.20653 adi_v1.20653, Acropora_digitifera_adi_v1.00076 adi_v1.00076, Acropora_digitifera_adi_v1.00080 adi_v1.00080, Acropora_digitifera_adi_v1.13597 adi_v1.13597, Acropora_digitifera_adi_v1.06330 adi_v1.06330, Acropora_digitifera_adi_v1.04891 adi_v1.04891	Branchiostoma_floridae_tr_A0A9J7M1M5_A0A9J7M1M5_BRAFL tr|A0A9J7M1M5|A0A9J7M1M5_BRAFL C-type lectin lectoxin-Thr1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118427240 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M103_A0A9J7M103_BRAFL tr|A0A9J7M103|A0A9J7M103_BRAFL Snaclec agkisacutacin subunit B-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118427240 PE=4 SV=1
OG0000004	Acropora_digitifera_adi_v1.19534 adi_v1.19534, Acropora_digitifera_adi_v1.04405 adi_v1.04405	Clytia_hemispherica_TCONS_00058657-protein TCONS_00058657-protein, Clytia_hemispherica_TCONS_00048843-protein TCONS_00048843-protein
OG0000004	Acropora_digitifera_adi_v1.20707 adi_v1.20707	Hydra_vulgaris_Sc4wPfr_483.g14182.t1 Sc4wPfr_483.g14182.t1
OG0000005	Acropora_digitifera_adi_v1.18953 adi_v1.18953, Acropora_digitifera_adi_v1.15782 adi_v1.15782	Beroe_ovata_Bova1_4.0586.g1.t1 Bova1_4.0586.g1.t1, Beroe_ovata_Bova1_4.0055.g8.t1 Bova1_4.0055.g8.t1
