Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Other
OG0000000	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica]	Amphimedon_queenslandica_tr_A0A1X7SR47_A0A1X7SR47_AMPQE tr_A0A1X7SR47_A0A1X7SR47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VS35_A0A1X7VS35_AMPQE tr_A0A1X7VS35_A0A1X7VS35_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632478 PE=4 SV=1
OG0000021	Coturnix_japonica_XP_015717481.1 pro-epidermal growth factor isoform X2 [Coturnix japonica]	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1
OG0000021	Coturnix_japonica_XP_015717481.1 pro-epidermal growth factor isoform X2 [Coturnix japonica]	Branchiostoma_lanceolatum_tr_A0A8S4MN64_A0A8S4MN64_BRALA tr|A0A8S4MN64|A0A8S4MN64_BRALA Hypp9532 protein OS=Branchiostoma lanceolatum OX=7740 GN=Hypp9532 PE=4 SV=1
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica]	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica]	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein
OG0000054	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474
OG0000054	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]	Acropora_digitifera_adi_v1.21440 adi_v1.21440
OG0000064	Coturnix_japonica_XP_015742103.1 PREDICTED_ fibrillin-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705146.1 fibrillin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728443.1 fibrillin-1 isoform X1 [Coturnix japonica]	Porites_asteroides_isotig12005 isotig12005 extracted_CDS GOMatch=D2H7E0 GOTerms=GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=Fibrillin-2_ Match_Acc=P35556 gene=isogroup10273 length=577 numContigs=1
OG0000064	Coturnix_japonica_XP_015742103.1 PREDICTED_ fibrillin-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705146.1 fibrillin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728443.1 fibrillin-1 isoform X1 [Coturnix japonica]	Nematostella_vectensis_NV2t022932001.1 NV2t022932001.1
OG0000088	Coturnix_japonica_XP_015718401.1 spondin-2 [Coturnix japonica], Coturnix_japonica_XP_015719003.1 PREDICTED_ spondin-1 [Coturnix japonica]	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]
OG0000102	Coturnix_japonica_XP_015720830.1 fibulin-5 [Coturnix japonica], Coturnix_japonica_XP_015712283.1 EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Coturnix japonica]	Porites_asteroides_isotig17654 isotig17654 extracted_CDS GOMatch=B0X2G9 GOTerms=GO_0004519_GO_0005509_GO_0051539 Gene=Crumbs_ Match_Acc=B0X2G9 gene=isogroup15922 length=426 numContigs=1
