Orthogroup	Chordata_Vertebrata_Bos_taurus	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML035910a ML035910a
OG0000001	XP_010803496.1 netrin-4 isoform X2 [Bos taurus], XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus], NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	NP_001193801.1 netrin-5 precursor [Bos taurus]	Mnemiopsis_leidyi_ML141745a ML141745a
OG0000001	NP_001193834.1 netrin-3 precursor [Bos taurus], NP_001179495.1 netrin-1 precursor [Bos taurus], DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000002	XP_059736229.1 von Willebrand factor A domain-containing protein 7 isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML025011a ML025011a, Mnemiopsis_leidyi_ML15458a ML15458a, Mnemiopsis_leidyi_ML21527a ML21527a, Mnemiopsis_leidyi_ML02152a ML02152a, Mnemiopsis_leidyi_ML104325a ML104325a, Mnemiopsis_leidyi_ML014910a ML014910a, Mnemiopsis_leidyi_ML04601a ML04601a, Mnemiopsis_leidyi_ML06976a ML06976a
OG0000003	XP_059737445.1 brevican core protein isoform X1 [Bos taurus], XP_059744190.1 neurocan core protein isoform X1 [Bos taurus], XP_059734920.1 aggrecan core protein isoform X1 [Bos taurus], NP_776406.1 aggrecan core protein precursor [Bos taurus], sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor, sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor	Mnemiopsis_leidyi_ML216321a ML216321a
OG0000003	sp|Q2KIS7.1|TETN_BOVIN RecName_ Full=Tetranectin; Short=TN; AltName_ Full=C-type lectin domain family 3 member B; Flags_ Precursor, sp|Q28008.1|CLC3A_BOVIN RecName_ Full=C-type lectin domain family 3 member A; AltName_ Full=C-type lectin superfamily member 1; AltName_ Full=Cartilage-derived C-type lectin; Flags_ Precursor	Mnemiopsis_leidyi_ML01786a ML01786a
OG0000003	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]	Mnemiopsis_leidyi_ML056959a ML056959a, Mnemiopsis_leidyi_ML090113a ML090113a
OG0000006	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]	Mnemiopsis_leidyi_ML15411a ML15411a, Mnemiopsis_leidyi_ML085711a ML085711a, Mnemiopsis_leidyi_ML14766a ML14766a
OG0000006	XP_002691171.2 fibulin-7 [Bos taurus]	Mnemiopsis_leidyi_ML01677a ML01677a, Mnemiopsis_leidyi_ML07913a ML07913a
OG0000010	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	XP_005217262.1 agrin isoform X1 [Bos taurus], sp|Q1LZB9.1|FSTL3_BOVIN RecName_ Full=Follistatin-related protein 3; AltName_ Full=Follistatin-like protein 3; Flags_ Precursor	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000011	XP_005222860.2 hepatocyte growth factor-like protein isoform X1 [Bos taurus], NP_001026921.1 hepatocyte growth factor precursor [Bos taurus]	Mnemiopsis_leidyi_ML03051a ML03051a, Mnemiopsis_leidyi_ML10905a ML10905a
OG0000012	sp|P98091.2|MUC19_BOVIN RecName_ Full=Mucin-19; Short=MUC-19; AltName_ Full=Submaxillary mucin-like protein; Flags_ Precursor, XP_024843363.1 LOW QUALITY PROTEIN_ mucin-2 [Bos taurus], CBL80808.1 TPA_ mucin-5AC [Bos taurus], XP_059739142.1 mucin-5B [Bos taurus], sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, pir||A34102 von Willebrand factor - bovine _fragments_, XP_059742803.1 otogelin-like protein [Bos taurus], DAA22321.1 TPA_ Otogelin-like [Bos taurus]	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a
