Orthogroup	Chordata_Vertebrata_Bos_taurus	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000000	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]	Caenorhabditis_elegans_T15B7.1 T15B7.1, Caenorhabditis_elegans_C49C8.5 C49C8.5, Caenorhabditis_elegans_Y43C5A.2 Y43C5A.2, Caenorhabditis_elegans_T01D3.6b T01D3.6b
OG0000000	XP_005213566.1 ficolin-2 isoform X2 [Bos taurus], XP_024834735.2 LOW QUALITY PROTEIN_ ficolin-3 [Bos taurus], XP_005217494.2 fibrinogen alpha chain isoform X1 [Bos taurus], sp|P02672.5|FIBA_BOVIN RecName_ Full=Fibrinogen alpha chain; Contains_ RecName_ Full=Fibrinopeptide A; Contains_ RecName_ Full=Fibrinogen alpha chain; Flags_ Precursor, sp|P02672.5|FIBA_BOVIN RecName_ Full=Fibrinogen alpha chain; Contains_ RecName_ Full=Fibrinopeptide A; Contains_ RecName_ Full=Fibrinogen alpha chain; Flags_ Precursor, XP_005226015.1 fibrinogen-like protein 1 isoform X1 [Bos taurus], NP_001103284.1 angiopoietin-related protein 2 precursor [Bos taurus], sp|Q1RMR1.1|ANGL1_BOVIN RecName_ Full=Angiopoietin-related protein 1; AltName_ Full=Angiopoietin-like protein 1; Flags_ Precursor, XP_005208819.1 angiopoietin-related protein 6 isoform X1 [Bos taurus], sp|Q5EA66.1|ANGL7_BOVIN RecName_ Full=Angiopoietin-related protein 7; AltName_ Full=Angiopoietin-like protein 7; Flags_ Precursor, sp|Q24K15.1|ANGP4_BOVIN RecName_ Full=Angiopoietin-4; Short=ANG-4; Flags_ Precursor, sp|O77802.3|ANGP2_BOVIN RecName_ Full=Angiopoietin-2; Short=ANG-2; Flags_ Precursor, XP_059749109.1 angiopoietin-1 isoform X1 [Bos taurus], NP_001073814.1 angiopoietin-related protein 3 precursor [Bos taurus], NP_001121541.1 angiopoietin-related protein 5 precursor [Bos taurus], sp|Q29RY7.1|FGL2_BOVIN RecName_ Full=Fibroleukin; AltName_ Full=Fibrinogen-like protein 2; Flags_ Precursor, NP_777128.1 tenascin-X precursor [Bos taurus]	Caenorhabditis_elegans_D1009.3b D1009.3b
OG0000001	XP_059734749.1 leukemia inhibitory factor receptor isoform X1 [Bos taurus]	Caenorhabditis_elegans_K07E12.1 K07E12.1
OG0000001	NP_001193834.1 netrin-3 precursor [Bos taurus], NP_001179495.1 netrin-1 precursor [Bos taurus]	Caenorhabditis_elegans_F41C6.1 F41C6.1
OG0000001	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]	Caenorhabditis_elegans_C54D1.5 C54D1.5
OG0000002	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus], XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus], XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus], XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]	Caenorhabditis_elegans_Y54E5B.1c Y54E5B.1c
OG0000003	XP_059737445.1 brevican core protein isoform X1 [Bos taurus], XP_059744190.1 neurocan core protein isoform X1 [Bos taurus], XP_059734920.1 aggrecan core protein isoform X1 [Bos taurus], NP_776406.1 aggrecan core protein precursor [Bos taurus], sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor, sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor	Caenorhabditis_elegans_T19E7.1 T19E7.1
OG0000003	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor, NP_001192642.1 collectin-10 precursor [Bos taurus], sp|Q8MHZ9.1|CL46_BOVIN RecName_ Full=Collectin-46; Short=CL-46; AltName_ Full=46 kDa collectin; Flags_ Precursor, NP_776532.1 mannose-binding protein C precursor [Bos taurus], XP_059738436.1 mannose-binding protein A isoform X1 [Bos taurus]	Caenorhabditis_elegans_K02F3.5 K02F3.5
OG0000003	sp|Q2KIS7.1|TETN_BOVIN RecName_ Full=Tetranectin; Short=TN; AltName_ Full=C-type lectin domain family 3 member B; Flags_ Precursor, sp|Q28008.1|CLC3A_BOVIN RecName_ Full=C-type lectin domain family 3 member A; AltName_ Full=C-type lectin superfamily member 1; AltName_ Full=Cartilage-derived C-type lectin; Flags_ Precursor	Caenorhabditis_elegans_C54D1.2 C54D1.2, Caenorhabditis_elegans_Y38H6C.8 Y38H6C.8, Caenorhabditis_elegans_R06B10.3 R06B10.3
OG0000003	sp|A6QP79.1|COL12_BOVIN RecName_ Full=Collectin-12; AltName_ Full=Collectin placenta protein 1; Short=CL-P1, DAA28116.1 TPA_ CLEC17A protein-like_ partial [Bos taurus], NP_001192535.3 C-type lectin domain family 4 member G [Bos taurus], DAA24823.1 TPA_ C-type lectin_ superfamily member 13-like [Bos taurus], sp|Q3LUH2.1|CLC6A_BOVIN RecName_ Full=C-type lectin domain family 6 member A; AltName_ Full=Dendritic cell-associated C-type lectin 2; Short=DC-associated C-type lectin 2; Short=Dectin-2, XP_059743069.1 C-type lectin domain family 4 member E isoform X1 [Bos taurus]	Caenorhabditis_elegans_F25B4.9 F25B4.9
