Orthogroup	Chordata_Vertebrata_Bos_taurus	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00025161-protein TCONS_00025161-protein, Clytia_hemispherica_TCONS_00004655-protein TCONS_00004655-protein, Clytia_hemispherica_TCONS_00001342-protein TCONS_00001342-protein, Clytia_hemispherica_TCONS_00030218-protein TCONS_00030218-protein, Clytia_hemispherica_TCONS_00004723-protein TCONS_00004723-protein, Clytia_hemispherica_TCONS_00004950-protein TCONS_00004950-protein, Clytia_hemispherica_TCONS_00016324-protein TCONS_00016324-protein, Clytia_hemispherica_TCONS_00009157-protein TCONS_00009157-protein, Clytia_hemispherica_TCONS_00019769-protein TCONS_00019769-protein, Clytia_hemispherica_TCONS_00007420-protein TCONS_00007420-protein, Clytia_hemispherica_TCONS_00030875-protein TCONS_00030875-protein, Clytia_hemispherica_TCONS_00071542-protein TCONS_00071542-protein, Clytia_hemispherica_TCONS_00018659-protein TCONS_00018659-protein, Clytia_hemispherica_TCONS_00012678-protein TCONS_00012678-protein, Clytia_hemispherica_TCONS_00032436-protein TCONS_00032436-protein, Clytia_hemispherica_TCONS_00002325-protein TCONS_00002325-protein, Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein, Clytia_hemispherica_TCONS_00023485-protein TCONS_00023485-protein, Clytia_hemispherica_TCONS_00022085-protein TCONS_00022085-protein, Clytia_hemispherica_TCONS_00037021-protein TCONS_00037021-protein, Clytia_hemispherica_TCONS_00032471-protein TCONS_00032471-protein
OG0000000	NP_001121541.1 angiopoietin-related protein 5 precursor [Bos taurus]	Clytia_hemispherica_TCONS_00034414-protein TCONS_00034414-protein, Clytia_hemispherica_TCONS_00058007-protein TCONS_00058007-protein, Clytia_hemispherica_TCONS_00058501-protein TCONS_00058501-protein, Clytia_hemispherica_TCONS_00008901-protein TCONS_00008901-protein, Clytia_hemispherica_TCONS_00031044-protein TCONS_00031044-protein
OG0000000	sp|Q29RY7.1|FGL2_BOVIN RecName_ Full=Fibroleukin; AltName_ Full=Fibrinogen-like protein 2; Flags_ Precursor	Clytia_hemispherica_TCONS_00013531-protein TCONS_00013531-protein, Clytia_hemispherica_TCONS_00072131-protein TCONS_00072131-protein, Clytia_hemispherica_TCONS_00018874-protein TCONS_00018874-protein, Clytia_hemispherica_TCONS_00024208-protein TCONS_00024208-protein
OG0000001	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	XP_059734749.1 leukemia inhibitory factor receptor isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00020951-protein TCONS_00020951-protein
OG0000001	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus], XP_059740913.1 netrin-G1 isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein, Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein
OG0000001	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000002	XP_059736229.1 von Willebrand factor A domain-containing protein 7 isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein
OG0000002	XP_010815150.2 semaphorin-5A [Bos taurus], XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein
OG0000002	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus], XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus], XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus], XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein
