Orthogroup	Chordata_Vertebrata_Bos_taurus	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000001	XP_010803496.1 netrin-4 isoform X2 [Bos taurus], XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus], NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]	Trichoplax_specH2_tr_A0A369SGJ7_A0A369SGJ7_9METZ tr|A0A369SGJ7|A0A369SGJ7_9METZ Laminin subunit beta-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001775 PE=4 SV=1
OG0000001	XP_059734749.1 leukemia inhibitory factor receptor isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369S3K6_A0A369S3K6_9METZ tr|A0A369S3K6|A0A369S3K6_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008419 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S1P1_A0A369S1P1_9METZ tr|A0A369S1P1|A0A369S1P1_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008409 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S3M7_A0A369S3M7_9METZ tr|A0A369S3M7|A0A369S3M7_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008421 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S281_A0A369S281_9METZ tr|A0A369S281|A0A369S281_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008418 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRS5_A0A369RRS5_9METZ tr|A0A369RRS5|A0A369RRS5_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010761 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRR9_A0A369RRR9_9METZ tr|A0A369RRR9|A0A369RRR9_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010760 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRQ8_A0A369RRQ8_9METZ tr|A0A369RRQ8|A0A369RRQ8_9METZ Neurofascin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010757 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RTJ8_A0A369RTJ8_9METZ tr|A0A369RTJ8|A0A369RTJ8_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010614 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RR42_A0A369RR42_9METZ tr|A0A369RR42|A0A369RR42_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009459 PE=3 SV=1, Trichoplax_specH2_tr_A0A369RQV2_A0A369RQV2_9METZ tr|A0A369RQV2|A0A369RQV2_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011090 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWY6_A0A369RWY6_9METZ tr|A0A369RWY6|A0A369RWY6_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008576 PE=4 SV=1
OG0000001	NP_001193801.1 netrin-5 precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369SD60_A0A369SD60_9METZ tr|A0A369SD60|A0A369SD60_9METZ Netrin-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003497 PE=4 SV=1
OG0000001	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369SBY2_A0A369SBY2_9METZ tr|A0A369SBY2|A0A369SBY2_9METZ Laminin subunit gamma-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003028 PE=4 SV=1
OG0000002	XP_010815150.2 semaphorin-5A [Bos taurus], XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369SFC4_A0A369SFC4_9METZ tr|A0A369SFC4|A0A369SFC4_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002772 PE=4 SV=1
OG0000002	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus], XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus], XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus], XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369SGE8_A0A369SGE8_9METZ tr|A0A369SGE8|A0A369SGE8_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002776 PE=3 SV=1
OG0000003	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]	Trichoplax_specH2_tr_A0A369S631_A0A369S631_9METZ tr|A0A369S631|A0A369S631_9METZ Pro-epidermal growth factor OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005194 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXQ2_A0A369RXQ2_9METZ tr|A0A369RXQ2|A0A369RXQ2_9METZ Fibrillin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008035 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RQB1_A0A369RQB1_9METZ tr|A0A369RQB1|A0A369RQB1_9METZ Fibrillin-1 _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011419 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWH2_A0A369RWH2_9METZ tr|A0A369RWH2|A0A369RWH2_9METZ Fibulin-2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008038 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRG2_A0A369RRG2_9METZ tr|A0A369RRG2|A0A369RRG2_9METZ EGF-like domain-containing protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010065 PE=4 SV=1
OG0000004	XP_024848690.2 cadherin EGF LAG seven-pass G-type receptor 1 isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369RRF2_A0A369RRF2_9METZ tr|A0A369RRF2|A0A369RRF2_9METZ Protocadherin Fat 4 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011401 PE=4 SV=1
OG0000007	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369S010_A0A369S010_9METZ tr|A0A369S010|A0A369S010_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008355 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RY43_A0A369RY43_9METZ tr|A0A369RY43|A0A369RY43_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008351 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RZ11_A0A369RZ11_9METZ tr|A0A369RZ11|A0A369RZ11_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008354 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RYK0_A0A369RYK0_9METZ tr|A0A369RYK0|A0A369RYK0_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008353 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RQ73_A0A369RQ73_9METZ tr|A0A369RQ73|A0A369RQ73_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011343 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RPH5_A0A369RPH5_9METZ tr|A0A369RPH5|A0A369RPH5_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011565 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S4T6_A0A369S4T6_9METZ tr|A0A369S4T6|A0A369S4T6_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007189 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RN78_A0A369RN78_9METZ tr|A0A369RN78|A0A369RN78_9METZ Latent-transforming growth factor beta-binding protein 1 _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011578 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S2P8_A0A369S2P8_9METZ tr|A0A369S2P8|A0A369S2P8_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005647 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWY4_A0A369RWY4_9METZ tr|A0A369RWY4|A0A369RWY4_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008034 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SB42_A0A369SB42_9METZ tr|A0A369SB42|A0A369SB42_9METZ Neurogenic locus notch-like protein 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004605 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXM4_A0A369RXM4_9METZ tr|A0A369RXM4|A0A369RXM4_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008039 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S5X3_A0A369S5X3_9METZ tr|A0A369S5X3|A0A369S5X3_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005312 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXN5_A0A369RXN5_9METZ tr|A0A369RXN5|A0A369RXN5_9METZ Fibrillin-2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008036 PE=3 SV=1, Trichoplax_specH2_tr_A0A369RY18_A0A369RY18_9METZ tr|A0A369RY18|A0A369RY18_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007838 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RNR1_A0A369RNR1_9METZ tr|A0A369RNR1|A0A369RNR1_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011392 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXL3_A0A369RXL3_9METZ tr|A0A369RXL3|A0A369RXL3_9METZ Mucin-like protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007837 PE=4 SV=1
OG0000009	XP_024845605.1 CUB domain-containing protein 2 [Bos taurus]	Trichoplax_specH2_tr_A0A369SFU7_A0A369SFU7_9METZ tr|A0A369SFU7|A0A369SFU7_9METZ Cubilin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002261 PE=4 SV=1
