Orthogroup	Chordata_Vertebrata_Bos_taurus	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000000	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.5902 Ccrux.Trinity.5902, Calvadosia_cruxmelitensis_Ccrux.Trinity.5900 Ccrux.Trinity.5900, Calvadosia_cruxmelitensis_Ccrux.Trinity.22425 Ccrux.Trinity.22425, Calvadosia_cruxmelitensis_Ccrux.Trinity.22427 Ccrux.Trinity.22427, Calvadosia_cruxmelitensis_Ccrux.Trinity.22430 Ccrux.Trinity.22430, Calvadosia_cruxmelitensis_Ccrux.Trinity.4328 Ccrux.Trinity.4328, Calvadosia_cruxmelitensis_Ccrux.Trinity.67978 Ccrux.Trinity.67978, Calvadosia_cruxmelitensis_Ccrux.Trinity.6801 Ccrux.Trinity.6801, Calvadosia_cruxmelitensis_Ccrux.Trinity.6795 Ccrux.Trinity.6795, Calvadosia_cruxmelitensis_Ccrux.Trinity.6803 Ccrux.Trinity.6803, Calvadosia_cruxmelitensis_Ccrux.Trinity.6805 Ccrux.Trinity.6805, Calvadosia_cruxmelitensis_Ccrux.Trinity.70576 Ccrux.Trinity.70576, Calvadosia_cruxmelitensis_Ccrux.Trinity.48270 Ccrux.Trinity.48270, Calvadosia_cruxmelitensis_Ccrux.Trinity.72284 Ccrux.Trinity.72284, Calvadosia_cruxmelitensis_Ccrux.Trinity.8829 Ccrux.Trinity.8829, Calvadosia_cruxmelitensis_Ccrux.Trinity.62736 Ccrux.Trinity.62736, Calvadosia_cruxmelitensis_Ccrux.Trinity.65381 Ccrux.Trinity.65381, Calvadosia_cruxmelitensis_Ccrux.Trinity.68930 Ccrux.Trinity.68930, Calvadosia_cruxmelitensis_Ccrux.Trinity.68932 Ccrux.Trinity.68932, Calvadosia_cruxmelitensis_Ccrux.Trinity.58056 Ccrux.Trinity.58056, Calvadosia_cruxmelitensis_Ccrux.Trinity.27812 Ccrux.Trinity.27812, Calvadosia_cruxmelitensis_Ccrux.Trinity.2270 Ccrux.Trinity.2270, Calvadosia_cruxmelitensis_Ccrux.Trinity.2268 Ccrux.Trinity.2268, Calvadosia_cruxmelitensis_Ccrux.Trinity.56716 Ccrux.Trinity.56716, Calvadosia_cruxmelitensis_Ccrux.Trinity.2269 Ccrux.Trinity.2269
OG0000000	XP_005213566.1 ficolin-2 isoform X2 [Bos taurus], XP_024834735.2 LOW QUALITY PROTEIN_ ficolin-3 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975
OG0000000	NP_001073814.1 angiopoietin-related protein 3 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.16839 Ccrux.Trinity.16839, Calvadosia_cruxmelitensis_Ccrux.Trinity.16840 Ccrux.Trinity.16840, Calvadosia_cruxmelitensis_Ccrux.Trinity.16842 Ccrux.Trinity.16842, Calvadosia_cruxmelitensis_Ccrux.Trinity.76 Ccrux.Trinity.76
OG0000000	NP_777128.1 tenascin-X precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.13478 Ccrux.Trinity.13478, Calvadosia_cruxmelitensis_Ccrux.Trinity.14749 Ccrux.Trinity.14749
OG0000001	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.33421 Ccrux.Trinity.33421
OG0000001	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733
OG0000001	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus], XP_059740913.1 netrin-G1 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.39089 Ccrux.Trinity.39089, Calvadosia_cruxmelitensis_Ccrux.Trinity.39088 Ccrux.Trinity.39088, Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972
OG0000001	NP_001193834.1 netrin-3 precursor [Bos taurus], NP_001179495.1 netrin-1 precursor [Bos taurus], DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427
OG0000002	XP_059736229.1 von Willebrand factor A domain-containing protein 7 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.45769 Ccrux.Trinity.45769
OG0000002	sp|P35445.2|COMP_BOVIN RecName_ Full=Cartilage oligomeric matrix protein; Short=COMP; Flags_ Precursor, NP_001095309.1 thrombospondin-3 precursor [Bos taurus], XP_059746602.1 thrombospondin-4 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.15375 Ccrux.Trinity.15375, Calvadosia_cruxmelitensis_Ccrux.Trinity.15374 Ccrux.Trinity.15374
