Orthogroup	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Homo_sapiens
OG0000000	XP_005210603.1 tenascin isoform X1 [Bos taurus]	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3
OG0000000	XP_010811641.2 tenascin-N isoform X1 [Bos taurus]	Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2
OG0000000	XP_005213566.1 ficolin-2 isoform X2 [Bos taurus]	Homo_sapiens_sp_O00602_FCN1_HUMAN sp|O00602|FCN1_HUMAN Ficolin-1 OS=Homo sapiens OX=9606 GN=FCN1 PE=1 SV=2, Homo_sapiens_sp_Q15485_FCN2_HUMAN sp|Q15485|FCN2_HUMAN Ficolin-2 OS=Homo sapiens OX=9606 GN=FCN2 PE=1 SV=2
OG0000000	XP_024834735.2 LOW QUALITY PROTEIN_ ficolin-3 [Bos taurus]	Homo_sapiens_sp_O75636_FCN3_HUMAN sp|O75636|FCN3_HUMAN Ficolin-3 OS=Homo sapiens OX=9606 GN=FCN3 PE=1 SV=2
OG0000000	XP_005217494.2 fibrinogen alpha chain isoform X1 [Bos taurus], sp|P02672.5|FIBA_BOVIN RecName_ Full=Fibrinogen alpha chain; Contains_ RecName_ Full=Fibrinopeptide A; Contains_ RecName_ Full=Fibrinogen alpha chain; Flags_ Precursor, sp|P02672.5|FIBA_BOVIN RecName_ Full=Fibrinogen alpha chain; Contains_ RecName_ Full=Fibrinopeptide A; Contains_ RecName_ Full=Fibrinogen alpha chain; Flags_ Precursor	Homo_sapiens_sp_P02671_FIBA_HUMAN sp|P02671|FIBA_HUMAN Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2
OG0000000	XP_005226015.1 fibrinogen-like protein 1 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q08830_FGL1_HUMAN sp|Q08830|FGL1_HUMAN Fibrinogen-like protein 1 OS=Homo sapiens OX=9606 GN=FGL1 PE=1 SV=3
OG0000000	NP_001103284.1 angiopoietin-related protein 2 precursor [Bos taurus]	Homo_sapiens_sp_Q9UKU9_ANGL2_HUMAN sp|Q9UKU9|ANGL2_HUMAN Angiopoietin-related protein 2 OS=Homo sapiens OX=9606 GN=ANGPTL2 PE=1 SV=1
OG0000000	XP_005208819.1 angiopoietin-related protein 6 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q8NI99_ANGL6_HUMAN sp|Q8NI99|ANGL6_HUMAN Angiopoietin-related protein 6 OS=Homo sapiens OX=9606 GN=ANGPTL6 PE=1 SV=1
OG0000000	sp|Q24K15.1|ANGP4_BOVIN RecName_ Full=Angiopoietin-4; Short=ANG-4; Flags_ Precursor	Homo_sapiens_sp_Q9Y264_ANGP4_HUMAN sp|Q9Y264|ANGP4_HUMAN Angiopoietin-4 OS=Homo sapiens OX=9606 GN=ANGPT4 PE=1 SV=1
OG0000000	XP_059749109.1 angiopoietin-1 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q15389_ANGP1_HUMAN sp|Q15389|ANGP1_HUMAN Angiopoietin-1 OS=Homo sapiens OX=9606 GN=ANGPT1 PE=1 SV=2
OG0000000	NP_001073814.1 angiopoietin-related protein 3 precursor [Bos taurus]	Homo_sapiens_sp_Q9Y5C1_ANGL3_HUMAN sp|Q9Y5C1|ANGL3_HUMAN Angiopoietin-related protein 3 OS=Homo sapiens OX=9606 GN=ANGPTL3 PE=1 SV=1
OG0000000	sp|Q29RY7.1|FGL2_BOVIN RecName_ Full=Fibroleukin; AltName_ Full=Fibrinogen-like protein 2; Flags_ Precursor	Homo_sapiens_sp_Q14314_FGL2_HUMAN sp|Q14314|FGL2_HUMAN Fibroleukin OS=Homo sapiens OX=9606 GN=FGL2 PE=1 SV=1
OG0000000	NP_777128.1 tenascin-X precursor [Bos taurus]	Homo_sapiens_sp_P22105_TENX_HUMAN sp|P22105|TENX_HUMAN Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=5
OG0000001	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q13753_LAMC2_HUMAN sp|Q13753|LAMC2_HUMAN Laminin subunit gamma-2 OS=Homo sapiens OX=9606 GN=LAMC2 PE=1 SV=2
OG0000001	XP_010803496.1 netrin-4 isoform X2 [Bos taurus]	Homo_sapiens_sp_Q9HB63_NET4_HUMAN sp|Q9HB63|NET4_HUMAN Netrin-4 OS=Homo sapiens OX=9606 GN=NTN4 PE=1 SV=2
OG0000001	XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q13751_LAMB3_HUMAN sp|Q13751|LAMB3_HUMAN Laminin subunit beta-3 OS=Homo sapiens OX=9606 GN=LAMB3 PE=1 SV=1
OG0000001	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus]	Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2
OG0000001	DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]	Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2
OG0000001	sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor	Homo_sapiens_sp_P02751_FINC_HUMAN sp|P02751|FINC_HUMAN Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5
OG0000001	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q96CW9_NTNG2_HUMAN sp|Q96CW9|NTNG2_HUMAN Netrin-G2 OS=Homo sapiens OX=9606 GN=NTNG2 PE=1 SV=2
OG0000001	XP_059740913.1 netrin-G1 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q9Y2I2_NTNG1_HUMAN sp|Q9Y2I2|NTNG1_HUMAN Netrin-G1 OS=Homo sapiens OX=9606 GN=NTNG1 PE=1 SV=3
OG0000001	NP_001193834.1 netrin-3 precursor [Bos taurus]	Homo_sapiens_sp_O00634_NET3_HUMAN sp|O00634|NET3_HUMAN Netrin-3 OS=Homo sapiens OX=9606 GN=NTN3 PE=1 SV=1
OG0000001	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus]	Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3
OG0000001	NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]	Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3
OG0000002	NP_001157407.1 isthmin-1 precursor [Bos taurus]	Homo_sapiens_sp_B1AKI9_ISM1_HUMAN sp|B1AKI9|ISM1_HUMAN Isthmin-1 OS=Homo sapiens OX=9606 GN=ISM1 PE=2 SV=2
