Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Acropora_digitifera
OG0000000	Nematostella_vectensis_NV2t007004001.1 NV2t007004001.1	Acropora_digitifera_adi_v1.08380 adi_v1.08380
OG0000000	Nematostella_vectensis_NV2t003941001.1 NV2t003941001.1	Acropora_digitifera_adi_v1.14253 adi_v1.14253, Acropora_digitifera_adi_v1.08651 adi_v1.08651, Acropora_digitifera_adi_v1.00456 adi_v1.00456, Acropora_digitifera_adi_v1.08650 adi_v1.08650
OG0000000	Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1	Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895
OG0000000	Nematostella_vectensis_NV2t017967001.1 NV2t017967001.1	Acropora_digitifera_adi_v1.19827 adi_v1.19827
OG0000001	Nematostella_vectensis_NV2t020012002.1 NV2t020012002.1, Nematostella_vectensis_NV2t020009001.1 NV2t020009001.1, Nematostella_vectensis_NV2t020012001.1 NV2t020012001.1	Acropora_digitifera_adi_v1.01396 adi_v1.01396
OG0000001	Nematostella_vectensis_NV2t020323001.1 NV2t020323001.1, Nematostella_vectensis_NV2t020323002.1 NV2t020323002.1, Nematostella_vectensis_NV2t024355001.1 NV2t024355001.1, Nematostella_vectensis_NV2t024348001.1 NV2t024348001.1, Nematostella_vectensis_NV2t024359002.1 NV2t024359002.1	Acropora_digitifera_adi_v1.02555 adi_v1.02555
OG0000001	Nematostella_vectensis_NV2t001171001.1 NV2t001171001.1	Acropora_digitifera_adi_v1.16442 adi_v1.16442, Acropora_digitifera_adi_v1.14600 adi_v1.14600
OG0000001	Nematostella_vectensis_NV2t000702003.1 NV2t000702003.1, Nematostella_vectensis_NV2t000702002.1 NV2t000702002.1, Nematostella_vectensis_NV2t000702004.1 NV2t000702004.1, Nematostella_vectensis_NV2t000702005.1 NV2t000702005.1, Nematostella_vectensis_NV2t000702006.1 NV2t000702006.1, Nematostella_vectensis_NV2t000702001.1 NV2t000702001.1	Acropora_digitifera_adi_v1.11962 adi_v1.11962
OG0000001	Nematostella_vectensis_NV2t014222001.1 NV2t014222001.1, Nematostella_vectensis_NV2t014222002.1 NV2t014222002.1	Acropora_digitifera_adi_v1.08764 adi_v1.08764
OG0000001	Nematostella_vectensis_NV2t019077001.1 NV2t019077001.1	Acropora_digitifera_adi_v1.04277 adi_v1.04277
