Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a	Clytia_hemispherica_TCONS_00056369-protein TCONS_00056369-protein, Clytia_hemispherica_TCONS_00036375-protein TCONS_00036375-protein, Clytia_hemispherica_TCONS_00057358-protein TCONS_00057358-protein, Clytia_hemispherica_TCONS_00020582-protein TCONS_00020582-protein, Clytia_hemispherica_TCONS_00019248-protein TCONS_00019248-protein, Clytia_hemispherica_TCONS_00050286-protein TCONS_00050286-protein, Clytia_hemispherica_TCONS_00022360-protein TCONS_00022360-protein, Clytia_hemispherica_TCONS_00053667-protein TCONS_00053667-protein
OG0000000	Ephydatia_muelleri_Em0018g742a Em0018g742a, Ephydatia_muelleri_Em0142g7a Em0142g7a, Ephydatia_muelleri_Em0018g746a Em0018g746a, Ephydatia_muelleri_Em0142g1a Em0142g1a, Ephydatia_muelleri_Em0003g608a Em0003g608a, Ephydatia_muelleri_Em0142g5a Em0142g5a, Ephydatia_muelleri_Em0018g738a Em0018g738a, Ephydatia_muelleri_Em0018g755a Em0018g755a, Ephydatia_muelleri_Em0142g6a Em0142g6a, Ephydatia_muelleri_Em0018g737a Em0018g737a, Ephydatia_muelleri_Em0003g603a Em0003g603a, Ephydatia_muelleri_Em0011g289a Em0011g289a, Ephydatia_muelleri_Em0017g354a Em0017g354a, Ephydatia_muelleri_Em0018g765a Em0018g765a, Ephydatia_muelleri_Em0018g745a Em0018g745a, Ephydatia_muelleri_Em0018g749a Em0018g749a, Ephydatia_muelleri_Em0018g729a Em0018g729a, Ephydatia_muelleri_Em0142g4a Em0142g4a, Ephydatia_muelleri_Em0018g722a Em0018g722a, Ephydatia_muelleri_Em0018g751a Em0018g751a, Ephydatia_muelleri_Em0018g766a Em0018g766a, Ephydatia_muelleri_Em0018g741a Em0018g741a, Ephydatia_muelleri_Em0018g747a Em0018g747a, Ephydatia_muelleri_Em0018g739a Em0018g739a, Ephydatia_muelleri_Em0018g756a Em0018g756a, Ephydatia_muelleri_Em0018g728a Em0018g728a	Clytia_hemispherica_TCONS_00013531-protein TCONS_00013531-protein, Clytia_hemispherica_TCONS_00072131-protein TCONS_00072131-protein, Clytia_hemispherica_TCONS_00018874-protein TCONS_00018874-protein, Clytia_hemispherica_TCONS_00024208-protein TCONS_00024208-protein
OG0000001	Ephydatia_muelleri_Em0009g1115a Em0009g1115a	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein
OG0000001	Ephydatia_muelleri_Em0015g115a Em0015g115a, Ephydatia_muelleri_Em0015g114a Em0015g114a, Ephydatia_muelleri_Em0015g113a Em0015g113a	Clytia_hemispherica_TCONS_00018494-protein TCONS_00018494-protein, Clytia_hemispherica_TCONS_00018496-protein TCONS_00018496-protein
OG0000001	Ephydatia_muelleri_Em0308g1a Em0308g1a, Ephydatia_muelleri_Em0304g1a Em0304g1a, Ephydatia_muelleri_Em0178g1a Em0178g1a, Ephydatia_muelleri_Em0119g1a Em0119g1a, Ephydatia_muelleri_Em0001g2804a Em0001g2804a, Ephydatia_muelleri_Em0610g2a Em0610g2a, Ephydatia_muelleri_Em0001g2801a Em0001g2801a, Ephydatia_muelleri_Em0015g484a Em0015g484a, Ephydatia_muelleri_Em0001g2821a Em0001g2821a, Ephydatia_muelleri_Em0001g2790a Em0001g2790a, Ephydatia_muelleri_Em0542g1a Em0542g1a, Ephydatia_muelleri_Em0607g3a Em0607g3a	Clytia_hemispherica_TCONS_00033925-protein TCONS_00033925-protein, Clytia_hemispherica_TCONS_00058445-protein TCONS_00058445-protein
OG0000001	Ephydatia_muelleri_Em0019g102a Em0019g102a	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein
OG0000001	Ephydatia_muelleri_Em0005g585a Em0005g585a, Ephydatia_muelleri_Em0005g584a Em0005g584a	Clytia_hemispherica_TCONS_00030584-protein TCONS_00030584-protein
OG0000001	Ephydatia_muelleri_Em0023g805a Em0023g805a	Clytia_hemispherica_TCONS_00020951-protein TCONS_00020951-protein
OG0000001	Ephydatia_muelleri_Em0016g530a Em0016g530a	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000002	Ephydatia_muelleri_Em0019g573a Em0019g573a, Ephydatia_muelleri_Em0019g563a Em0019g563a, Ephydatia_muelleri_Em0019g588a Em0019g588a, Ephydatia_muelleri_Em0007g817a Em0007g817a	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein
