Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000000	Ephydatia_muelleri_Em0018g768a Em0018g768a, Ephydatia_muelleri_Em0018g771a Em0018g771a, Ephydatia_muelleri_Em0018g769a Em0018g769a	Stylophora_pistillata_Spis6522 Spis6522 SpisGene6522
OG0000000	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a	Stylophora_pistillata_Spis6532 Spis6532 SpisGene6532, Stylophora_pistillata_Spis22079 Spis22079 SpisGene22079, Stylophora_pistillata_Spis10952 Spis10952 SpisGene10952, Stylophora_pistillata_Spis14746 Spis14746 SpisGene14746, Stylophora_pistillata_Spis8083 Spis8083 SpisGene8083, Stylophora_pistillata_Spis8082 Spis8082 SpisGene8082, Stylophora_pistillata_Spis22076 Spis22076 SpisGene22076, Stylophora_pistillata_Spis18042 Spis18042 SpisGene18042, Stylophora_pistillata_Spis22993 Spis22993 SpisGene22993, Stylophora_pistillata_Spis9885 Spis9885 SpisGene9885, Stylophora_pistillata_Spis22619 Spis22619 SpisGene22619, Stylophora_pistillata_Spis22620 Spis22620 SpisGene22620, Stylophora_pistillata_Spis24695 Spis24695 SpisGene24695, Stylophora_pistillata_Spis17676 Spis17676 SpisGene17676, Stylophora_pistillata_Spis13935 Spis13935 SpisGene13935, Stylophora_pistillata_Spis10579 Spis10579 SpisGene10579, Stylophora_pistillata_Spis22545 Spis22545 SpisGene22545, Stylophora_pistillata_Spis24864 Spis24864 SpisGene24864, Stylophora_pistillata_Spis19503 Spis19503 SpisGene19503, Stylophora_pistillata_Spis12490 Spis12490 SpisGene12490, Stylophora_pistillata_Spis12489 Spis12489 SpisGene12489, Stylophora_pistillata_Spis19236 Spis19236 SpisGene19236, Stylophora_pistillata_Spis19237 Spis19237 SpisGene19237, Stylophora_pistillata_Spis22546 Spis22546 SpisGene22546, Stylophora_pistillata_Spis24624 Spis24624 SpisGene24624, Stylophora_pistillata_Spis19239 Spis19239 SpisGene19239, Stylophora_pistillata_Spis13910 Spis13910 SpisGene13910, Stylophora_pistillata_Spis18528 Spis18528 SpisGene18528, Stylophora_pistillata_Spis19451 Spis19451 SpisGene19451, Stylophora_pistillata_Spis1850 Spis1850 SpisGene1850, Stylophora_pistillata_Spis23981 Spis23981 SpisGene23981, Stylophora_pistillata_Spis5782 Spis5782 SpisGene5782, Stylophora_pistillata_Spis18527 Spis18527 SpisGene18527, Stylophora_pistillata_Spis1852 Spis1852 SpisGene1852, Stylophora_pistillata_Spis23181 Spis23181 SpisGene23181, Stylophora_pistillata_Spis22449 Spis22449 SpisGene22449, Stylophora_pistillata_Spis22450 Spis22450 SpisGene22450, Stylophora_pistillata_Spis12605 Spis12605 SpisGene12605, Stylophora_pistillata_Spis17776 Spis17776 SpisGene17776, Stylophora_pistillata_Spis12307 Spis12307 SpisGene12307, Stylophora_pistillata_Spis23976 Spis23976 SpisGene23976, Stylophora_pistillata_Spis12306 Spis12306 SpisGene12306, Stylophora_pistillata_Spis23675 Spis23675 SpisGene23675, Stylophora_pistillata_Spis5600 Spis5600 SpisGene5600, Stylophora_pistillata_Spis12603 Spis12603 SpisGene12603, Stylophora_pistillata_Spis7189 Spis7189 SpisGene7189, Stylophora_pistillata_Spis23677 Spis23677 SpisGene23677, Stylophora_pistillata_Spis16435 Spis16435 SpisGene16435, Stylophora_pistillata_Spis7226 Spis7226 SpisGene7226, Stylophora_pistillata_Spis22078 Spis22078 SpisGene22078, Stylophora_pistillata_Spis23974 Spis23974 SpisGene23974, Stylophora_pistillata_Spis7191 Spis7191 SpisGene7191, Stylophora_pistillata_Spis23211 Spis23211 SpisGene23211
OG0000001	Ephydatia_muelleri_Em0006g1464a Em0006g1464a, Ephydatia_muelleri_Em0006g1452a Em0006g1452a, Ephydatia_muelleri_Em0006g1465a Em0006g1465a, Ephydatia_muelleri_Em0007g177a Em0007g177a, Ephydatia_muelleri_Em0006g1457a Em0006g1457a, Ephydatia_muelleri_Em0006g1446a Em0006g1446a, Ephydatia_muelleri_Em0006g1438a Em0006g1438a, Ephydatia_muelleri_Em0006g1439a Em0006g1439a, Ephydatia_muelleri_Em0006g1442a Em0006g1442a	Stylophora_pistillata_Spis21911 Spis21911 SpisGene21911
OG0000001	Ephydatia_muelleri_Em0009g1115a Em0009g1115a	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003
OG0000001	Ephydatia_muelleri_Em0015g115a Em0015g115a, Ephydatia_muelleri_Em0015g114a Em0015g114a, Ephydatia_muelleri_Em0015g113a Em0015g113a	Stylophora_pistillata_Spis8306 Spis8306 SpisGene8306, Stylophora_pistillata_Spis9292 Spis9292 SpisGene9292, Stylophora_pistillata_Spis11787 Spis11787 SpisGene11787, Stylophora_pistillata_Spis11782 Spis11782 SpisGene11782, Stylophora_pistillata_Spis18233 Spis18233 SpisGene18233, Stylophora_pistillata_Spis7755 Spis7755 SpisGene7755, Stylophora_pistillata_Spis6005 Spis6005 SpisGene6005, Stylophora_pistillata_Spis16273 Spis16273 SpisGene16273, Stylophora_pistillata_Spis18234 Spis18234 SpisGene18234
OG0000001	Ephydatia_muelleri_Em0021g358a Em0021g358a, Ephydatia_muelleri_Em0021g361a Em0021g361a, Ephydatia_muelleri_Em0003g1623a Em0003g1623a, Ephydatia_muelleri_Em0003g1616a Em0003g1616a, Ephydatia_muelleri_Em0003g1628a Em0003g1628a, Ephydatia_muelleri_Em0011g443a Em0011g443a	Stylophora_pistillata_Spis5109 Spis5109 SpisGene5109, Stylophora_pistillata_Spis11419 Spis11419 SpisGene11419, Stylophora_pistillata_Spis21987 Spis21987 SpisGene21987, Stylophora_pistillata_Spis24610 Spis24610 SpisGene24610, Stylophora_pistillata_Spis22210 Spis22210 SpisGene22210, Stylophora_pistillata_Spis24398 Spis24398 SpisGene24398, Stylophora_pistillata_Spis24081 Spis24081 SpisGene24081, Stylophora_pistillata_Spis24899 Spis24899 SpisGene24899, Stylophora_pistillata_Spis19806 Spis19806 SpisGene19806, Stylophora_pistillata_Spis23518 Spis23518 SpisGene23518, Stylophora_pistillata_Spis20488 Spis20488 SpisGene20488, Stylophora_pistillata_Spis23519 Spis23519 SpisGene23519, Stylophora_pistillata_Spis5097 Spis5097 SpisGene5097, Stylophora_pistillata_Spis5101 Spis5101 SpisGene5101, Stylophora_pistillata_Spis5096 Spis5096 SpisGene5096, Stylophora_pistillata_Spis5106 Spis5106 SpisGene5106, Stylophora_pistillata_Spis5102 Spis5102 SpisGene5102, Stylophora_pistillata_Spis5094 Spis5094 SpisGene5094, Stylophora_pistillata_Spis5093 Spis5093 SpisGene5093, Stylophora_pistillata_Spis5095 Spis5095 SpisGene5095, Stylophora_pistillata_Spis24105 Spis24105 SpisGene24105, Stylophora_pistillata_Spis20490 Spis20490 SpisGene20490, Stylophora_pistillata_Spis22211 Spis22211 SpisGene22211, Stylophora_pistillata_Spis24728 Spis24728 SpisGene24728, Stylophora_pistillata_Spis23949 Spis23949 SpisGene23949, Stylophora_pistillata_Spis12953 Spis12953 SpisGene12953, Stylophora_pistillata_Spis21985 Spis21985 SpisGene21985, Stylophora_pistillata_Spis19805 Spis19805 SpisGene19805, Stylophora_pistillata_Spis5111 Spis5111 SpisGene5111, Stylophora_pistillata_Spis19804 Spis19804 SpisGene19804, Stylophora_pistillata_Spis5105 Spis5105 SpisGene5105, Stylophora_pistillata_Spis19843 Spis19843 SpisGene19843, Stylophora_pistillata_Spis18723 Spis18723 SpisGene18723, Stylophora_pistillata_Spis23389 Spis23389 SpisGene23389, Stylophora_pistillata_Spis25572 Spis25572 SpisGene25572, Stylophora_pistillata_Spis12952 Spis12952 SpisGene12952, Stylophora_pistillata_Spis25533 Spis25533 SpisGene25533
OG0000001	Ephydatia_muelleri_Em0308g1a Em0308g1a, Ephydatia_muelleri_Em0304g1a Em0304g1a, Ephydatia_muelleri_Em0178g1a Em0178g1a, Ephydatia_muelleri_Em0119g1a Em0119g1a, Ephydatia_muelleri_Em0001g2804a Em0001g2804a, Ephydatia_muelleri_Em0610g2a Em0610g2a, Ephydatia_muelleri_Em0001g2801a Em0001g2801a, Ephydatia_muelleri_Em0015g484a Em0015g484a, Ephydatia_muelleri_Em0001g2821a Em0001g2821a, Ephydatia_muelleri_Em0001g2790a Em0001g2790a, Ephydatia_muelleri_Em0542g1a Em0542g1a, Ephydatia_muelleri_Em0607g3a Em0607g3a	Stylophora_pistillata_Spis24427 Spis24427 SpisGene24427, Stylophora_pistillata_Spis19153 Spis19153 SpisGene19153, Stylophora_pistillata_Spis19154 Spis19154 SpisGene19154, Stylophora_pistillata_Spis19157 Spis19157 SpisGene19157, Stylophora_pistillata_Spis18087 Spis18087 SpisGene18087
OG0000001	Ephydatia_muelleri_Em0019g102a Em0019g102a	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356
OG0000001	Ephydatia_muelleri_Em0023g805a Em0023g805a	Stylophora_pistillata_Spis5046 Spis5046 SpisGene5046, Stylophora_pistillata_Spis23102 Spis23102 SpisGene23102
OG0000001	Ephydatia_muelleri_Em0016g530a Em0016g530a	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126
