Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Cnidaria_Anthozoa_Xenia_spec
OG0000000	Ephydatia_muelleri_Em0018g768a Em0018g768a, Ephydatia_muelleri_Em0018g771a Em0018g771a, Ephydatia_muelleri_Em0018g769a Em0018g769a	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126
OG0000000	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140
OG0000001	Ephydatia_muelleri_Em0009g1115a Em0009g1115a	Xenia_spec_Xe_004331_T1 Xe_004331_T1 Xe_004331, Xenia_spec_Xe_004329_T1 Xe_004329_T1 Xe_004329, Xenia_spec_Xe_004227_T1 Xe_004227_T1 Xe_004227, Xenia_spec_Xe_004334_T1 Xe_004334_T1 Xe_004334, Xenia_spec_Xe_004333_T1 Xe_004333_T1 Xe_004333, Xenia_spec_Xe_004326_T1 Xe_004326_T1 Xe_004326, Xenia_spec_Xe_004230_T1 Xe_004230_T1 Xe_004230, Xenia_spec_Xe_004229_T1 Xe_004229_T1 Xe_004229, Xenia_spec_Xe_004209_T1 Xe_004209_T1 Xe_004209, Xenia_spec_Xe_004262_T1 Xe_004262_T1 Xe_004262, Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686
OG0000001	Ephydatia_muelleri_Em0015g115a Em0015g115a, Ephydatia_muelleri_Em0015g114a Em0015g114a, Ephydatia_muelleri_Em0015g113a Em0015g113a	Xenia_spec_Xe_014520_T1 Xe_014520_T1 Xe_014520
OG0000001	Ephydatia_muelleri_Em0019g102a Em0019g102a	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751
OG0000001	Ephydatia_muelleri_Em0016g530a Em0016g530a	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494
OG0000002	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a	Xenia_spec_Xe_012746_T1 Xe_012746_T1 Xe_012746
OG0000004	Ephydatia_muelleri_Em0007g757a Em0007g757a, Ephydatia_muelleri_Em0007g755a Em0007g755a	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396
OG0000004	Ephydatia_muelleri_Em0022g301a Em0022g301a	Xenia_spec_Xe_003341_T1 Xe_003341_T1 Xe_003341, Xenia_spec_Xe_016049_T1 Xe_016049_T1 Xe_016049, Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233, Xenia_spec_Xe_005231_T1 Xe_005231_T1 Xe_005231, Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008
OG0000005	Ephydatia_muelleri_Em0001g1715a Em0001g1715a	Xenia_spec_Xe_013630_T1 Xe_013630_T1 Xe_013630, Xenia_spec_Xe_013630_T2 Xe_013630_T2 Xe_013630, Xenia_spec_Xe_013693_T1 Xe_013693_T1 Xe_013693
OG0000007	Ephydatia_muelleri_Em0019g209a Em0019g209a, Ephydatia_muelleri_Em0007g174a Em0007g174a, Ephydatia_muelleri_Em0009g900a Em0009g900a, Ephydatia_muelleri_Em0009g956a Em0009g956a, Ephydatia_muelleri_Em0009g906a Em0009g906a, Ephydatia_muelleri_Em0009g884a Em0009g884a, Ephydatia_muelleri_Em0009g827a Em0009g827a, Ephydatia_muelleri_Em0051g23a Em0051g23a, Ephydatia_muelleri_Em0051g11a Em0051g11a, Ephydatia_muelleri_Em0009g853a Em0009g853a, Ephydatia_muelleri_Em0009g926a Em0009g926a, Ephydatia_muelleri_Em0009g957a Em0009g957a, Ephydatia_muelleri_Em0020g19a Em0020g19a, Ephydatia_muelleri_Em0001g1320a Em0001g1320a, Ephydatia_muelleri_Em0557g1a Em0557g1a, Ephydatia_muelleri_Em0003g1678a Em0003g1678a, Ephydatia_muelleri_Em0014g245a Em0014g245a	Xenia_spec_Xe_013492_T1 Xe_013492_T1 Xe_013492
OG0000007	Ephydatia_muelleri_Em0010g757a Em0010g757a, Ephydatia_muelleri_Em0010g762a Em0010g762a, Ephydatia_muelleri_Em0382g2a Em0382g2a, Ephydatia_muelleri_Em0462g1a Em0462g1a, Ephydatia_muelleri_Em0010g756a Em0010g756a, Ephydatia_muelleri_Em0418g1a Em0418g1a, Ephydatia_muelleri_Em0002g1565a Em0002g1565a, Ephydatia_muelleri_Em0002g1561a Em0002g1561a, Ephydatia_muelleri_Em0005g97a Em0005g97a, Ephydatia_muelleri_Em0010g209a Em0010g209a, Ephydatia_muelleri_Em0010g239a Em0010g239a, Ephydatia_muelleri_Em0001g3643a Em0001g3643a	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859
