Orthogroup	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	Beroe_ovata_Bova1_4.0354.g11.t1 Bova1_4.0354.g11.t1, Beroe_ovata_Bova1_4.0491.g2.t1 Bova1_4.0491.g2.t1	Mnemiopsis_leidyi_ML035910a ML035910a
OG0000001	Beroe_ovata_Bova1_4.0024.g21.t1 Bova1_4.0024.g21.t1, Beroe_ovata_Bova1_4.0024.g19.t1 Bova1_4.0024.g19.t1, Beroe_ovata_Bova1_4.0024.g19.t2 Bova1_4.0024.g19.t2	Mnemiopsis_leidyi_ML101022a ML101022a
OG0000001	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	Beroe_ovata_Bova1_4.0158.g6.t2 Bova1_4.0158.g6.t2, Beroe_ovata_Bova1_4.0158.g6.t1 Bova1_4.0158.g6.t1, Beroe_ovata_Bova1_4.0158.g6.t3 Bova1_4.0158.g6.t3	Mnemiopsis_leidyi_ML21866a ML21866a
OG0000001	Beroe_ovata_Bova1_4.0314.g2.t1 Bova1_4.0314.g2.t1	Mnemiopsis_leidyi_ML22257a ML22257a
OG0000001	Beroe_ovata_Bova1_4.0078.g20.t1 Bova1_4.0078.g20.t1	Mnemiopsis_leidyi_ML141745a ML141745a
OG0000001	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000002	Beroe_ovata_Bova1_4.0169.g17.t1 Bova1_4.0169.g17.t1	Mnemiopsis_leidyi_ML174724a ML174724a
OG0000002	Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1	Mnemiopsis_leidyi_ML025011a ML025011a
OG0000002	Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1	Mnemiopsis_leidyi_ML15458a ML15458a
OG0000002	Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1	Mnemiopsis_leidyi_ML21527a ML21527a
OG0000002	Beroe_ovata_Bova1_4.0113.g13.t1 Bova1_4.0113.g13.t1	Mnemiopsis_leidyi_ML02152a ML02152a
OG0000002	Beroe_ovata_Bova1_4.0287.g9.t1 Bova1_4.0287.g9.t1, Beroe_ovata_Bova1_4.0287.g10.t1 Bova1_4.0287.g10.t1	Mnemiopsis_leidyi_ML104325a ML104325a
