Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000000	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.5902 Ccrux.Trinity.5902, Calvadosia_cruxmelitensis_Ccrux.Trinity.5900 Ccrux.Trinity.5900, Calvadosia_cruxmelitensis_Ccrux.Trinity.22425 Ccrux.Trinity.22425, Calvadosia_cruxmelitensis_Ccrux.Trinity.22427 Ccrux.Trinity.22427, Calvadosia_cruxmelitensis_Ccrux.Trinity.22430 Ccrux.Trinity.22430, Calvadosia_cruxmelitensis_Ccrux.Trinity.4328 Ccrux.Trinity.4328, Calvadosia_cruxmelitensis_Ccrux.Trinity.67978 Ccrux.Trinity.67978, Calvadosia_cruxmelitensis_Ccrux.Trinity.6801 Ccrux.Trinity.6801, Calvadosia_cruxmelitensis_Ccrux.Trinity.6795 Ccrux.Trinity.6795, Calvadosia_cruxmelitensis_Ccrux.Trinity.6803 Ccrux.Trinity.6803, Calvadosia_cruxmelitensis_Ccrux.Trinity.6805 Ccrux.Trinity.6805, Calvadosia_cruxmelitensis_Ccrux.Trinity.70576 Ccrux.Trinity.70576, Calvadosia_cruxmelitensis_Ccrux.Trinity.48270 Ccrux.Trinity.48270, Calvadosia_cruxmelitensis_Ccrux.Trinity.72284 Ccrux.Trinity.72284, Calvadosia_cruxmelitensis_Ccrux.Trinity.8829 Ccrux.Trinity.8829, Calvadosia_cruxmelitensis_Ccrux.Trinity.62736 Ccrux.Trinity.62736, Calvadosia_cruxmelitensis_Ccrux.Trinity.65381 Ccrux.Trinity.65381, Calvadosia_cruxmelitensis_Ccrux.Trinity.68930 Ccrux.Trinity.68930, Calvadosia_cruxmelitensis_Ccrux.Trinity.68932 Ccrux.Trinity.68932, Calvadosia_cruxmelitensis_Ccrux.Trinity.58056 Ccrux.Trinity.58056, Calvadosia_cruxmelitensis_Ccrux.Trinity.27812 Ccrux.Trinity.27812, Calvadosia_cruxmelitensis_Ccrux.Trinity.2270 Ccrux.Trinity.2270, Calvadosia_cruxmelitensis_Ccrux.Trinity.2268 Ccrux.Trinity.2268, Calvadosia_cruxmelitensis_Ccrux.Trinity.56716 Ccrux.Trinity.56716, Calvadosia_cruxmelitensis_Ccrux.Trinity.2269 Ccrux.Trinity.2269
OG0000000	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975
OG0000000	Coturnix_japonica_XP_015741945.1 angiopoietin-related protein 4 [Coturnix japonica], Coturnix_japonica_XP_015726184.1 angiopoietin-related protein 3 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.16839 Ccrux.Trinity.16839, Calvadosia_cruxmelitensis_Ccrux.Trinity.16840 Ccrux.Trinity.16840, Calvadosia_cruxmelitensis_Ccrux.Trinity.16842 Ccrux.Trinity.16842, Calvadosia_cruxmelitensis_Ccrux.Trinity.76 Ccrux.Trinity.76
OG0000000	Coturnix_japonica_XP_015734076.1 PREDICTED_ tenascin-X [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.13478 Ccrux.Trinity.13478, Calvadosia_cruxmelitensis_Ccrux.Trinity.14749 Ccrux.Trinity.14749
OG0000001	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.33421 Ccrux.Trinity.33421
OG0000001	Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica], Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica], Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733
OG0000001	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.39089 Ccrux.Trinity.39089, Calvadosia_cruxmelitensis_Ccrux.Trinity.39088 Ccrux.Trinity.39088, Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972
OG0000001	Coturnix_japonica_XP_015732925.1 netrin-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica], Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427
OG0000001	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.14897 Ccrux.Trinity.14897, Calvadosia_cruxmelitensis_Ccrux.Trinity.14896 Ccrux.Trinity.14896, Calvadosia_cruxmelitensis_Ccrux.Trinity.1401 Ccrux.Trinity.1401
OG0000002	Coturnix_japonica_XP_015741579.1 cartilage oligomeric matrix protein [Coturnix japonica], Coturnix_japonica_XP_015704105.1 thrombospondin-4 isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.15375 Ccrux.Trinity.15375, Calvadosia_cruxmelitensis_Ccrux.Trinity.15374 Ccrux.Trinity.15374
