Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Insecta_Diptera_Drosophila_melanogaster
OG0000000	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]	Drosophila_melanogaster_tr_Q9VF34_Q9VF34_DROME tr|Q9VF34|Q9VF34_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=FBpp0082632 PE=4 SV=2
OG0000000	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica]	Drosophila_melanogaster_tr_Q9VME7_Q9VME7_DROME tr|Q9VME7|Q9VME7_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=AAF52372 PE=4 SV=4, Drosophila_melanogaster_tr_Q4V4U2_Q4V4U2_DROME tr|Q4V4U2|Q4V4U2_DROME IP08170p OS=Drosophila melanogaster OX=7227 GN=AAF46801 PE=2 SV=1, Drosophila_melanogaster_tr_A1ZAJ8_A1ZAJ8_DROME tr|A1ZAJ8|A1ZAJ8_DROME FI17311p1 OS=Drosophila melanogaster OX=7227 GN=AAL48972 PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4K7T3_A0A0B4K7T3_DROME tr|A0A0B4K7T3|A0A0B4K7T3_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=AAF57948 PE=4 SV=1, Drosophila_melanogaster_tr_Q8SYS3_Q8SYS3_DROME tr|Q8SYS3|Q8SYS3_DROME RE38860p OS=Drosophila melanogaster OX=7227 GN=CG5550 PE=2 SV=1
OG0000000	Coturnix_japonica_XP_015716417.1 fibrinogen alpha chain [Coturnix japonica], Coturnix_japonica_XP_015716415.1 fibrinogen beta chain [Coturnix japonica], Coturnix_japonica_XP_015716494.1 fibrinogen gamma chain [Coturnix japonica], Coturnix_japonica_XP_015717701.1 fibrinogen-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015734889.1 angiopoietin-related protein 2 [Coturnix japonica], Coturnix_japonica_XP_015725101.1 angiopoietin-related protein 1 [Coturnix japonica], Coturnix_japonica_XP_015737920.1 angiopoietin-related protein 7 isoform X1 [Coturnix japonica]	Drosophila_melanogaster_tr_Q9VX04_Q9VX04_DROME tr|Q9VX04|Q9VX04_DROME LP06940p OS=Drosophila melanogaster OX=7227 GN=FBpp0074269 PE=2 SV=2, Drosophila_melanogaster_tr_Q9W302_Q9W302_DROME tr|Q9W302|Q9W302_DROME GH05177p OS=Drosophila melanogaster OX=7227 GN=AAF46535 PE=2 SV=2, Drosophila_melanogaster_tr_M9PHH5_M9PHH5_DROME tr|M9PHH5|M9PHH5_DROME Uncharacterized protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=FBpp0071364 PE=4 SV=1, Drosophila_melanogaster_tr_Q8MR72_Q8MR72_DROME tr|Q8MR72|Q8MR72_DROME GH01991p OS=Drosophila melanogaster OX=7227 GN=AAF46535 PE=2 SV=1, Drosophila_melanogaster_tr_Q9W301_Q9W301_DROME tr|Q9W301|Q9W301_DROME GH12692p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG1889 PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRM2_Q8IRM2_DROME tr|Q8IRM2|Q8IRM2_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=AAN09619 PE=4 SV=2, Drosophila_melanogaster_tr_A1Z7G6_A1Z7G6_DROME tr|A1Z7G6|A1Z7G6_DROME Fibrinogen C-terminal domain-containing protein _Fragment_ OS=Drosophila melanogaster OX=7227 GN=AAF59068 PE=4 SV=2, Drosophila_melanogaster_tr_Q95S38_Q95S38_DROME tr|Q95S38|Q95S38_DROME GM10015p OS=Drosophila melanogaster OX=7227 GN=CG10359 PE=2 SV=1, Drosophila_melanogaster_tr_B7Z0B3_B7Z0B3_DROME tr|B7Z0B3|B7Z0B3_DROME Uncharacterized protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=AAF47782 PE=1 SV=1, Drosophila_melanogaster_tr_Q9VZN7_Q9VZN7_DROME tr|Q9VZN7|Q9VZN7_DROME RE57309p OS=Drosophila melanogaster OX=7227 GN=CG10359 PE=2 SV=2, Drosophila_melanogaster_tr_B7Z0B2_B7Z0B2_DROME tr|B7Z0B2|B7Z0B2_DROME Uncharacterized protein_ isoform E OS=Drosophila melanogaster OX=7227 GN=AAF47782 PE=1 SV=1
OG0000000	Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica], Coturnix_japonica_XP_015714782.1 angiopoietin-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica]	Drosophila_melanogaster_tr_E8Z4Z6_E8Z4Z6_DROME tr|E8Z4Z6|E8Z4Z6_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=4 SV=1, Drosophila_melanogaster_tr_Q5BIB8_Q5BIB8_DROME tr|Q5BIB8|Q5BIB8_DROME RE19569p OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=2 SV=1, Drosophila_melanogaster_tr_A8QHX1_A8QHX1_DROME tr|A8QHX1|A8QHX1_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=Dmel\CG41520 PE=4 SV=1
OG0000000	Coturnix_japonica_XP_015741945.1 angiopoietin-related protein 4 [Coturnix japonica], Coturnix_japonica_XP_015726184.1 angiopoietin-related protein 3 [Coturnix japonica]	Drosophila_melanogaster_sp_P21520_SCA_DROME sp|P21520|SCA_DROME Protein scabrous OS=Drosophila melanogaster OX=7227 GN=sca PE=2 SV=3
OG0000001	Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica], Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica], Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]	Drosophila_melanogaster_sp_P11046_LAMB1_DROME sp|P11046|LAMB1_DROME Laminin subunit beta-1 OS=Drosophila melanogaster OX=7227 GN=LanB1 PE=1 SV=4
OG0000001	Coturnix_japonica_XP_015732925.1 netrin-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica]	Drosophila_melanogaster_sp_Q24567_NETA_DROME sp|Q24567|NETA_DROME Netrin-A OS=Drosophila melanogaster OX=7227 GN=NetA PE=2 SV=2, Drosophila_melanogaster_tr_X2JEZ9_X2JEZ9_DROME tr|X2JEZ9|X2JEZ9_DROME Netrin-A_ isoform C OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1, Drosophila_melanogaster_tr_M9NF48_M9NF48_DROME tr|M9NF48|M9NF48_DROME Netrin-A_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1
OG0000001	Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	Drosophila_melanogaster_tr_X2JAW6_X2JAW6_DROME tr|X2JAW6|X2JAW6_DROME Laminin B2_ isoform B OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=4 SV=1, Drosophila_melanogaster_sp_P15215_LAMC1_DROME sp|P15215|LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=2 SV=2
OG0000001	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]	Drosophila_melanogaster_tr_Q9XZC9_Q9XZC9_DROME tr|Q9XZC9|Q9XZC9_DROME Laminin alpha1_2 OS=Drosophila melanogaster OX=7227 GN=wb PE=2 SV=1, Drosophila_melanogaster_tr_Q8IP51_Q8IP51_DROME tr|Q8IP51|Q8IP51_DROME Wing blister_ isoform B OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1, Drosophila_melanogaster_tr_R9PY40_R9PY40_DROME tr|R9PY40|R9PY40_DROME Wing blister_ isoform G OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1
OG0000002	Coturnix_japonica_XP_015741579.1 cartilage oligomeric matrix protein [Coturnix japonica], Coturnix_japonica_XP_015704105.1 thrombospondin-4 isoform X1 [Coturnix japonica]	Drosophila_melanogaster_tr_Q968S4_Q968S4_DROME tr|Q968S4|Q968S4_DROME Putative thrombospondin OS=Drosophila melanogaster OX=7227 GN=Tsp PE=2 SV=1, Drosophila_melanogaster_tr_Q9VM97_Q9VM97_DROME tr|Q9VM97|Q9VM97_DROME Thrombospondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=2, Drosophila_melanogaster_tr_B7Z030_B7Z030_DROME tr|B7Z030|B7Z030_DROME Thrombospondin_ isoform G OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=1
