Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Bos_taurus
OG0000000	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica]	XP_005210603.1 tenascin isoform X1 [Bos taurus]
OG0000000	Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]	XP_010811641.2 tenascin-N isoform X1 [Bos taurus]
OG0000000	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica]	XP_005213566.1 ficolin-2 isoform X2 [Bos taurus], XP_024834735.2 LOW QUALITY PROTEIN_ ficolin-3 [Bos taurus]
OG0000000	Coturnix_japonica_XP_015716417.1 fibrinogen alpha chain [Coturnix japonica]	XP_005217494.2 fibrinogen alpha chain isoform X1 [Bos taurus], sp|P02672.5|FIBA_BOVIN RecName_ Full=Fibrinogen alpha chain; Contains_ RecName_ Full=Fibrinopeptide A; Contains_ RecName_ Full=Fibrinogen alpha chain; Flags_ Precursor, sp|P02672.5|FIBA_BOVIN RecName_ Full=Fibrinogen alpha chain; Contains_ RecName_ Full=Fibrinopeptide A; Contains_ RecName_ Full=Fibrinogen alpha chain; Flags_ Precursor
OG0000000	Coturnix_japonica_XP_015717701.1 fibrinogen-like protein 1 [Coturnix japonica]	XP_005226015.1 fibrinogen-like protein 1 isoform X1 [Bos taurus]
OG0000000	Coturnix_japonica_XP_015734889.1 angiopoietin-related protein 2 [Coturnix japonica]	NP_001103284.1 angiopoietin-related protein 2 precursor [Bos taurus]
OG0000000	Coturnix_japonica_XP_015725101.1 angiopoietin-related protein 1 [Coturnix japonica]	sp|Q1RMR1.1|ANGL1_BOVIN RecName_ Full=Angiopoietin-related protein 1; AltName_ Full=Angiopoietin-like protein 1; Flags_ Precursor
OG0000000	Coturnix_japonica_XP_015737920.1 angiopoietin-related protein 7 isoform X1 [Coturnix japonica]	sp|Q5EA66.1|ANGL7_BOVIN RecName_ Full=Angiopoietin-related protein 7; AltName_ Full=Angiopoietin-like protein 7; Flags_ Precursor
OG0000000	Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica]	sp|Q24K15.1|ANGP4_BOVIN RecName_ Full=Angiopoietin-4; Short=ANG-4; Flags_ Precursor
OG0000000	Coturnix_japonica_XP_015714782.1 angiopoietin-2 isoform X2 [Coturnix japonica]	sp|O77802.3|ANGP2_BOVIN RecName_ Full=Angiopoietin-2; Short=ANG-2; Flags_ Precursor
OG0000000	Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica]	XP_059749109.1 angiopoietin-1 isoform X1 [Bos taurus]
OG0000000	Coturnix_japonica_XP_015726184.1 angiopoietin-related protein 3 [Coturnix japonica]	NP_001073814.1 angiopoietin-related protein 3 precursor [Bos taurus]
OG0000000	Coturnix_japonica_XP_015707743.1 angiopoietin-related protein 5 [Coturnix japonica]	NP_001121541.1 angiopoietin-related protein 5 precursor [Bos taurus]
OG0000000	Coturnix_japonica_XP_015738452.1 fibroleukin [Coturnix japonica]	sp|Q29RY7.1|FGL2_BOVIN RecName_ Full=Fibroleukin; AltName_ Full=Fibrinogen-like protein 2; Flags_ Precursor
OG0000000	Coturnix_japonica_XP_015734076.1 PREDICTED_ tenascin-X [Coturnix japonica]	NP_777128.1 tenascin-X precursor [Bos taurus]
OG0000001	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]
OG0000001	Coturnix_japonica_XP_015714020.1 netrin-4 isoform X2 [Coturnix japonica]	XP_010803496.1 netrin-4 isoform X2 [Bos taurus]
OG0000001	Coturnix_japonica_XP_015740591.1 laminin subunit beta-3 [Coturnix japonica]	XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus]
OG0000001	Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica]	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus]
OG0000001	Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]	DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]
OG0000001	Coturnix_japonica_XP_015723463.1 PREDICTED_ fibronectin isoform X1 [Coturnix japonica]	sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor
OG0000001	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica]	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus]
OG0000001	Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]	XP_059740913.1 netrin-G1 isoform X1 [Bos taurus]
OG0000001	Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica]	NP_001179495.1 netrin-1 precursor [Bos taurus]
