Orthogroup	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Chordata_Vertebrata_Mus_musculus
OG0000000	Monosiga_brevicollisXP_001746832.1 XP_001746832.1 uncharacterized protein MONBRDRAFT_37540 [Monosiga brevicollis MX1]	Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q80Z71_TENN_MOUSE sp_Q80Z71_TENN_MOUSE Tenascin-N OS=Mus musculus OX=10090 GN=Tnn PE=1 SV=2
OG0000001	Monosiga_brevicollisXP_001747261.1 XP_001747261.1 uncharacterized protein MONBRDRAFT_26825 [Monosiga brevicollis MX1]	Mus_musculus_sp_Q8R4F1_NTNG2_MOUSE sp_Q8R4F1_NTNG2_MOUSE Netrin-G2 OS=Mus musculus OX=10090 GN=Ntng2 PE=1 SV=2, Mus_musculus_sp_Q9R1A3_NET3_MOUSE sp_Q9R1A3_NET3_MOUSE Netrin-3 OS=Mus musculus OX=10090 GN=Ntn3 PE=2 SV=1, Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3, Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2, Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2
OG0000003	Monosiga_brevicollisXP_001747347.1 XP_001747347.1 uncharacterized protein MONBRDRAFT_26977 [Monosiga brevicollis MX1]	Mus_musculus_sp_Q3SXB8_COL11_MOUSE sp_Q3SXB8_COL11_MOUSE Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2, Mus_musculus_sp_P35242_SFTPA_MOUSE sp_P35242_SFTPA_MOUSE Pulmonary surfactant-associated protein A OS=Mus musculus OX=10090 GN=Sftpa1 PE=1 SV=1, Mus_musculus_sp_P50404_SFTPD_MOUSE sp_P50404_SFTPD_MOUSE Pulmonary surfactant-associated protein D OS=Mus musculus OX=10090 GN=Sftpd PE=1 SV=1, Mus_musculus_sp_P41317_MBL2_MOUSE sp_P41317_MBL2_MOUSE Mannose-binding protein C OS=Mus musculus OX=10090 GN=Mbl2 PE=1 SV=2, Mus_musculus_sp_P39039_MBL1_MOUSE sp_P39039_MBL1_MOUSE Mannose-binding protein A OS=Mus musculus OX=10090 GN=Mbl1 PE=1 SV=1
OG0000020	Monosiga_brevicollisXP_001744748.1 XP_001744748.1 uncharacterized protein MONBRDRAFT_31893 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001744747.1 XP_001744747.1 uncharacterized protein MONBRDRAFT_31892 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001747370.1 XP_001747370.1 uncharacterized protein MONBRDRAFT_26818 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001746863.1 XP_001746863.1 uncharacterized protein MONBRDRAFT_9251 [Monosiga brevicollis MX1]	Mus_musculus_sp_Q30D77_COOA1_MOUSE sp_Q30D77_COOA1_MOUSE Collagen alpha-1_XXIV_ chain OS=Mus musculus OX=10090 GN=Col24a1 PE=2 SV=2, Mus_musculus_sp_Q5QNQ9_CORA1_MOUSE sp_Q5QNQ9_CORA1_MOUSE Collagen alpha-1_XXVII_ chain OS=Mus musculus OX=10090 GN=Col27a1 PE=2 SV=1
OG0000022	Monosiga_brevicollisXP_001747606.1 XP_001747606.1 uncharacterized protein MONBRDRAFT_33246 [Monosiga brevicollis MX1]	Mus_musculus_sp_Q07076_ANXA7_MOUSE sp_Q07076_ANXA7_MOUSE Annexin A7 OS=Mus musculus OX=10090 GN=Anxa7 PE=1 SV=2
OG0000022	Monosiga_brevicollisXP_001742719.1 XP_001742719.1 uncharacterized protein MONBRDRAFT_13571 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750641.1 XP_001750641.1 uncharacterized protein MONBRDRAFT_39240 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745791.1 XP_001745791.1 uncharacterized protein MONBRDRAFT_37066 [Monosiga brevicollis MX1]	Mus_musculus_sp_Q99JG3_ANX13_MOUSE sp_Q99JG3_ANX13_MOUSE Annexin A13 OS=Mus musculus OX=10090 GN=Anxa13 PE=1 SV=3
OG0000030	Monosiga_brevicollisXP_001742741.1 XP_001742741.1 uncharacterized protein MONBRDRAFT_22277 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001742663.1 XP_001742663.1 uncharacterized protein MONBRDRAFT_22131 [Monosiga brevicollis MX1]	Mus_musculus_sp_Q9Z0F8_ADA17_MOUSE sp_Q9Z0F8_ADA17_MOUSE Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3
OG0000030	Monosiga_brevicollisXP_001744603.1 XP_001744603.1 uncharacterized protein MONBRDRAFT_36614 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750336.1 XP_001750336.1 uncharacterized protein MONBRDRAFT_29860 [Monosiga brevicollis MX1]	Mus_musculus_sp_O35598_ADA10_MOUSE sp_O35598_ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2
OG0000034	Monosiga_brevicollisXP_001748540.1 XP_001748540.1 uncharacterized protein MONBRDRAFT_38323 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745303.1 XP_001745303.1 uncharacterized protein MONBRDRAFT_24778 [Monosiga brevicollis MX1]	Mus_musculus_sp_P60882_MEGF8_MOUSE sp_P60882_MEGF8_MOUSE Multiple epidermal growth factor-like domains protein 8 OS=Mus musculus OX=10090 GN=Megf8 PE=1 SV=2
OG0000041	Monosiga_brevicollisXP_001746473.1 XP_001746473.1 uncharacterized protein MONBRDRAFT_8767 [Monosiga brevicollis MX1]	Mus_musculus_sp_Q99KC8_VMA5A_MOUSE sp_Q99KC8_VMA5A_MOUSE von Willebrand factor A domain-containing protein 5A OS=Mus musculus OX=10090 GN=Vwa5a PE=1 SV=2, Mus_musculus_sp_A9Z1V5_VW5B1_MOUSE sp_A9Z1V5_VW5B1_MOUSE von Willebrand factor A domain-containing protein 5B1 OS=Mus musculus OX=10090 GN=Vwa5b1 PE=2 SV=1
