Orthogroup	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Chordata_Vertebrata_Homo_sapiens
OG0000000	Monosiga_brevicollisXP_001746832.1 XP_001746832.1 uncharacterized protein MONBRDRAFT_37540 [Monosiga brevicollis MX1]	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3, Homo_sapiens_sp_Q92752_TENR_HUMAN sp|Q92752|TENR_HUMAN Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3, Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2
OG0000001	Monosiga_brevicollisXP_001747261.1 XP_001747261.1 uncharacterized protein MONBRDRAFT_26825 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q96CW9_NTNG2_HUMAN sp|Q96CW9|NTNG2_HUMAN Netrin-G2 OS=Homo sapiens OX=9606 GN=NTNG2 PE=1 SV=2, Homo_sapiens_sp_Q9Y2I2_NTNG1_HUMAN sp|Q9Y2I2|NTNG1_HUMAN Netrin-G1 OS=Homo sapiens OX=9606 GN=NTNG1 PE=1 SV=3, Homo_sapiens_sp_O00634_NET3_HUMAN sp|O00634|NET3_HUMAN Netrin-3 OS=Homo sapiens OX=9606 GN=NTN3 PE=1 SV=1, Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3, Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3
OG0000003	Monosiga_brevicollisXP_001747347.1 XP_001747347.1 uncharacterized protein MONBRDRAFT_26977 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1, Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2, Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2
OG0000011	Monosiga_brevicollisXP_001742257.1 XP_001742257.1 uncharacterized protein MONBRDRAFT_22219 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q96FE7_P3IP1_HUMAN sp|Q96FE7|P3IP1_HUMAN Phosphoinositide-3-kinase-interacting protein 1 OS=Homo sapiens OX=9606 GN=PIK3IP1 PE=1 SV=2
OG0000020	Monosiga_brevicollisXP_001744748.1 XP_001744748.1 uncharacterized protein MONBRDRAFT_31893 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001744747.1 XP_001744747.1 uncharacterized protein MONBRDRAFT_31892 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001747370.1 XP_001747370.1 uncharacterized protein MONBRDRAFT_26818 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001746863.1 XP_001746863.1 uncharacterized protein MONBRDRAFT_9251 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q17RW2_COOA1_HUMAN sp|Q17RW2|COOA1_HUMAN Collagen alpha-1_XXIV_ chain OS=Homo sapiens OX=9606 GN=COL24A1 PE=1 SV=2, Homo_sapiens_sp_Q8IZC6_CORA1_HUMAN sp|Q8IZC6|CORA1_HUMAN Collagen alpha-1_XXVII_ chain OS=Homo sapiens OX=9606 GN=COL27A1 PE=1 SV=1
OG0000022	Monosiga_brevicollisXP_001747606.1 XP_001747606.1 uncharacterized protein MONBRDRAFT_33246 [Monosiga brevicollis MX1]	Homo_sapiens_sp_P20073_ANXA7_HUMAN sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3
OG0000022	Monosiga_brevicollisXP_001742719.1 XP_001742719.1 uncharacterized protein MONBRDRAFT_13571 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750641.1 XP_001750641.1 uncharacterized protein MONBRDRAFT_39240 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745791.1 XP_001745791.1 uncharacterized protein MONBRDRAFT_37066 [Monosiga brevicollis MX1]	Homo_sapiens_sp_P27216_ANX13_HUMAN sp|P27216|ANX13_HUMAN Annexin A13 OS=Homo sapiens OX=9606 GN=ANXA13 PE=1 SV=3
OG0000030	Monosiga_brevicollisXP_001742741.1 XP_001742741.1 uncharacterized protein MONBRDRAFT_22277 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001742663.1 XP_001742663.1 uncharacterized protein MONBRDRAFT_22131 [Monosiga brevicollis MX1]	Homo_sapiens_sp_P78536_ADA17_HUMAN sp|P78536|ADA17_HUMAN Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ADAM17 PE=1 SV=1
OG0000030	Monosiga_brevicollisXP_001744603.1 XP_001744603.1 uncharacterized protein MONBRDRAFT_36614 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750336.1 XP_001750336.1 uncharacterized protein MONBRDRAFT_29860 [Monosiga brevicollis MX1]	Homo_sapiens_sp_O14672_ADA10_HUMAN sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1
OG0000034	Monosiga_brevicollisXP_001748540.1 XP_001748540.1 uncharacterized protein MONBRDRAFT_38323 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745303.1 XP_001745303.1 uncharacterized protein MONBRDRAFT_24778 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q7Z7M0_MEGF8_HUMAN sp|Q7Z7M0|MEGF8_HUMAN Multiple epidermal growth factor-like domains protein 8 OS=Homo sapiens OX=9606 GN=MEGF8 PE=1 SV=2
