Orthogroup	Chordata_Amphioxiformes_Branchiostoma_floridae	Cnidaria_Anthozoa_Porites_asteroides
OG0000000	Branchiostoma_floridae_tr_A0A9J7MD53_A0A9J7MD53_BRAFL tr|A0A9J7MD53|A0A9J7MD53_BRAFL Multiple epidermal growth factor-like domains protein 10 OS=Branchiostoma floridae OX=7739 GN=LOC118431380 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7M933_A0A9J7M933_BRAFL tr|A0A9J7M933|A0A9J7M933_BRAFL Uncharacterized protein LOC118430220 OS=Branchiostoma floridae OX=7739 GN=LOC118430220 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KGT7_A0A9J7KGT7_BRAFL tr|A0A9J7KGT7|A0A9J7KGT7_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118404428 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MGQ0_A0A9J7MGQ0_BRAFL tr|A0A9J7MGQ0|A0A9J7MGQ0_BRAFL Uncharacterized protein LOC118432302 OS=Branchiostoma floridae OX=7739 GN=LOC118432302 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MD08_A0A9J7MD08_BRAFL tr|A0A9J7MD08|A0A9J7MD08_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118431514 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MDI9_A0A9J7MDI9_BRAFL tr|A0A9J7MDI9|A0A9J7MDI9_BRAFL Uncharacterized protein LOC118431516 OS=Branchiostoma floridae OX=7739 GN=LOC118431516 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7K652_A0A9J7K652_BRAFL tr|A0A9J7K652|A0A9J7K652_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118403700 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HI59_A0A9J7HI59_BRAFL tr|A0A9J7HI59|A0A9J7HI59_BRAFL Fibrinogen C domain-containing protein 1-B-like OS=Branchiostoma floridae OX=7739 GN=LOC118403710 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MHJ4_A0A9J7MHJ4_BRAFL tr|A0A9J7MHJ4|A0A9J7MHJ4_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118432145 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MGN8_A0A9J7MGN8_BRAFL tr|A0A9J7MGN8|A0A9J7MGN8_BRAFL Fibrillin-3-like OS=Branchiostoma floridae OX=7739 GN=LOC118432276 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KLY8_A0A9J7KLY8_BRAFL tr|A0A9J7KLY8|A0A9J7KLY8_BRAFL Uncharacterized protein LOC118409034 OS=Branchiostoma floridae OX=7739 GN=LOC118409034 PE=4 SV=1	Porites_asteroides_isotig06298 isotig06298 extracted_CDS gene=isogroup04566 length=931 numContigs=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7L8L7_A0A9J7L8L7_BRAFL tr|A0A9J7L8L7|A0A9J7L8L7_BRAFL Angiopoietin-related protein 3-like OS=Branchiostoma floridae OX=7739 GN=LOC118416624 PE=4 SV=1	Porites_asteroides_GCKDGN103G3H3D GCKDGN103G3H3D extracted_CDS GOMatch=C3XRU3 GOTerms=GO_0005102_GO_0005615_GO_0007165 length=440 region=3 run=R_2010_02_19_08_49_25_ xy=2793_0711
OG0000000	Branchiostoma_floridae_tr_A0A9J7L655_A0A9J7L655_BRAFL tr|A0A9J7L655|A0A9J7L655_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118416068 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LWF4_A0A9J7LWF4_BRAFL tr|A0A9J7LWF4|A0A9J7LWF4_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118425081 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N1V3_A0A9J7N1V3_BRAFL tr|A0A9J7N1V3|A0A9J7N1V3_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425066 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N4U7_A0A9J7N4U7_BRAFL tr|A0A9J7N4U7|A0A9J7N4U7_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118425068 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LTT2_A0A9J7LTT2_BRAFL tr|A0A9J7LTT2|A0A9J7LTT2_BRAFL Fibroleukin-like OS=Branchiostoma floridae OX=7739 GN=LOC118424470 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N4V2_A0A9J7N4V2_BRAFL tr|A0A9J7N4V2|A0A9J7N4V2_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425083 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LX10_A0A9J7LX10_BRAFL tr|A0A9J7LX10|A0A9J7LX10_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425108 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N802_A0A9J7N802_BRAFL tr|A0A9J7N802|A0A9J7N802_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118428627 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M4U9_A0A9J7M4U9_BRAFL tr|A0A9J7M4U9|A0A9J7M4U9_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118428628 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LWE4_A0A9J7LWE4_BRAFL tr|A0A9J7LWE4|A0A9J7LWE4_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425067 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N061_A0A9J7N061_BRAFL tr|A0A9J7N061|A0A9J7N061_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118423774 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N3D1_A0A9J7N3D1_BRAFL tr|A0A9J7N3D1|A0A9J7N3D1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118423963 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N516_A0A9J7N516_BRAFL tr|A0A9J7N516|A0A9J7N516_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425065 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N2Z2_A0A9J7N2Z2_BRAFL tr|A0A9J7N2Z2|A0A9J7N2Z2_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425069 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LT92_A0A9J7LT92_BRAFL tr|A0A9J7LT92|A0A9J7LT92_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118423962 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L3Q8_A0A9J7L3Q8_BRAFL tr|A0A9J7L3Q8|A0A9J7L3Q8_BRAFL Techylectin-5A-like OS=Branchiostoma floridae OX=7739 GN=LOC118414762 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MDK1_A0A9J7MDK1_BRAFL tr|A0A9J7MDK1|A0A9J7MDK1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431696 PE=4 SV=1	Porites_asteroides_isotig04154 isotig04154 extracted_CDS GOMatch=A7SD41 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Ficolin-2_ Match_Acc=Q15485 gene=isogroup02422 length=1361 numContigs=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7N0A1_A0A9J7N0A1_BRAFL tr|A0A9J7N0A1|A0A9J7N0A1_BRAFL Uncharacterized protein LOC118421761 OS=Branchiostoma floridae OX=7739 GN=LOC118421761 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZB8_A0A9J7MZB8_BRAFL tr|A0A9J7MZB8|A0A9J7MZB8_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421299 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY72_A0A9J7MY72_BRAFL tr|A0A9J7MY72|A0A9J7MY72_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421300 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNR3_A0A9J7LNR3_BRAFL tr|A0A9J7LNR3|A0A9J7LNR3_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421760 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL47_A0A9J7LL47_BRAFL tr|A0A9J7LL47|A0A9J7LL47_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421615 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MF63_A0A9J7MF63_BRAFL tr|A0A9J7MF63|A0A9J7MF63_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431928 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MC07_A0A9J7MC07_BRAFL tr|A0A9J7MC07|A0A9J7MC07_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118431100 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAD2_A0A9J7MAD2_BRAFL tr|A0A9J7MAD2|A0A9J7MAD2_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118430281 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MWL1_A0A9J7MWL1_BRAFL tr|A0A9J7MWL1|A0A9J7MWL1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421173 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL70_A0A9J7LL70_BRAFL tr|A0A9J7LL70|A0A9J7LL70_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421145 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY04_A0A9J7MY04_BRAFL tr|A0A9J7MY04|A0A9J7MY04_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118421176 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ66_A0A9J7MZ66_BRAFL tr|A0A9J7MZ66|A0A9J7MZ66_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421175 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LJY3_A0A9J7LJY3_BRAFL tr|A0A9J7LJY3|A0A9J7LJY3_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421177 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ41_A0A9J7MZ41_BRAFL tr|A0A9J7MZ41|A0A9J7MZ41_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421102 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LM23_A0A9J7LM23_BRAFL tr|A0A9J7LM23|A0A9J7LM23_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421181 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LRW3_A0A9J7LRW3_BRAFL tr|A0A9J7LRW3|A0A9J7LRW3_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423398 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYB9_A0A9J7MYB9_BRAFL tr|A0A9J7MYB9|A0A9J7MYB9_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421402 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HW56_A0A9J7HW56_BRAFL tr|A0A9J7HW56|A0A9J7HW56_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118408877 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N0I8_A0A9J7N0I8_BRAFL tr|A0A9J7N0I8|A0A9J7N0I8_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422273 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ57_A0A9J7LQ57_BRAFL tr|A0A9J7LQ57|A0A9J7LQ57_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422563 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ44_A0A9J7LQ44_BRAFL tr|A0A9J7LQ44|A0A9J7LQ44_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422564 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNA7_A0A9J7LNA7_BRAFL tr|A0A9J7LNA7|A0A9J7LNA7_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422559 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LRV7_A0A9J7LRV7_BRAFL tr|A0A9J7LRV7|A0A9J7LRV7_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423194 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LT20_A0A9J7LT20_BRAFL tr|A0A9J7LT20|A0A9J7LT20_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423617 PE=4 SV=1	Porites_asteroides_isotig25684 isotig25684 extracted_CDS GOMatch=C3Y0I4 GOTerms=GO_0005102_GO_0007165 Gene=Ficolin__Collagen_fibrinogen_domain_containing__3__Hakata_antig en__ Match_Acc=Q6DIT6 gene=isogroup23952 length=322 numContigs=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7LX30_A0A9J7LX30_BRAFL tr|A0A9J7LX30|A0A9J7LX30_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425063 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7ME75_A0A9J7ME75_BRAFL tr|A0A9J7ME75|A0A9J7ME75_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118432117 PE=4 SV=1	Porites_asteroides_isotig14916 isotig14916 extracted_CDS GOMatch=A7RST9 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Fgl2_protein__Fragment__ Match_Acc=Q32Q89 gene=isogroup13184 length=481 numContigs=1, Porites_asteroides_isotig15725 isotig15725 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Angiopoietin_4_ Match_Acc=Q3V0P7 gene=isogroup13993 length=465 numContigs=1, Porites_asteroides_isotig19598 isotig19598 extracted_CDS GOMatch=A7SYM0 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Angiopoietin-2_ Match_Acc=Q90Z18 gene=isogroup17866 length=402 numContigs=1, Porites_asteroides_isotig00422 isotig00422 extracted_CDS GOMatch=C3Y2N6 GOTerms=GO_0005102_GO_0005509_GO_0005615_GO_0007165 gene=isogroup00103 length=824 numContigs=3, Porites_asteroides_isotig00423 isotig00423 extracted_CDS GOMatch=C3Y2N6 GOTerms=GO_0005102_GO_0005509_GO_0005615_GO_0007165 gene=isogroup00103 length=790 numContigs=3, Porites_asteroides_isotig16023 isotig16023 extracted_CDS GOMatch=A7S8V8 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup14291 length=457 numContigs=1
OG0000001	Branchiostoma_floridae_tr_A0A9J7KIY4_A0A9J7KIY4_BRAFL tr|A0A9J7KIY4|A0A9J7KIY4_BRAFL Laminin subunit beta-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118408876 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLZ4_A0A9J7LLZ4_BRAFL tr|A0A9J7LLZ4|A0A9J7LLZ4_BRAFL Laminin subunit gamma-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421980 PE=4 SV=1	Porites_asteroides_isotig15880 isotig15880 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=Q2QI47 gene=isogroup14148 length=459 numContigs=1
OG0000001	Branchiostoma_floridae_tr_A0A9J7MKF1_A0A9J7MKF1_BRAFL tr|A0A9J7MKF1|A0A9J7MKF1_BRAFL Neogenin-like OS=Branchiostoma floridae OX=7739 GN=LOC118412265 PE=3 SV=1	Porites_asteroides_isotig03262 isotig03262 extracted_CDS GOMatch=Q3S3D7 GOTerms=GO_0016021 Gene=NEO1_protein_ Match_Acc=B7ZKN0 gene=isogroup01530 length=2269 numContigs=1
OG0000001	Branchiostoma_floridae_tr_A0A9J7MK86_A0A9J7MK86_BRAFL tr|A0A9J7MK86|A0A9J7MK86_BRAFL Protogenin-like OS=Branchiostoma floridae OX=7739 GN=LOC118411915 PE=4 SV=1	Porites_asteroides_isotig30055 isotig30055 extracted_CDS gene=isogroup28323 length=227 numContigs=1
OG0000001	Branchiostoma_floridae_tr_A0A9J7MY77_A0A9J7MY77_BRAFL tr|A0A9J7MY77|A0A9J7MY77_BRAFL Tenascin-X-like OS=Branchiostoma floridae OX=7739 GN=LOC118421312 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7M7H3_A0A9J7M7H3_BRAFL tr|A0A9J7M7H3|A0A9J7M7H3_BRAFL Phosphatidylinositol phosphatase PTPRQ-like OS=Branchiostoma floridae OX=7739 GN=LOC118429282 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NAS6_A0A9J7NAS6_BRAFL tr|A0A9J7NAS6|A0A9J7NAS6_BRAFL Protein sidekick-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118429283 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M892_A0A9J7M892_BRAFL tr|A0A9J7M892|A0A9J7M892_BRAFL Uncharacterized protein LOC118428459 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M6I6_A0A9J7M6I6_BRAFL tr|A0A9J7M6I6|A0A9J7M6I6_BRAFL Uncharacterized protein LOC118428459 isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M5F2_A0A9J7M5F2_BRAFL tr|A0A9J7M5F2|A0A9J7M5F2_BRAFL Uncharacterized protein LOC118428459 isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N5V0_A0A9J7N5V0_BRAFL tr|A0A9J7N5V0|A0A9J7N5V0_BRAFL Uncharacterized protein LOC118428459 isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1	Porites_asteroides_isotig18438 isotig18438 extracted_CDS GOMatch=D2HSQ6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Dscam_family_member_AbsCAM-Ig7A_ Match_Acc=Q1T6Y3 gene=isogroup16706 length=415 numContigs=1
OG0000001	Branchiostoma_floridae_tr_A0A9J7N9V2_A0A9J7N9V2_BRAFL tr|A0A9J7N9V2|A0A9J7N9V2_BRAFL Protein sidekick-2-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N907_A0A9J7N907_BRAFL tr|A0A9J7N907|A0A9J7N907_BRAFL Protein sidekick-2-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M658_A0A9J7M658_BRAFL tr|A0A9J7M658|A0A9J7M658_BRAFL Protein sidekick-2-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M6J2_A0A9J7M6J2_BRAFL tr|A0A9J7M6J2|A0A9J7M6J2_BRAFL Protein sidekick-2-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NAA0_A0A9J7NAA0_BRAFL tr|A0A9J7NAA0|A0A9J7NAA0_BRAFL Protein sidekick-2-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N8L4_A0A9J7N8L4_BRAFL tr|A0A9J7N8L4|A0A9J7N8L4_BRAFL Protein sidekick-2-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1	Porites_asteroides_isotig10906 isotig10906 extracted_CDS Gene=Contactin-3_ Match_Acc=Q9P232 gene=isogroup09174 length=628 numContigs=1
