Orthogroup	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_belcheri
OG0000000	Branchiostoma_floridae_tr_A0A9J7LIZ7_A0A9J7LIZ7_BRAFL tr|A0A9J7LIZ7|A0A9J7LIZ7_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118420403 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4ZPQ9_A0A6P4ZPQ9_BRABE tr|A0A6P4ZPQ9|A0A6P4ZPQ9_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484358 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MDK7_A0A9J7MDK7_BRAFL tr|A0A9J7MDK7|A0A9J7MDK7_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118431943 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5AJM1_A0A6P5AJM1_BRABE tr|A0A6P5AJM1|A0A6P5AJM1_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109483598 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MXV2_A0A9J7MXV2_BRAFL tr|A0A9J7MXV2|A0A9J7MXV2_BRAFL Fibrinogen C domain-containing protein 1-B-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118422109 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQS9_A0A9J7LQS9_BRAFL tr|A0A9J7LQS9|A0A9J7LQS9_BRAFL Fibrinogen C domain-containing protein 1-B-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118422109 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4Z873_A0A6P4Z873_BRABE tr|A0A6P4Z873|A0A6P4Z873_BRABE Uncharacterized protein LOC109472133 OS=Branchiostoma belcheri OX=7741 GN=LOC109472133 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MIW1_A0A9J7MIW1_BRAFL tr|A0A9J7MIW1|A0A9J7MIW1_BRAFL Uncharacterized protein LOC118411081 OS=Branchiostoma floridae OX=7739 GN=LOC118411081 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4XZY2_A0A6P4XZY2_BRABE tr|A0A6P4XZY2|A0A6P4XZY2_BRABE Techylectin-5A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465020 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MD53_A0A9J7MD53_BRAFL tr|A0A9J7MD53|A0A9J7MD53_BRAFL Multiple epidermal growth factor-like domains protein 10 OS=Branchiostoma floridae OX=7739 GN=LOC118431380 PE=3 SV=1	Branchiostoma_belcheri_tr_A0A6P4XJH4_A0A6P4XJH4_BRABE tr|A0A6P4XJH4|A0A6P4XJH4_BRABE Uncharacterized protein LOC109464187 OS=Branchiostoma belcheri OX=7741 GN=LOC109464187 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YRF0_A0A6P4YRF0_BRABE tr|A0A6P4YRF0|A0A6P4YRF0_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109466512 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZC75_A0A6P4ZC75_BRABE tr|A0A6P4ZC75|A0A6P4ZC75_BRABE Uncharacterized protein LOC109475336 OS=Branchiostoma belcheri OX=7741 GN=LOC109475336 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZVU9_A0A6P4ZVU9_BRABE tr|A0A6P4ZVU9|A0A6P4ZVU9_BRABE Uncharacterized protein LOC109486073 OS=Branchiostoma belcheri OX=7741 GN=LOC109486073 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P5ACW7_A0A6P5ACW7_BRABE tr|A0A6P5ACW7|A0A6P5ACW7_BRABE Uncharacterized protein LOC109481493 OS=Branchiostoma belcheri OX=7741 GN=LOC109481493 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z095_A0A6P4Z095_BRABE tr|A0A6P4Z095|A0A6P4Z095_BRABE Multiple epidermal growth factor-like domains protein 10 OS=Branchiostoma belcheri OX=7741 GN=LOC109477967 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7M933_A0A9J7M933_BRAFL tr|A0A9J7M933|A0A9J7M933_BRAFL Uncharacterized protein LOC118430220 OS=Branchiostoma floridae OX=7739 GN=LOC118430220 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4YD19_A0A6P4YD19_BRABE tr|A0A6P4YD19|A0A6P4YD19_BRABE Multiple epidermal growth factor-like domains protein 6 OS=Branchiostoma belcheri OX=7741 GN=LOC109462693 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZS47_A0A6P4ZS47_BRABE tr|A0A6P4ZS47|A0A6P4ZS47_BRABE Uncharacterized protein LOC109481507 OS=Branchiostoma belcheri OX=7741 GN=LOC109481507 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7KGT7_A0A9J7KGT7_BRAFL tr|A0A9J7KGT7|A0A9J7KGT7_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118404428 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4ZXD3_A0A6P4ZXD3_BRABE tr|A0A6P4ZXD3|A0A6P4ZXD3_BRABE Uncharacterized protein LOC109483033 OS=Branchiostoma belcheri OX=7741 GN=LOC109483033 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MD08_A0A9J7MD08_BRAFL tr|A0A9J7MD08|A0A9J7MD08_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118431514 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MDI9_A0A9J7MDI9_BRAFL tr|A0A9J7MDI9|A0A9J7MDI9_BRAFL Uncharacterized protein LOC118431516 OS=Branchiostoma floridae OX=7739 GN=LOC118431516 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4XIA8_A0A6P4XIA8_BRABE tr|A0A6P4XIA8|A0A6P4XIA8_BRABE Uncharacterized protein LOC109463839 OS=Branchiostoma belcheri OX=7741 GN=LOC109463839 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ABS3_A0A6P5ABS3_BRABE tr|A0A6P5ABS3|A0A6P5ABS3_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109482508 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7K652_A0A9J7K652_BRAFL tr|A0A9J7K652|A0A9J7K652_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118403700 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HI59_A0A9J7HI59_BRAFL tr|A0A9J7HI59|A0A9J7HI59_BRAFL Fibrinogen C domain-containing protein 1-B-like OS=Branchiostoma floridae OX=7739 GN=LOC118403710 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5A5F5_A0A6P5A5F5_BRABE tr|A0A6P5A5F5|A0A6P5A5F5_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109480647 OS=Branchiostoma belcheri OX=7741 GN=LOC109480647 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MHJ4_A0A9J7MHJ4_BRAFL tr|A0A9J7MHJ4|A0A9J7MHJ4_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118432145 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MGN8_A0A9J7MGN8_BRAFL tr|A0A9J7MGN8|A0A9J7MGN8_BRAFL Fibrillin-3-like OS=Branchiostoma floridae OX=7739 GN=LOC118432276 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5AT92_A0A6P5AT92_BRABE tr|A0A6P5AT92|A0A6P5AT92_BRABE Tenascin-X-like OS=Branchiostoma belcheri OX=7741 GN=LOC109485990 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFW6_A0A6P5AFW6_BRABE tr|A0A6P5AFW6|A0A6P5AFW6_BRABE Uncharacterized protein LOC109485993 OS=Branchiostoma belcheri OX=7741 GN=LOC109485993 PE=4 SV=1
